id	ec_numbers
EMPTY	
MNXR01	
MNXR02	
MNXR03	
MNXR100000	
MNXR100001	
MNXR100004	
MNXR100005	
MNXR100006	
MNXR100007	
MNXR100011	
MNXR100013	
MNXR100017	
MNXR100018	
MNXR100019	
MNXR100024	6.3.1.2
MNXR100027	
MNXR100028	
MNXR100029	
MNXR100030	1.4.1.13;1.4.1.14;1.4.7.1;2.4.2;2.4.2.14;3.5.1.2;3.5.1.38;4.3.1;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5;6.3.5.7
MNXR100033	
MNXR100036	
MNXR100037	
MNXR100038	
MNXR100039	
MNXR100043	
MNXR100044	
MNXR100045	
MNXR100048	
MNXR100049	
MNXR100050	
MNXR100055	
MNXR100056	
MNXR100057	
MNXR100058	
MNXR100059	
MNXR100060	1.2.1;1.2.1.19;1.2.1.21;1.2.1.3;1.2.1.4;1.2.1.5;1.2.1.69
MNXR100061	
MNXR100062	
MNXR100063	5.5.1.19
MNXR100064	2.1.2.10
MNXR100065	1.4.4.2
MNXR100066	1.6.2.6;1.8.1;1.8.1.4
MNXR100070	
MNXR100071	
MNXR100072	
MNXR100073	
MNXR100074	6.3.2.2
MNXR100075	
MNXR100076	
MNXR100077	
MNXR100079	
MNXR100080	
MNXR100081	
MNXR100082	
MNXR100083	1.2.1.3;1.2.1.54
MNXR100084	
MNXR100086	1.4.1.13;1.4.1.3;1.4.1.4
MNXR100089	
MNXR100093	
MNXR100097	1.8.1.7
MNXR100098	1.6.4.2;1.8.1.7;1.8.4.2
MNXR100099	3.6.1.11;3.6.1.40
MNXR100110	
MNXR100112	
MNXR100113	1.2.1.-;1.2.1.99
MNXR100114	3.5.1.94
MNXR100116	2.5.1.41
MNXR100117	
MNXR100118	
MNXR100119	
MNXR100120	
MNXR100121	
MNXR100122	
MNXR100123	
MNXR100124	
MNXR100125	
MNXR100129	3.1.3.69
MNXR100133	
MNXR100134	2.3.2.2;3.4.19.14
MNXR100135	2.3.2.-
MNXR100136	2.3.2.2;3.4.19;3.4.19.13
MNXR100143	4.1.2.-
MNXR100147	
MNXR100149	
MNXR100150	
MNXR100151	
MNXR100152	
MNXR100153	
MNXR100154	
MNXR100156	
MNXR100157	
MNXR100158	
MNXR100159	
MNXR100160	
MNXR100161	
MNXR100162	
MNXR100163	
MNXR100164	
MNXR100165	
MNXR100166	
MNXR100167	
MNXR100168	
MNXR100169	
MNXR100170	
MNXR100171	
MNXR100172	
MNXR100173	
MNXR100174	
MNXR100175	
MNXR100177	
MNXR100178	
MNXR100179	
MNXR100181	
MNXR100182	
MNXR100183	
MNXR100184	
MNXR100185	
MNXR100186	
MNXR100187	
MNXR100189	
MNXR100190	
MNXR100191	
MNXR100192	
MNXR100193	
MNXR100194	
MNXR100195	
MNXR100198	
MNXR100200	
MNXR100201	
MNXR100202	
MNXR100203	
MNXR100204	
MNXR100205	
MNXR100209	
MNXR100210	
MNXR100216	
MNXR100219	4.1.2.20
MNXR100225	
MNXR100232	
MNXR100233	
MNXR100236	3.6.3.17;7.5.2;7.5.2.-
MNXR100238	
MNXR100239	
MNXR100240	
MNXR100241	
MNXR100242	
MNXR100245	1.4.7.1
MNXR100246	
MNXR100247	
MNXR100248	
MNXR100249	
MNXR100251	
MNXR100252	6.3.1.2
MNXR100255	
MNXR100258	3.6.3.21;7.4.2.1
MNXR100259	
MNXR100260	
MNXR100261	
MNXR100262	
MNXR100263	
MNXR100264	
MNXR100265	
MNXR100266	
MNXR100267	
MNXR100270	
MNXR100271	
MNXR100272	
MNXR100273	
MNXR100274	
MNXR100276	
MNXR100277	2.7.2.11
MNXR100278	
MNXR100279	
MNXR100280	
MNXR100282	2.1.2.5
MNXR100283	2.7.1.2
MNXR100285	
MNXR100286	
MNXR100288	5.1.1.3
MNXR100289	1.4.1.14
MNXR100291	1.4.1.13
MNXR100292	
MNXR100297	3.6.3.21
MNXR100298	
MNXR100299	3.6.3.21;7.4.2.1
MNXR100300	
MNXR100302	
MNXR100303	4.1.1.47
MNXR100304	
MNXR100305	1.1.3.15;1.2.3.5
MNXR100306	
MNXR100307	
MNXR100308	
MNXR100309	
MNXR100310	1.2.1.3
MNXR100311	
MNXR100312	2.1.4.1
MNXR100314	3.A.1.12.-
MNXR100315	2.A.1.6.-
MNXR100316	
MNXR100317	
MNXR100318	
MNXR100319	
MNXR100320	3.6.3.20;7.6.2.10;7.6.2.j
MNXR100321	
MNXR100324	4.2.1.30
MNXR100325	1.1;1.1.1.26;1.1.1.27;1.1.1.28;1.1.1.29;1.1.1.387;1.1.1.81
MNXR100326	1.1.1.14;1.1.1.6
MNXR100327	1.1.1.1;1.1.1.10;1.1.1.156;1.1.1.2;1.1.1.21;1.1.1.72;1.3.1.20
MNXR100328	2.7.1.31
MNXR100329	2.7.1;2.7.1.-;2.7.1.165;2.7.1.31
MNXR100331	1.1.1.26;1.1.1.28;1.1.1.29;1.1.1.79;1.1.1.8;1.1.1.81;1.1.99.14
MNXR100332	1.1.1.21;1.1.1.26;1.1.1.79
MNXR100334	
MNXR100336	1.1.1;1.1.1.79;1.1.1.81;1.1.1.86
MNXR100337	
MNXR100338	1.1.3.15
MNXR100339	
MNXR100340	
MNXR100341	
MNXR100342	
MNXR100343	
MNXR100344	
MNXR100345	3.4.11.1
MNXR100346	
MNXR100348	2.7.1.30
MNXR100350	
MNXR100351	
MNXR100352	1.4.3.19;1.4.3.2;1.4.3.3
MNXR100353	3.1.2.12;3.1.2.6
MNXR100354	4.2.1.130
MNXR100355	4.4.1.5
MNXR100356	
MNXR100359	
MNXR100360	3.4.13.18;3.4.13.9
MNXR100361	
MNXR100362	
MNXR100363	
MNXR100364	2.6.1.4;2.6.1.44;2.6.1.7
MNXR100366	
MNXR100367	3.6.3.21
MNXR100368	2.A.3.1.-
MNXR100369	
MNXR100370	
MNXR100371	
MNXR100372	
MNXR100373	
MNXR100375	
MNXR100389	1.1.1.351;1.1.1.44
MNXR100390	2.7.1.12
MNXR100394	
MNXR100395	
MNXR100396	
MNXR100397	
MNXR100401	
MNXR100402	
MNXR100403	
MNXR100404	
MNXR100405	
MNXR100406	
MNXR100407	
MNXR100408	
MNXR100410	3.1.4.2;3.1.4.46
MNXR100413	3.1.4.46
MNXR100415	
MNXR100416	
MNXR100417	
MNXR100418	
MNXR100419	
MNXR100420	
MNXR100421	
MNXR100424	
MNXR100425	
MNXR100426	
MNXR100427	
MNXR100428	
MNXR100430	
MNXR100435	
MNXR100436	
MNXR100439	
MNXR100440	
MNXR100443	
MNXR100444	
MNXR100446	1.11.1.9
MNXR100447	3.6.3.M9
MNXR100448	7.4.2.10;7.4.2.i
MNXR100449	
MNXR100450	6.3.2.3
MNXR100452	
MNXR100467	3.5.3.7
MNXR100471	1.1.1.45
MNXR100473	1.1.1.380
MNXR100474	
MNXR100475	
MNXR100477	
MNXR100478	
MNXR100479	
MNXR100481	1.12.1.3;1.12.1.5
MNXR100482	4.2.1.1
MNXR100484	
MNXR100485	
MNXR100486	
MNXR100487	
MNXR100489	
MNXR100492	1.14.13.225;1.6.3.1
MNXR100493	
MNXR100494	
MNXR100495	
MNXR100496	
MNXR100497	
MNXR100498	
MNXR100501	
MNXR100502	
MNXR100503	
MNXR100504	
MNXR100507	
MNXR100509	
MNXR100510	
