MNXR01	MNXR01	PROTON-PMF interconversion
MNXR02	MNXR02	PROTON import/export at model boundary
MNXR03	MNXR03	PMF exchange across membrane
MNXR100000	Uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi
MNXR100001	GalNAc transferase, Golgi apparatus
MNXR100004	Galactosyltransferase I LPS R1 core synthesis
MNXR100005	Galactosyltransferase II LPS R1 core synthesis
MNXR100006	Galactosyltransferase I LPS R1 core synthesis
MNXR100007	Galactosyltransferase II LPS R1 core synthesis
MNXR100011	Transport of D-Galactose from extracellular space to cytosol of mucosal cells in small intestine
MNXR100013	D-galactosyl-N-acylsphingosine exchange
MNXR100017	UDP-D-galactose:D-xylose galactosyltransferase, Golgi apparatus
MNXR100018	Galactitol transport via PEP:Pyr PTS
MNXR100019	Galactitol exchange
MNXR100024	Glutamate---ammonia ligase, chloroplast
MNXR100027	D-galactose transport via proton symport
MNXR100028	Galactose transport via sodium symport
MNXR100029	Galactose transport via sodium symport
MNXR100030	Glutaminase
MNXR100033	Glucoamylase, extracellular (glygn5 -> malt)
MNXR100036	Ganglioside O-acetylation
MNXR100037	Ganglioside O-acetylation
MNXR100038	Ganglioside O-acetylation
MNXR100039	Ganglioside O-acetylation
MNXR100043	Glycosylasparaginase, lysosomal
MNXR100044	Glycosylasparaginase, lysosomal
MNXR100045	Glycosylasparaginase, lysosomal
MNXR100048	EX ga LPAREN e RPAREN
MNXR100049	GAproton symport transport
MNXR100050	Glucosylceramidase
MNXR100055	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1
MNXR100056	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1
MNXR100057	Glucose-1,6-bisphosphate synthase
MNXR100058	Globoside (homo sapiens) exchange
MNXR100059	Globoside (cho) exchange
MNXR100060	Glycolaldehyde dehydrogenase
MNXR100061	Glycolaldehyde exchange
MNXR100062	Gamma-carotene transport
MNXR100063	Gamma carotene bcyclase
MNXR100064	GCC2
MNXR100065	Glycine cleavage complex lipoamide mitochondrial
MNXR100066	Glycine cleavage complex lipoamide mitochondrial
