M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
29	30	40	26	40	38	27	37	36	30	35	38	30	29
20	25	32	29	33	37	28	25	38	31	20	21	21	32
30	28	38	34	36	36	25	34	36	29	18	25	25	21
31	30	39	29	41	38	29	29	35	27	23	21	30	31
35	24	37	31	29	39	28	28	31	24	24	22	28	30
31	27	40	30	35	36	32	21	33	22	25	36	30	37
26	33	31	25	36	36	26	30	40	32	19	30	35	22
34	24	39	26	37	38	32	39	31	33	23	40	27	26
26	25	42	28	32	38	32	25	39	25	29	27	28	27
23	26	45	31	16	36	36	28	34	27	19	35	25	34
27	27	38	25	31	37	33	33	30	29	35	28	25	31
19	23	33	31	36	37	29	24	32	26	19	23	27	27
35	22	48	31	30	36	27	35	31	23	17	21	30	30
38	30	39	39	32	37	22	43	37	26	25	31	19	25
33	21	31	22	38	37	22	31	44	23	19	25	27	31
18	33	32	25	39	38	26	37	42	26	17	20	21	32
26	22	39	31	39	36	26	29	34	21	22	38	36	22
29	38	41	38	37	36	34	28	36	27	35	33	24	29
33	20	39	32	40	36	28	28	42	21	26	19	24	34
22	31	33	30	38	36	22	36	36	27	27	31	26	35
27	20	38	29	32	37	27	33	39	28	22	26	25	26
25	31	34	31	42	37	29	35	36	34	20	29	24	20
32	25	37	26	16	36	26	26	40	27	27	25	21	22
28	32	37	26	39	38	26	30	30	28	29	30	35	31
31	32	28	32	36	37	27	33	41	32	30	31	31	31
37	31	24	28	36	36	29	32	33	28	26	23	28	26
28	34	39	27	35	38	32	33	33	33	27	25	30	19
29	24	44	24	34	36	33	31	42	21	23	27	20	22
30	20	35	23	39	37	27	33	37	23	17	35	30	31
29	40	44	39	33	37	31	29	40	28	25	30	33	22
34	27	34	33	41	37	28	33	36	30	28	29	29	28
33	24	37	25	35	37	35	45	42	24	20	21	34	22
34	32	27	26	16	37	32	34	35	32	29	27	26	21
35	33	42	38	42	36	28	30	34	23	30	27	28	31
39	33	46	29	40	39	26	31	26	26	23	25	31	36
24	33	31	34	33	37	24	37	39	19	19	15	31	30
30	27	28	31	30	35	32	42	39	30	21	22	33	27
35	21	45	22	35	37	29	41	43	24	27	19	36	22
26	23	30	23	24	36	33	27	19	32	19	21	32	33
27	31	31	27	40	37	31	26	35	29	30	24	31	44
23	25	37	21	16	38	26	29	36	21	25	21	26	29
29	30	30	32	36	38	36	39	36	30	22	29	29	29
28	32	30	29	37	36	22	32	36	30	27	25	31	27
30	31	38	28	40	36	28	35	38	22	22	23	29	29
22	31	45	32	39	36	26	31	35	27	27	25	22	30
17	31	45	32	40	37	31	35	33	30	19	29	28	23
29	32	35	31	32	36	26	36	28	35	23	27	24	30
38	21	39	26	40	38	29	34	29	31	26	29	26	35
27	32	29	29	33	36	27	32	39	28	22	28	28	27
44	26	44	33	35	36	25	33	36	40	23	24	43	27
39	31	42	33	36	36	33	34	33	23	20	23	27	36
34	25	43	24	35	38	26	35	26	26	17	29	37	41
28	24	35	30	33	36	22	34	43	26	19	25	24	37
36	22	37	29	37	37	31	21	33	35	28	29	30	33
29	27	43	26	34	38	34	37	40	32	26	32	31	22
31	32	47	34	39	36	29	34	36	30	27	30	18	35
25	23	37	27	42	38	32	28	30	27	23	31	19	30
32	35	43	32	37	38	31	40	38	38	23	30	23	22
42	25	35	31	33	37	25	33	41	33	20	29	21	26
23	33	32	24	38	36	27	34	40	22	20	31	27	22
38	31	33	25	40	38	29	39	36	30	23	25	25	30
35	32	33	30	39	37	33	51	37	27	28	21	23	31
38	27	35	37	35	38	30	30	33	23	20	28	28	36
29	25	38	25	38	37	28	42	29	22	23	15	30	26
37	31	34	35	31	37	29	39	36	33	23	31	32	24
32	22	31	33	40	37	29	37	40	23	19	28	30	28
40	27	34	38	44	36	32	33	36	22	29	27	34	32
28	19	36	29	38	36	30	30	43	29	17	20	21	30
34	33	35	26	36	36	22	34	40	38	30	22	28	31
33	31	43	38	36	39	28	35	44	22	36	15	30	31
34	27	27	35	16	37	30	44	42	31	30	19	27	34
30	30	27	31	16	36	29	35	35	25	29	32	33	21
37	34	30	33	38	38	29	44	36	33	30	26	23	32
30	24	42	31	36	36	30	26	35	29	29	28	21	37
21	25	39	31	35	36	24	37	33	23	17	19	28	27
32	19	39	30	33	36	25	34	25	24	29	16	34	22
33	24	46	32	16	36	26	39	34	22	25	19	23	33
30	30	33	29	37	36	27	27	36	30	21	26	18	28
23	26	48	32	16	38	29	31	37	26	24	26	28	28
27	25	38	33	40	36	34	33	36	24	21	31	27	25
40	22	33	28	36	37	30	29	28	23	27	27	27	40
27	23	41	22	35	36	22	30	41	33	24	23	34	32
41	33	35	35	32	39	30	24	36	28	23	32	32	23
24	21	36	30	41	38	32	35	26	27	28	29	28	32
30	31	24	29	40	36	29	35	35	32	22	20	30	27
23	26	33	27	16	36	39	33	30	28	26	28	30	29
17	31	38	29	40	36	31	41	38	30	23	20	26	26
39	21	33	27	38	36	22	32	42	26	27	18	27	27
27	30	42	26	36	37	26	28	28	39	30	23	21	29
30	35	35	25	39	38	32	29	32	25	23	29	29	29
20	28	28	28	38	37	27	33	36	27	27	29	27	22
27	34	41	23	35	38	32	30	43	29	36	37	28	29
33	26	33	34	16	36	27	29	30	29	24	26	28	32
31	25	36	39	30	36	26	39	39	23	18	24	29	33
31	27	25	25	29	37	28	28	42	36	19	24	28	24
41	20	27	31	34	33	31	39	29	30	23	33	27	31
27	25	38	30	32	36	27	42	38	34	20	25	21	31
30	25	36	23	32	38	33	30	30	32	30	19	23	29
39	25	26	29	32	37	31	37	40	23	28	22	27	26
45	31	44	28	39	38	33	42	36	28	26	23	29	32
