M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
27	16	42	33	11	4	10	33	22	25	10	17	21	17
25	19	43	32	15	4	16	19	16	21	12	19	23	19
26	15	41	30	14	5	12	17	21	16	11	20	20	17
25	18	39	27	13	4	13	28	11	23	11	21	20	14
18	18	40	32	12	4	19	20	25	21	11	22	21	16
23	15	44	40	12	4	11	20	22	19	11	21	20	19
32	20	40	30	9	4	13	20	11	19	9	20	23	18
28	16	42	37	11	4	11	21	23	14	11	20	18	16
23	18	43	31	11	4	15	29	21	23	12	24	25	17
28	12	38	31	9	4	11	20	20	24	10	17	12	17
20	16	41	40	14	4	12	19	19	23	10	16	19	13
27	16	48	31	15	4	11	21	16	20	8	19	21	19
15	11	42	32	11	4	14	22	24	17	9	17	22	24
25	17	44	32	10	4	13	30	20	25	10	22	13	17
30	13	42	36	15	5	18	22	11	24	10	19	21	14
26	18	42	29	9	4	9	20	21	20	12	21	23	16
26	18	41	31	13	4	13	27	25	23	10	21	23	19
22	14	44	29	11	5	11	24	24	19	7	17	19	20
28	19	41	32	10	4	10	22	24	23	8	20	18	16
28	16	44	38	13	5	12	31	13	19	9	20	21	18
33	19	39	31	11	4	14	17	11	22	10	23	24	13
28	17	41	32	12	4	13	21	26	16	10	20	26	17
25	15	40	31	10	4	19	19	20	20	8	20	20	19
26	14	39	31	12	4	15	27	20	18	9	21	22	17
22	16	44	38	16	5	19	19	15	19	11	19	20	16
29	14	42	30	15	4	14	19	11	21	11	21	18	17
24	20	38	31	12	4	18	23	11	16	10	20	23	16
31	14	42	32	8	4	11	24	21	21	9	20	20	24
29	16	40	36	13	5	11	23	19	20	10	21	19	16
25	20	39	29	13	4	13	20	23	18	11	17	22	16
23	15	40	28	16	5	12	22	15	22	9	16	13	13
30	15	39	32	14	4	10	20	20	20	9	21	21	17
25	16	39	32	14	4	9	20	14	20	10	18	23	18
33	15	39	33	11	5	11	19	24	21	8	18	19	16
25	15	43	32	9	4	16	28	19	20	10	23	19	17
31	15	38	29	10	4	11	21	21	19	9	20	19	17
22	18	42	33	12	4	12	19	21	21	9	18	20	18
33	17	40	31	12	4	19	28	18	20	10	19	19	16
27	18	40	31	14	4	9	22	11	19	11	19	23	17
31	18	43	38	13	4	14	26	21	16	11	20	19	19
23	22	43	31	10	4	9	30	21	25	13	26	19	24
25	11	41	37	11	4	11	20	13	23	8	18	20	17
25	10	40	29	15	4	13	17	22	18	11	18	23	16
18	12	40	31	13	4	19	19	17	20	8	22	23	17
23	10	42	35	11	5	13	22	24	17	10	16	21	17
32	17	38	32	13	4	19	19	19	20	8	18	21	16
26	12	40	32	12	4	12	27	21	16	10	19	21	18
28	15	42	30	9	4	14	23	25	16	10	18	20	24
25	16	44	28	14	5	16	19	20	19	9	18	17	15
33	10	42	29	11	4	16	21	24	24	9	20	20	18
33	14	39	33	9	4	10	17	12	20	8	18	19	16
31	12	40	32	14	4	12	20	19	22	11	19	12	16
28	16	40	34	13	4	11	22	21	17	9	19	21	18
28	16	43	37	14	5	19	22	16	20	8	19	20	16
24	16	44	34	12	4	16	30	26	21	10	18	18	17
29	16	38	31	8	5	20	25	21	18	10	20	22	24
29	17	38	32	12	4	13	17	17	18	10	19	18	19
24	18	43	32	12	4	8	19	20	21	10	17	17	17
