M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
45	46	72	65	44	51	53	46	42	49	52	33	54	46
48	46	56	54	46	51	53	52	42	56	52	33	54	47
48	46	55	70	44	49	53	52	42	49	54	33	54	47
48	46	71	62	53	51	53	52	42	57	52	32	51	48
56	46	61	56	44	51	56	52	42	52	54	33	55	47
49	46	69	55	44	51	57	53	42	44	52	33	55	47
48	45	66	69	44	51	52	52	42	50	57	33	55	43
46	47	63	65	44	49	57	52	42	52	54	33	55	43
46	46	56	69	46	51	53	52	45	56	52	33	54	47
52	46	52	63	46	51	53	52	45	54	47	33	54	43
48	46	51	56	46	51	53	56	42	54	54	33	55	47
48	46	55	65	44	51	53	52	45	56	52	33	56	47
48	46	48	53	51	51	53	52	42	54	54	33	55	47
46	46	66	62	46	51	53	52	42	50	57	33	55	47
46	48	57	59	46	51	56	52	42	54	54	33	55	39
48	46	70	64	42	51	53	52	46	56	46	32	55	45
48	46	70	69	46	51	51	52	42	49	54	33	55	47
49	46	64	72	42	49	53	52	45	52	49	33	54	47
47	46	62	68	44	49	53	52	46	56	52	36	54	52
48	46	68	65	44	51	53	46	42	54	52	32	55	43
48	46	67	61	46	51	53	52	43	52	54	33	54	43
48	45	65	65	49	49	53	52	42	56	52	33	55	47
48	46	61	62	44	51	53	52	42	56	56	33	55	43
48	46	58	63	51	51	53	52	42	49	47	33	55	47
47	46	63	62	46	51	53	44	42	50	57	28	55	43
54	52	70	65	42	49	53	52	42	56	49	33	55	43
48	46	59	68	46	51	53	52	45	56	57	33	55	43
48	46	62	62	46	51	52	52	42	42	52	33	55	47
43	46	66	65	48	51	53	53	42	54	54	33	54	43
46	46	52	70	46	51	53	50	42	52	54	33	54	47
47	48	60	48	46	51	57	53	42	49	52	33	54	47
48	46	60	70	44	51	53	52	42	49	52	32	54	49
47	46	57	57	46	49	57	52	45	49	51	33	55	47
43	48	66	62	49	49	59	53	42	49	54	33	55	47
48	46	65	68	46	51	59	53	42	49	57	33	54	47
50	46	66	70	44	51	53	46	42	53	52	32	55	48
48	48	67	63	42	51	53	52	42	54	54	33	54	47
47	49	54	57	44	51	53	52	42	50	52	32	54	47
48	46	61	71	46	51	53	52	45	49	56	32	55	47
48	52	65	55	42	51	56	52	42	57	49	33	53	46
44	46	59	70	44	51	53	53	42	56	56	33	54	47
46	46	62	59	44	51	56	52	42	52	52	33	55	39
47	42	61	56	46	51	59	53	42	56	46	33	54	47
46	47	54	51	46	51	53	52	42	54	51	33	52	39
50	46	66	57	46	51	53	52	42	54	52	33	56	43
46	48	60	61	49	51	53	52	42	49	52	33	54	41
47	46	63	62	48	51	53	52	42	56	54	32	55	43
54	47	65	51	46	45	53	52	42	56	52	32	54	47
47	47	67	63	44	51	53	52	42	49	52	33	54	49
49	46	55	65	44	51	53	52	42	56	52	33	54	52
48	46	59	46	44	51	53	52	42	56	52	33	54	39
48	47	63	64	44	51	53	50	42	49	52	33	54	47
47	47	55	56	44	51	53	56	42	54	54	33	54	47
49	46	61	63	46	51	53	56	45	50	52	33	56	47
49	46	66	66	44	51	53	46	42	56	49	33	60	41
52	48	65	66	44	51	53	52	42	49	52	33	55	43
48	48	64	57	44	51	59	53	42	56	54	33	51	47
50	46	64	65	44	51	53	52	45	49	52	32	48	47
47	47	50	66	44	45	53	56	42	44	54	33	54	43
50	46	55	64	44	45	53	53	42	56	54	33	54	43
45	46	65	68	53	51	53	52	42	44	52	33	54	47
41	46	64	54	46	49	59	53	42	56	52	33	54	47
50	46	59	52	44	51	53	52	42	42	52	33	58	52
54	52	60	66	44	49	57	53	42	57	49	33	55	47
49	46	60	58	51	51	53	52	42	49	47	33	56	47
60	52	52	66	42	51	53	56	42	49	52	33	54	47
50	47	60	68	42	47	53	52	42	50	54	33	54	45
49	46	61	50	46	51	58	53	42	56	54	33	54	43
46	48	61	63	46	51	57	52	42	49	54	33	55	49
49	48	62	58	46	51	53	52	42	49	52	33	54	43
49	46	63	70	44	51	54	52	42	56	56	32	55	47
46	47	61	63	46	51	53	53	42	49	54	33	55	43
46	46	63	62	44	51	53	52	42	57	49	33	55	39
49	48	59	57	44	51	57	52	42	52	49	33	56	43
47	46	58	54	46	51	53	52	42	52	52	33	56	39
48	52	60	70	46	51	53	47	42	56	51	32	55	47
50	46	66	64	46	51	53	52	42	50	54	33	55	41
47	46	63	63	46	51	53	52	42	49	52	33	54	47
56	46	62	54	44	51	53	52	42	56	47	33	54	43
48	46	59	53	46	51	53	52	42	49	52	33	55	47
39	46	63	67	46	51	53	44	42	49	47	33	55	47
56	46	63	71	44	51	53	52	42	44	52	41	55	47
48	46	68	58	44	51	51	51	42	56	54	33	53	52
48	45	60	70	44	51	53	52	43	54	52	33	55	43
48	52	51	60	44	51	53	52	42	50	52	33	55	47
51	48	54	67	44	51	55	52	45	50	52	33	54	47
49	46	66	70	46	51	53	52	42	49	54	33	55	41
46	43	65	60	44	47	52	44	42	44	52	28	57	47
49	46	65	63	46	51	53	52	45	49	52	33	54	47
49	47	61	71	44	51	59	53	42	49	54	33	51	47
48	47	68	69	53	45	59	53	42	49	57	33	54	47
48	46	51	55	46	49	57	52	46	49	52	33	55	47
46	51	66	65	46	51	53	46	42	52	52	33	54	43
46	46	58	50	46	51	53	52	42	56	52	33	54	39
43	46	67	70	46	51	53	52	46	54	52	33	55	41
46	46	65	58	46	51	53	52	42	49	54	33	55	39
50	46	55	62	44	51	53	56	42	49	52	33	54	47
48	47	64	53	51	51	53	46	42	56	57	33	54	47
51	52	72	62	42	51	53	46	42	49	52	32	54	45
55	46	57	69	42	51	57	52	42	54	52	33	56	39
