M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
3	3	27	20	2	2	2	3	2	3	3	2	3	7
6	3	21	20	2	2	2	2	2	4	3	2	3	5
6	3	24	14	2	2	2	5	2	3	3	2	3	5
5	3	20	15	2	2	2	2	2	4	3	3	3	6
5	3	22	17	2	2	2	2	2	4	3	2	3	5
3	3	20	31	2	2	2	2	2	4	3	2	3	5
6	5	21	14	2	2	2	2	2	3	4	2	3	5
3	3	23	15	2	2	2	2	2	4	3	2	3	5
3	3	23	14	2	2	2	2	2	4	3	2	3	5
5	3	38	16	2	2	2	2	2	4	6	2	3	5
6	3	33	26	2	2	2	2	2	4	3	2	3	5
3	3	39	17	2	2	2	2	2	4	3	2	3	5
6	3	33	33	2	2	2	2	2	4	3	2	3	5
3	3	21	16	2	2	2	2	2	3	3	2	3	5
3	5	29	23	2	2	2	2	2	4	3	2	3	10
3	3	21	14	2	2	2	2	2	3	3	3	3	6
6	3	19	15	2	2	5	2	2	3	3	2	3	5
5	3	22	16	2	2	2	2	2	4	3	2	3	5
3	3	21	14	2	2	2	2	2	3	3	2	3	6
3	3	19	21	2	2	2	6	2	4	3	3	3	5
6	3	21	16	2	2	2	2	2	4	3	2	3	5
6	5	28	22	2	2	2	2	2	4	3	2	3	5
3	3	22	16	2	2	2	2	2	4	4	2	3	5
3	3	21	38	2	2	2	2	2	3	6	2	3	5
3	3	26	15	2	2	2	3	2	3	4	3	3	5
6	3	21	16	2	2	2	2	2	3	3	2	3	5
3	3	23	18	2	2	2	2	2	4	3	2	3	5
6	3	21	15	2	2	5	2	2	4	3	2	3	5
3	3	21	16	2	2	2	3	2	4	3	2	5	5
3	3	25	14	2	2	2	4	2	4	3	2	5	5
3	8	20	23	2	2	2	2	2	3	3	2	3	5
3	3	21	14	2	2	2	2	2	3	3	3	3	5
3	3	26	24	2	2	2	2	2	3	3	2	3	5
3	5	21	16	2	2	11	3	2	3	3	2	3	5
3	3	21	15	2	2	11	3	2	3	3	2	3	5
6	3	21	14	2	2	2	4	2	4	3	3	3	6
3	8	21	21	2	2	2	2	2	4	3	2	3	5
3	5	28	21	2	2	2	2	2	3	3	3	3	5
3	3	22	15	2	2	2	2	2	3	3	3	3	5
3	3	23	23	2	2	2	2	2	4	3	2	3	4
3	3	28	14	2	2	2	3	2	4	3	2	5	5
3	3	25	18	2	2	2	2	2	4	3	2	3	10
3	8	20	17	2	2	11	3	2	3	3	2	3	5
3	5	30	24	2	2	2	2	2	4	3	2	3	10
3	3	20	18	2	2	2	2	2	4	3	2	3	5
3	8	25	20	2	2	2	2	2	3	3	2	3	5
3	3	21	17	2	2	2	2	2	4	3	3	3	4
6	3	21	23	2	2	2	2	2	4	3	3	3	5
3	3	21	39	2	2	2	2	2	3	3	2	3	4
3	3	39	29	2	2	2	2	2	4	3	2	3	6
3	3	29	24	2	2	2	2	2	4	3	2	3	10
3	3	22	15	2	2	2	4	2	3	3	2	5	5
3	3	39	24	2	2	2	2	2	4	3	2	3	5
3	3	25	16	2	2	2	2	2	3	3	2	3	5
3	3	20	14	2	2	2	6	2	3	3	2	4	5
5	8	19	14	2	2	2	2	2	3	3	2	3	5
3	5	20	16	2	2	11	3	2	3	3	2	5	5
