M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
52	36	41	43	35	27	57	42	42	42	39	47	37	33
49	41	41	40	33	25	51	35	38	40	35	37	30	32
50	43	45	45	39	37	55	39	43	44	37	40	31	33
47	39	46	37	38	39	49	42	38	46	32	44	36	32
51	42	47	36	33	31	51	46	36	46	31	41	25	28
46	42	42	38	35	27	57	43	37	43	37	43	36	33
48	38	45	44	40	27	53	42	46	46	36	43	31	37
48	39	39	35	36	25	51	39	36	39	37	40	30	30
53	35	48	36	41	25	47	41	40	43	35	42	31	29
50	44	37	41	36	39	49	37	43	40	32	44	28	30
45	38	18	32	39	21	53	41	39	42	32	44	29	32
46	43	47	39	40	24	58	42	39	44	37	47	30	29
51	40	51	45	42	25	44	41	40	49	37	42	32	36
50	40	45	33	32	22	49	41	38	43	34	38	27	32
45	40	42	36	41	28	53	39	39	43	39	44	31	31
47	38	40	39	35	23	46	44	36	43	33	37	36	29
46	37	43	42	38	21	54	37	38	44	39	47	27	31
46	35	41	48	39	28	57	38	44	43	34	41	33	31
54	37	18	43	37	26	54	39	39	45	34	42	28	28
48	43	49	39	40	26	56	41	40	43	38	46	27	28
54	39	48	40	33	23	48	39	40	44	32	42	29	31
50	43	46	37	38	34	56	39	45	45	35	44	33	38
43	42	40	41	39	25	53	40	40	46	36	44	28	32
41	44	45	46	41	27	52	37	44	49	40	46	38	35
44	42	43	40	37	23	47	39	32	43	30	38	33	30
53	36	38	42	39	33	53	37	40	44	34	44	27	35
45	42	47	42	41	24	54	42	38	45	37	44	32	30
38	41	49	41	35	27	44	40	42	43	38	36	33	32
44	36	39	36	38	19	51	39	39	47	32	41	27	33
54	42	48	42	40	22	47	41	39	43	37	39	35	32
45	42	37	38	33	22	47	42	34	43	39	43	24	33
46	35	39	40	34	28	51	41	38	35	34	42	30	26
46	38	43	40	36	21	46	40	42	43	35	45	30	26
41	35	18	33	32	25	51	41	42	42	35	45	30	34
54	37	38	40	38	22	45	37	39	41	36	44	32	34
46	37	48	38	42	27	50	35	40	41	30	40	28	28
47	30	51	32	37	26	57	41	39	46	31	44	33	31
50	35	47	39	35	25	49	40	36	43	32	39	29	27
43	42	43	42	40	24	57	46	42	43	34	43	36	31
38	35	18	44	40	28	53	36	41	43	26	36	26	30
55	37	42	34	31	27	50	39	37	42	34	48	32	28
49	36	49	39	37	24	51	37	39	46	31	42	29	31
43	38	45	43	38	28	57	43	41	42	36	43	29	30
42	40	45	43	34	26	57	42	43	45	36	40	24	32
46	31	30	39	34	27	54	38	39	42	33	42	29	28
44	41	44	44	38	20	54	41	40	43	34	36	29	34
44	45	38	45	38	29	45	38	40	43	33	39	26	31
