M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
27	51	101	56	22	23	22	29	31	37	29	34	38	39
27	59	123	65	23	25	20	32	33	29	32	37	43	37
33	52	108	59	24	28	27	31	32	28	28	33	41	43
28	56	97	80	21	28	27	28	29	31	30	36	40	41
40	56	115	57	20	28	28	31	35	28	30	37	40	39
31	53	136	69	21	24	23	32	32	29	29	37	43	41
33	56	118	63	22	27	26	32	40	29	28	36	40	40
26	57	101	56	22	23	25	32	36	31	29	36	44	41
30	77	107	67	19	32	27	28	35	34	28	36	42	38
30	60	121	63	23	27	20	33	34	29	32	36	37	39
33	56	118	58	23	25	26	28	30	29	28	33	37	38
28	66	119	57	21	32	27	29	34	29	29	36	39	40
30	65	125	52	23	28	25	29	31	28	29	34	42	38
29	61	107	69	21	28	26	29	33	31	30	33	39	43
28	57	103	60	24	26	24	29	34	29	30	38	43	41
40	52	104	53	26	24	27	30	33	28	29	36	43	38
27	66	100	55	25	23	23	28	33	28	29	32	38	39
28	61	128	51	21	23	26	29	40	30	30	37	41	41
29	50	98	68	22	23	23	29	35	29	29	34	44	40
28	62	113	55	22	25	25	30	31	29	30	35	41	43
28	57	108	65	23	24	27	27	35	29	27	35	40	38
29	56	113	64	24	23	26	33	33	35	30	35	43	39
40	63	100	53	24	25	25	31	36	31	29	34	41	40
27	49	120	56	22	28	26	30	30	30	29	34	43	37
27	70	109	54	20	25	20	30	36	29	32	34	39	39
40	56	114	51	24	24	25	29	35	29	29	37	42	41
27	50	108	79	25	23	27	30	31	29	28	35	41	38
28	53	102	51	26	24	23	29	30	28	32	32	41	39
28	58	104	58	22	27	26	32	35	29	28	32	44	41
32	55	109	57	21	23	26	30	40	28	28	35	41	43
27	63	108	67	22	32	27	30	32	29	27	32	42	43
27	54	115	79	19	28	25	27	31	28	28	36	39	40
28	56	97	56	24	26	30	31	37	37	29	39	38	38
28	57	98	60	23	23	29	28	36	30	29	32	44	43
27	61	96	51	23	25	25	30	34	29	31	40	45	38
40	63	106	53	24	25	27	32	32	31	29	34	42	39
29	52	94	57	23	25	26	33	36	34	30	40	42	40
29	57	99	80	22	25	24	30	33	27	29	32	39	39
31	52	136	66	22	25	27	31	34	32	29	37	36	39
28	53	136	65	21	23	19	32	30	29	29	33	41	40
28	71	102	59	24	26	25	30	35	30	29	38	41	40
