M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
33	28	24	29	28	23	16	34	14	28	19	33	29	23
37	24	25	33	22	22	33	27	21	18	24	25	26	17
31	25	27	27	22	28	28	31	23	18	21	23	17	16
34	23	22	28	27	21	34	22	24	18	26	28	29	27
35	22	25	29	27	18	29	21	12	38	28	18	24	25
34	20	25	21	20	15	31	34	26	39	26	27	18	24
30	28	22	21	17	25	21	28	24	35	25	32	16	21
14	25	20	21	24	18	25	30	26	37	24	22	18	20
30	28	24	14	22	15	33	31	25	28	23	14	29	21
25	32	24	33	27	24	23	18	15	38	26	14	30	18
33	19	22	18	19	24	28	26	14	41	21	28	18	23
13	16	28	24	28	28	26	26	23	35	27	26	21	10
22	12	19	27	25	27	16	23	25	29	25	19	24	20
14	24	21	30	30	28	33	31	16	32	21	26	24	23
26	29	30	33	31	21	37	33	27	40	27	14	21	14
29	26	25	22	32	30	23	22	27	34	26	32	31	24
38	27	30	26	31	15	30	19	21	40	25	32	30	22
34	24	23	30	23	21	32	27	25	37	13	24	28	17
16	19	21	31	17	22	27	38	24	32	27	30	19	23
36	23	28	32	33	28	26	24	18	41	27	37	29	26
36	17	24	28	30	25	21	30	33	40	18	34	22	23
31	14	19	24	27	22	19	33	24	37	24	32	25	25
19	27	17	10	35	27	27	29	11	33	26	34	30	21
22	21	24	26	31	27	24	21	26	37	31	26	34	23
31	14	18	27	22	24	26	29	22	18	23	34	28	23
27	27	28	23	25	15	33	27	24	35	27	22	22	13
14	23	20	31	16	29	33	29	22	30	27	26	23	25
31	19	28	30	24	16	19	33	24	37	25	23	20	23
40	31	18	32	34	15	20	32	27	43	28	22	14	25
33	22	21	22	27	23	21	26	20	20	23	29	25	24
38	28	23	21	22	25	30	34	15	18	23	26	20	25
31	19	25	25	30	23	31	29	11	36	26	18	13	18
20	27	15	18	34	25	31	32	11	39	31	33	31	26
26	17	23	11	24	26	33	30	16	22	28	30	28	23
14	27	24	31	19	21	16	30	27	36	25	32	26	21
36	16	26	20	17	23	28	35	23	28	26	32	28	23
34	12	20	22	25	28	24	29	25	28	22	16	28	17
36	14	24	28	18	22	15	31	24	29	21	14	20	26
37	22	22	23	30	24	33	21	24	44	29	35	25	19
33	23	21	24	26	15	28	29	23	33	24	23	20	21
33	12	24	25	26	30	32	30	21	26	25	32	26	19
33	15	24	29	33	29	28	24	25	31	28	30	27	26
29	22	25	17	30	30	29	30	19	18	24	35	30	16
25	21	10	25	26	26	20	25	24	34	23	18	27	24
14	31	22	29	27	24	30	24	26	41	26	25	31	26
14	27	22	22	27	25	27	30	16	28	23	25	26	23
34	27	24	32	31	20	28	24	24	34	24	16	12	25
33	27	27	18	28	20	17	34	11	28	27	26	27	27
38	28	15	31	28	26	30	33	11	30	25	29	28	25
14	26	16	31	16	30	30	25	22	30	24	41	23	29
29	22	26	28	25	25	22	23	11	45	20	31	18	23
31	27	17	33	28	24	20	38	26	38	27	14	28	23
39	25	26	24	17	18	33	32	20	36	30	30	32	22
29	15	22	24	20	27	30	33	24	30	23	28	13	19
16	16	21	23	17	25	27	34	19	33	27	34	21	26
19	18	10	23	27	21	25	30	19	35	22	18	26	25
14	10	27	32	31	21	30	20	24	37	25	31	26	24
41	33	29	18	31	29	12	35	28	31	24	30	30	11
38	21	22	30	34	20	32	26	19	18	20	37	33	24
29	26	28	32	32	26	33	21	24	28	26	30	28	25
36	24	31	27	32	30	34	21	20	29	31	29	29	25
32	21	28	29	31	15	22	28	24	38	25	29	19	16
32	20	19	25	21	19	29	26	11	34	20	30	29	22
28	12	26	24	26	23	28	29	22	22	28	34	18	14
22	12	24	27	27	24	29	32	21	23	24	32	21	24
29	29	21	19	24	15	22	30	19	32	25	26	26	19
34	24	26	31	32	31	24	21	18	38	32	33	29	24
14	25	20	22	16	19	26	25	24	30	23	22	29	23
20	31	12	32	31	28	27	22	26	34	30	25	24	11
14	23	21	28	28	25	16	34	16	38	26	27	22	24
19	18	24	23	31	20	17	28	19	33	12	30	22	22
22	26	28	27	22	18	17	35	25	31	27	29	12	22
14	23	27	26	29	26	26	29	22	29	24	21	25	18
34	25	22	28	32	29	27	28	25	25	18	26	28	11
33	26	19	29	30	26	30	29	11	29	26	30	24	16
38	25	23	21	17	27	20	35	24	31	21	26	25	15
14	10	23	24	27	26	23	30	23	33	24	22	20	22
24	23	23	23	30	22	34	30	14	30	28	14	17	14
14	27	26	29	26	27	32	23	27	34	28	37	31	27
38	22	13	11	24	28	32	36	28	28	24	34	28	24
23	21	20	28	29	32	26	29	25	20	27	35	24	24
39	25	20	11	31	30	34	30	18	32	19	24	17	21
30	23	25	26	22	24	29	30	23	18	23	20	27	19
20	10	26	11	31	25	22	29	24	29	24	24	27	24
38	19	20	32	32	27	16	35	23	42	28	14	28	18
37	22	23	28	26	15	29	19	24	32	29	31	28	17
21	29	28	26	28	29	19	33	17	29	22	31	27	26
35	25	27	11	16	20	28	28	23	35	28	30	22	27
31	27	26	19	17	17	25	33	21	35	12	19	20	24
38	12	29	26	28	23	33	24	23	38	21	29	26	24
39	27	16	26	17	22	31	23	24	35	26	33	22	23
30	24	24	23	26	20	26	23	16	18	22	26	28	23
32	21	22	28	29	26	19	27	23	31	22	25	21	22
30	20	29	18	30	15	24	26	23	40	21	26	19	24
31	23	10	24	26	28	21	30	21	42	18	25	28	21
31	25	23	28	32	26	28	29	11	29	25	32	28	26
29	12	23	31	19	23	32	27	25	35	28	29	19	20
23	29	25	31	20	15	31	29	26	33	21	19	26	18
27	13	28	11	21	30	29	29	23	40	26	33	21	13
14	19	26	27	28	28	29	31	16	30	25	27	23	19
