M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
59	171	64	50	45	57	38	64	36	51	54	52	55	49
66	159	96	52	47	59	36	59	41	52	56	52	58	53
61	254	70	52	50	62	39	57	39	55	57	64	60	45
49	241	67	44	49	59	39	56	36	52	54	58	49	35
63	244	70	42	50	63	42	54	40	54	53	55	62	43
46	248	87	53	50	61	36	55	41	52	59	62	54	49
62	209	70	42	47	57	48	54	39	52	52	56	63	53
42	248	61	51	46	63	39	49	39	52	46	53	54	50
55	210	88	50	50	59	44	54	38	53	54	61	68	54
40	234	65	48	45	59	44	55	35	51	56	55	54	46
56	235	61	38	51	61	40	57	60	48	54	57	50	34
49	241	78	41	50	60	45	55	37	49	53	66	63	54
49	248	66	48	50	68	37	63	43	51	46	59	70	55
47	179	69	48	45	65	45	53	40	56	52	54	67	49
63	221	72	45	47	62	42	51	60	47	56	54	55	48
52	238	65	50	47	63	35	70	37	54	59	56	57	42
61	196	73	44	36	71	38	55	42	51	48	59	51	56
44	181	87	46	47	67	41	56	39	55	55	58	67	52
41	193	63	42	46	59	45	53	37	53	55	52	60	52
53	232	74	47	44	68	40	53	36	47	57	53	56	50
62	208	65	50	46	62	38	64	37	54	48	60	52	43
54	252	96	41	39	62	41	56	39	49	46	66	45	35
53	220	64	48	46	61	36	61	41	45	51	53	65	48
52	220	60	51	50	58	43	54	39	51	55	54	72	45
53	179	70	49	46	59	45	54	35	49	55	52	64	49
52	248	71	52	49	58	42	55	40	50	55	59	56	53
55	259	58	42	49	60	40	54	40	55	49	58	67	38
57	249	96	51	48	65	43	56	40	57	53	53	60	50
50	256	96	44	37	65	49	56	43	45	47	61	46	36
49	237	61	38	38	59	40	56	60	45	47	65	57	35
52	252	96	39	38	65	38	61	39	45	46	53	55	34
64	220	74	39	37	63	36	60	37	45	46	58	64	35
53	223	74	42	46	61	38	54	38	52	53	52	54	45
62	206	96	49	49	64	43	54	41	55	54	51	57	43
60	249	76	41	49	58	41	54	40	52	57	59	59	35
48	240	95	37	50	61	37	59	37	50	54	59	58	34
58	265	66	41	39	58	38	60	40	57	45	54	50	52
46	197	68	44	49	60	39	54	40	49	45	54	67	49
52	248	98	47	47	61	30	55	39	53	46	61	56	41
48	242	66	47	50	60	35	58	39	48	53	57	65	52
59	185	62	51	47	59	41	57	40	48	54	60	57	42
59	219	63	42	47	61	36	53	39	49	47	52	51	44
58	171	71	49	46	61	43	54	38	53	52	56	67	49
55	249	73	44	48	63	46	51	37	51	56	56	57	67
53	179	73	42	44	59	42	52	37	50	51	54	57	51
56	164	96	51	50	61	43	56	37	49	50	54	59	49
57	210	75	49	48	64	30	55	39	46	55	56	61	67
56	249	68	51	47	60	42	52	37	51	51	52	67	49
51	248	93	57	52	61	43	52	44	48	59	61	57	49
56	212	70	49	51	59	44	56	36	51	53	56	61	51
53	210	96	48	47	57	39	55	38	53	47	50	52	44
52	208	68	48	46	62	37	52	36	55	56	54	59	41
44	189	69	44	46	62	45	45	38	49	55	57	60	67
60	248	80	50	46	62	49	53	62	50	54	58	58	48
58	217	72	42	49	63	39	54	40	47	59	56	59	47
59	221	79	49	38	61	37	59	38	45	53	61	60	49
55	234	77	52	48	63	37	55	65	50	53	50	67	45
52	227	83	51	48	62	35	59	40	45	53	56	63	47
55	216	66	55	48	59	48	59	36	51	56	60	55	48
58	230	71	51	50	67	38	54	38	45	53	64	53	44
53	255	70	45	46	63	37	54	39	47	53	52	58	67
41	193	86	42	48	63	44	50	40	55	54	55	64	45
55	250	83	44	45	59	45	63	41	51	55	63	59	46
59	197	68	36	37	71	38	59	40	49	48	58	59	35
55	200	60	53	46	61	43	64	38	51	55	54	51	43
60	201	67	42	49	61	35	58	42	50	55	52	57	46
50	169	88	42	44	60	43	56	42	47	55	53	60	45
51	220	64	42	47	60	42	53	42	51	46	58	63	52
56	169	77	44	44	60	42	49	60	57	52	59	56	51
65	228	71	42	46	63	43	60	40	53	55	65	63	35
62	248	86	53	47	61	43	60	44	52	59	55	57	49
56	217	86	50	47	59	43	55	40	48	54	57	63	51
55	199	68	41	44	71	38	60	42	48	48	61	55	57
61	207	64	52	46	57	38	51	33	50	54	53	54	48
51	168	65	45	47	70	38	50	37	50	54	51	55	47
40	257	77	36	36	56	35	64	41	49	45	66	56	56
51	213	76	49	46	63	43	55	42	45	57	64	65	50
49	173	66	49	51	61	45	49	36	49	57	52	69	49
56	205	67	42	49	58	43	53	41	53	59	58	62	48
40	238	70	40	49	62	45	53	38	50	51	54	62	49
59	207	75	46	50	67	47	61	60	50	55	54	61	48
44	234	96	44	44	59	40	59	39	52	50	58	57	46
56	261	66	44	50	59	38	61	39	52	56	53	60	49
57	169	64	46	47	59	32	59	60	48	59	59	60	51
60	227	65	49	38	63	38	61	37	45	55	58	61	51
60	230	62	43	39	61	40	55	63	45	59	56	53	56
57	170	80	50	44	59	31	58	39	47	56	56	61	67
50	226	75	50	45	58	38	54	38	51	52	53	56	49
61	248	81	47	50	64	44	55	42	54	51	54	64	48
49	189	69	47	48	61	45	56	40	49	59	64	62	52
63	205	71	47	46	65	38	59	40	45	45	52	56	36
58	176	88	48	48	61	42	60	60	47	57	54	60	49
60	241	59	42	37	63	35	59	39	45	55	66	48	48
51	256	65	49	48	57	40	53	62	47	59	57	60	41
