out_transport,flux_sum_min_1,flux_sum_min_2,flux_sum_min_3,flux_sum_min_4,flux_sum_min_5,flux_sum_min_6,flux_sum_min_7,flux_sum_min_8,flux_sum_min_9,flux_sum_min_10,flux_sum_min_11,flux_sum_min_12
MNXM1[e],2753.70916002416,2926.92131612657,2729.42073916325,3849.0559337805,2327.9763039141,2355.57596623171,4085.54939406877,3800.18600954444,3484.13942343041,2330.38926995838,2468.61853357835,3002.53034836661
MNXM1043[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM107[e],0.501881846741747,2.98909913260432,1.40989001049344,6.60989216864633,4.88944070454931,8.78994050631906,4.33498050169097,6.18181373515271,5.77230727330096,1.00111668067938,0.925078538418839,1.51407494713938
MNXM108[e],7.06527065940101,5.67350718098946,5.57012751698582,4.83674539650707,0.177080117764053,0.130157531806811,0.419873427984871,1.04898222474877,0.534600215912001,0,0,0.00788475506845246
MNXM1093344[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1094019[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1094052[e],0,0,0,0,0.327926143989648,0.766972399312472,0.565904052472091,0.305585589961924,0.384878565135201,0,0.00104116857812009,0
MNXM1094289[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM11[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1101285[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1102072[e],0.0019151027672108,0.00206932065219903,0.00192216819673712,0.00303780574652193,0.00158730030454235,0.0015701111423823,0.00377011253815684,0.00337719275065511,0.00282275549600268,0.00145533282503313,0.00145881870937881,0.00266838314227773
MNXM1103104[e],0.221837156481195,0.343205938777795,0.597991750546168,1.56320949572357,0.162455050442189,0.202961577320759,0.0588650240172943,1.03641063923887,0.664057185536438,0.389403423588414,0.517623720036859,2.71821012306546
MNXM1103302[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103335[e],0.448576860256683,1.78087919751011,0.801010605796505,1.33833794406069,0.279342726973765,0.275759706812001,1.25386631897447,0.840100409105949,1.33396372535088,0.0594605506019207,0.0694864049942928,0.133772683702936
MNXM1103400[e],2.57952588469147,1.94539100637531,2.12682485167173,1.33833794416627,1.25173255354091,1.62174220137077,1.77098399051032,1.55578564926693,2.52742442496618,1.02821807371382,1.02242853460586,0.133772683701249
MNXM1103553[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103769[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103965[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104180[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104207[e],0.372614837548547,0.060189388824154,0.178639582785603,0.760150801268636,0.532675522971143,0.552582681373717,1.16101130426134,0.679141190771545,0.446699982964474,0.12637477221275,0.520575351417067,1.30656221183302
MNXM1104434[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104527[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104551[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104590[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104617[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104679[e],0,0,0,0,0.307158945356605,0.289387088788577,0.35197573810678,0,0,0,0.0213967283725738,0.096115129376914
MNXM1104756[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104823[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105684[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105731[e],0.909553103384623,1.56183774248965,1.36539135930149,2.8073089332905,0.926263984699654,1.03604405461316,1.79093205141312,0.836553771801929,1.29582662406,0.147216433240387,0.273823419045224,0.774435173980838
MNXM1105732[e],1.24672987717616,9.152910190652,1.0124597109564,7.14567190365796,1.09385866488317,1.06196919010195,2.72099243707704,2.29109631856452,2.29407242282762,0.703342701870686,1.63339099188064,4.76112534535998
MNXM1105737[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105760[e],0.448576860259179,0.301517558004459,0.288922870207176,0.519477350932769,1.25173255354807,1.62174220134186,2.82230322778416,3.12149193419221,2.73707422121749,0.059460550601306,0.0694864050182118,0.133772683708121
MNXM1105765[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105842[e],0.343903740942136,0.527932398847536,0.271117390999685,1.00884066415999,0.356458179484006,0.362778046450907,0.513759263252162,0.498540401220319,0.479806835698663,0.144150974781067,0.137890027249287,0.334114497605962
MNXM1105857[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105858[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105934[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105941[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106000[e],0.655638549780547,1.88968126251233,1.10861896076975,1.2661100343595,0.813075832630562,0.672164026261578,1.39821638189342,1.38222871640984,1.60531059881702,0.752417683461559,0.939024189130298,1.41527868545586
MNXM1106005[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106022[e],0.343903740936095,0.527932398845863,0.284394427506678,1.00884066414108,0.356458179480636,0.362778046458523,0.51375926325033,0.498540401217091,0.479806835710619,0.14415097478269,0.137890027240023,2.62023511970138
MNXM1106046[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106164[e],4.5603156920923,4.88900738701501,4.49199460192567,6.33530646592232,3.54574603831089,3.62548187493005,6.48737763525372,6.02713991504133,5.49448036114387,3.36778609040207,3.5728845898733,4.69746603205074
MNXM1106181[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106761[e],4.08005616271211,6.41870546791756,5.8974732383872,8.31753013129986,4.6551575161114,4.75984151635564,8.51718211973815,7.91294282587649,7.21362197796975,4.4215165333338,4.69078731876586,6.16723365675685
MNXM1106903[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1107192[e],61.0471159374895,63.0865885246166,48.6577143585389,81.5347081536699,29.8501300144893,36.1928653004697,115.688585853464,93.4931434451237,83.4942674078017,30.1539612904318,37.2327094969166,50.9697907699732
MNXM1107695[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1107753[e],15.8651391312689,25.5205166238172,22.5944089256146,50.0704095147598,8.60274065152081,8.23272923883875,8.55012135258104,6.01281608817722,7.03380217280413,4.46910183405763,2.64708010154456,23.6924877670012
MNXM1107769[e],2.76116620013501,2.41119437489945,2.19238414236808,4.73674496481229,2.19903878950271,1.91696114460589,4.96779082261966,3.08331669282286,2.69617673498643,1.5569592580916,1.87361710500272,4.13723987811519
MNXM1107801[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1107821[e],1.68570233833028,0.571092858045034,1.72090724250424,0.150061488030708,1.3061226698138,1.37496174663807,1.74345167383152,1.71339175724428,1.75299933739222,1.0861153385928,1.08871680320173,1.30834114264301
