out_transport,flux_sum_min_1,flux_sum_min_2,flux_sum_min_3,flux_sum_min_4,flux_sum_min_5,flux_sum_min_6,flux_sum_min_7,flux_sum_min_8,flux_sum_min_9,flux_sum_min_10,flux_sum_min_11,flux_sum_min_12
MNXM1[e],3229.426297742,4849.06911519915,5430.23642046205,2630.39844934268,3786.17608432908,4270.8658091321,4128.02045356783,4437.36577504294,3913.26023663702,2218.61882346824,2319.57185918708,2694.23681083288
MNXM1043[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM107[e],0.05736451602758,0.0729560689049061,0.648062295779757,0.0147774473236555,0.0244304898469851,0.0173772475811217,0.225096542271079,0.177603807903263,0.499147091215371,1.01228355590062,0.816105210215755,0.0202844530219579
MNXM108[e],0.00397211796196154,0.0124689118465862,0,0.00636041538667653,0,0.0104167647106452,0.0104543264486359,0.0282468485135029,0,0,0,0
MNXM1093344[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1094019[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1094052[e],0,0,5.42523437418952,0,0.0309471099506009,0,0.0105971638403728,0.0375991304167207,0.0357662636207188,0,0,0
MNXM1094289[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM11[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1101285[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1102072[e],0.00134076669520582,0.00134212638436013,0.00142302034086243,0.00133268119516406,0.00135928405462331,0.00132238415192043,0.00429214450333173,0.00463800087435202,0.00410143067269058,0.00159617599387459,0.00176600426324723,0.00142669437755863
MNXM1103104[e],1.70828656122976,2.40459518318697,5.10402938157907,1.16853060549662,1.9415229497129,3.87867271957034,1.2402423597175,1.07788218364271,1.89421063143668,0.253865042140564,0.0786596808082847,2.34217373193397
MNXM1103302[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103335[e],0.033899079496348,0.0383317113348343,0.016035126582593,0.00831780079810477,0.330247047535553,0.00421782076876009,0.457474842411442,0.386973228246668,0.175395716314304,0.0556163093843987,0.042803050747373,0.147514166454611
MNXM1103400[e],0.0338990794944751,0.223443359729635,0.0160351265953755,0.641022401382869,0.203524660650634,0.639777309960743,0.457474842349005,0.386973228227163,0.34182182006325,1.01778284994069,1.02440669319219,0.147514166452891
MNXM1103553[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103769[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103965[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104180[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104207[e],0.0413858441561059,0,5.0990449778547,0.0216454123747911,0.0333402540635035,0.0351887356247884,0.10480276269972,0.175003238505198,0.404720572439776,0.313501590488481,0.364920067878014,0.528328817031879
MNXM1104434[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104527[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104551[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104590[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104617[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104679[e],0.40079028595815,0.38550819356269,0.292120853116383,0.398116024548241,0.408453613814691,0.403399809071102,0.108868993706457,0.08621352416071,0.271454985178647,0.0210778508490665,0.012486512554018,0.0139764829429209
MNXM1104756[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104823[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105684[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105731[e],0.058198411400864,0.0202332338748774,15.857064875358,0.0142691784380341,0.124722068186033,0.0498807558623098,0.270261427393109,0.327315996655779,0.214095636733423,0.721077304741209,0.830276141912795,0.868183302936277
MNXM1105732[e],2.35900976138626,2.4442973332248,5.10402938152366,3.11887100099501,1.29444315637598,3.64978560782092,0.871367155859745,0.981579109524057,1.07363438472179,1.13530509488431,1.0548782959884,1.86381341144265
MNXM1105737[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105760[e],0.0338990795022778,0.728460398688078,0.0160351265886456,0.0083178008079432,0.330247047521559,0.538554984873128,0.45747484238332,0.386973228279131,0.175395716310043,0.055616309395301,0.0428030507573227,0.147514166469329
MNXM1105765[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105842[e],0.00618573988191305,0.00968481012037905,0.251737683162393,0.00227668802838046,0.00892034440475389,0,0.0746324649692722,0.0728196572801658,0.0166181682397409,0.021956094626168,0.0342222936803158,0.0559059317611204
MNXM1105857[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105858[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105934[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105941[e],0.00140636968415109,0.00880762768221111,0,0,0,0,0,0,0,0,0,0
MNXM1106000[e],0.0271039289825228,0.0394046091026941,0.0494518407553617,0.00570040971042282,0.0290353805626933,0.00433587683569644,0.165064983649381,0.234815179835486,0.0589458690342566,0.18581224993925,0.248953594994084,0.338280676076019
MNXM1106005[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106022[e],0.00618573988513418,0.00968481011458671,0.0526682206479208,0.00227668802687216,0.00892034439561179,0,0.0900979702299245,0.0728196572790893,0.0166181682398605,0.474236605680493,0.039727810682171,0.228001045544099
MNXM1106046[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106164[e],4.70297658443932,7.42854905943894,8.75232303280661,3.78931684779293,5.58520938065775,6.2059503401288,6.22832835529336,6.66437909806875,5.85764485162812,3.18106919821532,3.37187103357074,3.93832896032188
MNXM1106181[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106761[e],6.17446837946205,9.75283215835316,11.4907954234117,4.97493802835219,7.332738765432,8.14770038754665,8.1770801525869,8.74956472160884,7.69041526468544,4.21217361826231,4.43790453748939,5.17057382634057
MNXM1106903[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1107192[e],67.0873672329355,103.713576494593,87.9361535317838,33.3502588302568,103.150598080163,94.0574471726508,105.604647281017,122.947831340281,123.633869596766,25.1695374854572,30.9054158930925,29.0929003537994
MNXM1107695[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1107753[e],3.34639463850987,26.4358446815198,39.1966419762261,9.63169097415085,2.81170528137829,15.3864944420763,2.91318755551629,3.07282476991297,3.26829641409147,3.92570757305774,2.80193267182803,22.0531235713069
MNXM1107769[e],3.48368553016638,5.46591365671306,23.0471234676605,2.66268571993201,4.66397331076252,9.19124062714888,3.65280269159024,4.6089953853075,3.66835465241686,1.60000870516052,2.1341939698135,1.85551797976379
MNXM1107801[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1107821[e],1.00060337996148,1.00162933619923,1.06200044319242,0.994580388545728,1.01443413032277,0.986895701982661,1.1718887065983,1.22008181865182,1.05383019492858,1.0433298447662,1.05061656383256,1.0647425140487
MNXM1107903[e],0.0540779243048053,0.0703832148636142,0.620078748738481,0.0147774473263999,0.00926397772061701,0.00449604115630908,0.172225163180701,0.177603807946164,0.443226775603709,0.992437814724642,0.782854186259687,0.0202844529004114
MNXM1107990[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1108018[e],0.00470559887152863,0,0.0126527170854393,0,0,0.00597894603148674,0.00599986426618671,0,0,0.00847246946871572,0.00446141187883201,0
MNXM1108051[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1108092[e],0.882720857057933,0.00601632143654562,0,0.314357932975529,0.00886628170942313,0.591663744809477,0.0123633574998885,0,0.00688227168891347,0.00545575752696193,0,0
MNXM1108176[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1108206[e],1.35070279737479,2.08250721211717,3.60231398170438,1.77551010029106,6.51588272964769,2.4353256234032,5.92109737752858,5.76010844581321,18.9435836525695,1.55293816352658,1.56687020459238,2.11735689572421
MNXM1108339[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1118[e],0.104697565730786,0.131409912046278,0,0.110491134293142,0.300642795149315,0.305454275298967,0,0,0,0,0.0511307880043482,0
MNXM1137656[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1137670[e],0.0271039289756737,0.0394046091038274,0.0372537152465848,0.00570040971395352,0.0290353805678402,0.00433587681952674,0.165064983632916,0.234815179849833,0.0589458690314366,0.185812249937966,0.248953594997496,0.338280676084482
MNXM114[e],2.35313308229857,1.42464865592921,11.9930190058157,0.912061429096075,2.84780737997806,1.62628339580382,0.984552670054793,1.69894034729548,0.736589078897919,0.997980509151004,1.06472680089851,2.33860556386261
MNXM117[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM118[e],0,0.00335399277439997,0,0.00862050393680763,0,0.00605276337429953,0.0111270220347188,0.0246744293345151,0.01858213357676,0.0305233336659394,0.0160729011339842,0.0607190252095005
MNXM11814[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM12236[e],0.181953325216544,0.226586770601125,2.03412478744918,0.0443323419904191,0.0862713126350045,0.0521317427541923,0.763524237920445,0.335842329415204,1.51003544918955,0.502311532828789,0.108164606182743,0.0423686359214349
MNXM124[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM124865[e],15.6510633936467,11.2977441106813,24.4011367844612,6.85335351430887,11.5357087677758,21.3442483394982,11.2291125856506,16.9043369502409,10.8151944177972,8.03227923583845,6.27419189526286,7.96818330259275
MNXM128[e],0.736339980778954,1.73327121291454,5.12696071382122,0.592855262475603,1.05704264263422,1.10352149124775,0.881466634024828,0.846084091724331,1.09638930025096,0.55173659984222,0.794915365512871,1.88680395214997
MNXM13[e],5.69289991693035,6.71614673008104,5.30339175889511,5.95181813140497,6.10307061368522,6.37832620051038,11.5254287573399,20.6159412573461,3.62106441970391,0.977777411617467,0.773200286766967,4.94605514525654
MNXM1403[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM142[e],4.50779743945349,6.88187843428295,6.57365261039462,3.22872845963959,6.11726152160706,8.65718325091687,7.38679142104671,7.37719527178309,5.88624686366337,4.42180567131646,5.46210081667394,3.0869447929067
MNXM1485[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1562[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1565[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM158[e],1.64916460175583,0.891740009086241,1.22863394504165,0.649544453209164,2.39702556600777,0.626553099345843,14.5789686183526,21.8815053409674,6.11259783207571,1.70643720246706,1.432704490151,5.19034460577031
MNXM1608[e],0,0,0,0.00261102683072489,0,0.00794405403505571,0,0,0,0,0,0
MNXM1630[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM164[e],1.99854959011332,0.00363180380422763,0.00987529137651936,0.595106822433515,0.00535220662996253,1.15130511595922,0.0261213627214343,0.034754836422974,1.16487998686563,0.331376630989909,0.493731923170139,0.0628941732110936
MNXM1653[e],0.00397211795838825,0.172341197134964,0.199331693702592,0.0522416580588126,0,0.0104167647136324,0.0104543264545689,0.200134019614829,0,0,0,0
MNXM168[e],0.431118733107381,0.375280613563193,1.18909385855056,0.292731003737841,0.338034698147999,0.0998373515495992,1.44660133745594,1.6093749292657,0.255707302987649,0.156750795310226,0.182460034012235,0.525168848324943
MNXM169454[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1734[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM174[e],0.71473412736479,1.60274803045207,1.16898424392238,0.671123647765004,1.03513838987327,1.34402746402105,0.637022012405797,0.243664085605863,0.50777161154137,0.0297065960370108,0.0310623899860717,1.13565276809686
MNXM1742[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1747[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1820[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM19009[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM191[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM192[e],0,0,0,0,0,0,0,0,0,0,0,0.991462369886044
MNXM1949[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM199[e],5.799379817094,9.16036401887788,2.13364658888708,4.67271891603265,6.88728722648285,7.65274130181773,4.83887403461695,4.87723129420085,7.22323548043313,3.92267071161666,4.15795410990803,4.85647016851963
MNXM20[e],0.168038694443479,0.413873742057704,0.09724767302255,0.020695251869121,0.262505557572349,0.0458215844385299,0.904552369548825,0.9201909579075,0.248088370617845,0.21091178468278,0,0.550246723110334
MNXM216[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM217[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM218[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM222[e],1.52619160475667,0.568851579798123,1.3915531934727,1.29176719454968,8.41676593911419,2.13721502225702,5.10745315443945,4.37717500358271,1.32194919072886,4.42558465073067,5.604900874682,1.92374469498787
MNXM2255[e],0.00947006454456216,0.0149583647327609,0.0176239584824413,0.00763028998581192,0.0112465568143414,0.0124965007192219,0.0125415618097164,0.0134196075800149,0.01179514161714,0.00640550300286623,0.00678970769581276,0.00793034555669002
MNXM23[e],0.00553342549816271,0.0129952543031244,2.8156731412807,0.0122196055314956,0.022343029823218,0.00619636215467434,5.00356411894217,3.76380289619163,0.923878703971315,0.472018485381823,0.403765888083951,2.74892577867089
MNXM232[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM236[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM25[e],0.140011130617478,0.500235235479303,1.14249104737072,0.446891356012084,0.00719476958635562,0.261760091839742,0.403929844996736,0.0177979490257961,0.00837719136549486,0.00354177002117156,0.00186501646071052,0.98234708648129
MNXM2561[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM26[e],0.0929841507775822,0.0489547251343699,5.45373300464263,0.0153442535553956,0.194985212025289,0.0497726663593681,0.0519320395844017,0.318884503536879,0.430638025778097,0.0138112858698555,0.0519479467527536,0.0627984438820305
MNXM27[e],26.1804043326981,30.9457298692874,152.466950332289,10.2086871193394,41.7018893044666,66.8294465090334,23.3900808719764,30.5476996022257,31.1666705130005,8.28121828376611,10.0930795108988,22.6687768353802
MNXM270[e],0.00611237161758674,0.00965474771461162,0.0113752322455983,0.0049249049691365,0.00725899325335359,0.00806575878870325,0.00809484307998153,0.00866157016030385,0.00761307259224808,0.00413437675727675,0.00438235837105719,0.00511857325367007
MNXM274[e],0.0312196918046923,0.0493128145600919,0.0581004014696454,0.0251545594601379,0.0370762032092209,0.041196857669431,0.0413454092811968,0.0442400377235783,0.0388847070966545,0.0211168391330251,0.0223834358055366,0.0261437441073398
MNXM282[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM2861[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM289[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM29[e],3.27052729865879,9.32751543921521,10.822473644081,3.28980824890678,5.12228979747973,6.79256534780958,3.17239402627208,9.71776575068644,2.86861506138604,0.82929274076197,2.06056162226148,10.2247026608795
MNXM2902[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM304[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM311[e],0.00305618580879338,0.00482737385731649,0.00568761612317315,0.00246245248463549,0.00362949662667869,0.00403287939275008,0.00404742153800227,0.00433078508009164,0.00380653629612478,0.00206718837863845,0.00219117918552902,0.00255928662684937
MNXM314[e],0,0,0.00961878396879872,0,0,0,0,0,0,0,0,0
MNXM3230[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM328[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM355[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM37[e],0.0253615335230064,0,3.9146963992699,0,0.0702209511519267,0,0.163196323444042,0.166470149838292,0.43557364200336,0.3658412310217,0.482367853980262,1.14784262940631
MNXM386[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM39[e],0.0107540071545491,0,0,0.00395805831484453,0.0186097926040383,0.00301059996647859,0,0,0,0,0.0128640004489736,0
MNXM398[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM402[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM420[e],0.158137076384516,0.26379627773462,0.115277856089167,0.144413506081431,0.186628473154872,0.17770526338868,1.51519819350496,2.89962547912607,2.64603167098588,1.33064427644936,1.80953159350024,0.0678148876135083
MNXM435[e],0.143841533257357,0.0414856791826567,0.0426883221772713,0.0306503372688741,0.0501139972365559,0.0169552198330788,0.34844335519179,0.0822449375760128,0.224906243424305,0.0795400491060896,0,0.0636332696115653
MNXM440[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM444[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM458[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM461[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM490899[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM492[e],1.3129611466685,0.00464417796984318,0,0.00436698054877416,0.316408549438878,0,0.0190872892242789,0,0,0,0,0
MNXM5[e],0.00185548827196336,0.00946552292291364,0.00196931903667963,0.00939890946854127,0.00188111449304884,0.00932628822869425,0.00593990276395019,0.00641853372069612,0.00195416853759757,0.0019346972228923,0.00244397507005735,0.0100619503749803
MNXM544[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM58[e],10.1617432013903,8.72811082658541,53.9295071606224,2.49510641159162,16.5474873877962,18.0236352063585,7.39636556205979,7.83270167644181,12.8139628456274,1.75047467396648,2.00003101259116,7.1813928635396
MNXM602[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM617[e],0.00916855742638022,0.0144821215719494,0.0170628483683974,0.00738735745385352,0.0108884898800361,0.0120986381827159,0.0121422646196425,0.0129923552408624,0.0114196088883744,0.00620156513591528,0.00657353755738958,0.00767785988050016
MNXM625[e],0.80079496157108,0.375280613533097,1.53837713185216,0.660777074448395,1.38263209325808,0.323312572414623,6.22210326396645,6.0113740942971,1.7952381082719,1.56035572779398,1.64485738699014,1.14843756842447
MNXM6409[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM647[e],0.971101576659012,0.782516678468451,1.6400670743012,0.357923240123987,1.22241118273232,0.351449916533584,0.719557330381196,0.838463578142086,0.716633677570449,0.0301262111085849,0.0308210686285514,0.921901545118151
MNXM652[e],0.000415098048051346,0.000415519008155783,0.000440563543582369,0.000412594814686969,0.00042083098381673,0.000409406854643105,0.000486149877444766,0.000506142511678421,0.000437174110303196,0.000432818183224225,0.00043584110795186,0.000705961090874205
MNXM653[e],0.118889739422632,0.187791337274546,0.221255918678461,0.0957927143661095,0.141192301506183,0.156884433838747,0.157450142883823,0.168473365783865,0.148079382819911,0.0804164089006016,0.085239818092033,0.0995596927703197
MNXM65309[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM66[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM662[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM683[e],0,0,0.0197505827590432,0,0,0,-3.39994699061208e-12,0.320796496260291,-1.17301723889796e-11,0.0210778509000722,0.0124865127362224,0.0139764829212851
MNXM694[e],0.0177692273243498,0.0101166169561866,0.0137541213199242,0,0.0521811738948859,0.0108535005606067,0.135130713675483,0.163657998321684,0.107047818312141,0.359927148379166,0.454097847582172,0.934431215308381
MNXM704[e],1.45568457631319,2.1435988632795,2.46365124329461,1.60050034878286,3.39593049127679,1.51472199259259,15.8978576489184,23.2017998012658,7.03963656089612,3.33842846246807,3.12532269006568,6.12314084320711
MNXM724515[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM726092[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM726638[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM726711[e],0.199035813899081,0.314385428396638,0.381753949042177,0.14034874571141,0.291883301384363,0.262643531141608,0.545630261002695,0.608301739766976,0.305892103398701,0.192911796342252,0.251389645844926,0.197292340208453
MNXM726712[e],0,0,0,0.0200198524931017,0,0,0.0288672741506424,0.0173245993004253,0.0072483499722447,0.0122291304473702,0,0.0243845021417863
MNXM726888[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM727182[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM727224[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM727276[e],0.00550303984351886,0.0100755223814727,0.0121532369054309,0.00398386935400191,0.00695085683254604,0.008058581210517,0.00765410290988761,0.00827086224019195,0.00731400640789759,0.00284643148155084,0.00314928314431356,0.00406633590483807
