out_transport,flux_sum_min_1,flux_sum_min_2,flux_sum_min_3,flux_sum_min_4,flux_sum_min_5,flux_sum_min_6,flux_sum_min_7,flux_sum_min_8,flux_sum_min_9,flux_sum_min_10,flux_sum_min_11,flux_sum_min_12
MNXM1[e],2116.15218766474,2182.52758714141,2192.35362655698,2253.95865989239,2315.6036881034,2191.29776947891,2195.47541871021,2230.88533180962,2205.10324993612,2135.02209076659,2588.585988069,2586.75468544816
MNXM1043[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM107[e],0.560488518715282,4.34983060698296,2.31262087898496,0.428062047543935,4.39024381422989,3.74478113639977,0.110175548153372,4.25674449459085,4.69157490286475,0.361243104191852,1.45994982255724,0.995232112337121
MNXM108[e],0.0202581920629399,0.0922960252345588,0.0442930815630846,0.370406464521678,0.00592079112733768,0.266655911859357,0.102905028991349,0.584213834601575,0.599178921025293,0,0.00677853543166673,0.391371077302229
MNXM1094019[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1094052[e],0.00532951717203739,0.00525259006932144,0.00244927748635104,0.0412470535322375,0.0315176444087635,0.0186548103380515,0.184271407964615,0.0969241105378515,0.0375274902904696,0.00946633908416698,0.107623961658837,0.172871407733596
MNXM1094289[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM11[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1101285[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1102072[e],0.00129918223526213,0.00131320165399235,0.00130538155481596,0.00129997548803355,0.0013056892201923,0.00128426557193538,0.001325387255246,0.00129255002382281,0.00128636861294285,0.00143025372137867,0.00212502055397978,0.00212746435789603
MNXM1103104[e],0.0248797148131734,0.00577976608364295,0,0.0334687364028241,0.0496234269118519,0.0101695908270833,0.238613350212807,0.107062533653335,0.0380875184575973,0.632123668118252,2.07990406245779,1.81999707461704
MNXM1103302[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103335[e],11.3597275615268,8.2493776516854,7.63451234085793,1.32383259008476,0.74040773674983,0.805474589542982,0.916020831425456,4.17801623168312,4.73327258043607,0.0838966017520453,0.643776538171782,0.501456495907071
MNXM1103400[e],2.15873576525672,2.29900743500534,2.26731934645354,2.36417367487037,2.46805170036447,2.27658370434976,1.67511505858915,2.32957422628038,2.29683534755778,0.989319178829711,0.643776538173361,0.501456495905338
MNXM1103553[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103965[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104180[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104207[e],0.157878219842344,0.0760708077931375,0.109639927455873,0.0403651263989667,0.0651377956308599,0.017541904035887,0.0612833520471462,0.430209507378654,0.290448031507877,0.0337403673945753,0.952713302729919,1.08023337687301
MNXM1104434[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104527[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104551[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104590[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104617[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104679[e],0,0,0,0,0,0,0,0,0,0,0.267237907081245,0.225678943740459
MNXM1104756[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1104823[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105684[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105731[e],0.808825541694209,0.885143976817171,0.808285792431345,0.942835914564846,0.994193521867149,0.891953075795868,0.94555212903132,0.834384398310769,0.810175195645567,0.849160609420968,0.131525534895044,0.29286427580557
MNXM1105732[e],2.6959114799013,1.97293419658064,2.32160664371291,1.7650340984152,3.23597759360891,2.98751974670634,0.900931080261101,1.20346166477818,1.09039886879144,1.41974507338499,2.19313855452854,2.04716538087988
MNXM1105737[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105760[e],11.7093186748887,8.63366865587526,8.05539776463241,1.69581489439333,1.39423732654679,1.09530950352318,1.67511505860016,4.87319210550452,5.23291127389499,0.665343626175196,0.643776538152892,0.501456495911691
MNXM1105842[e],0,0.00512509999896371,0.00468861696162293,0.022963271933476,0.00441376877887123,0.0047893041767022,0.281553640208818,0.032424542944204,0.0346856026741663,0.629810422217947,0.995067322516933,0.815611620844185
MNXM1105935[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1105941[e],0,0,0,0,0,0,0,0,0,0,0,0
MNXM1106000[e],0.551224853102015,0.599369213873494,0.563983476634388,0.0302148316526042,0.048875763450953,0.413252608313486,1.06513669381993,0.00976528633605744,0.0174104145982206,0.623188613008862,3.25545104834216,2.96407999997075
