Species,Growth_rate,Timepoint
EC,7.36003250341016,0h
PP,5.92911076197951,0h
EC,7.84041300744225,0h
PP,6.40656548668421,0h
EC,7.13906470346612,0h
PP,5.95098509608986,0h
EC,9.05664423394549,4h
PP,9.40497135146094,4h
EC,5.4183595852142,4h
PP,4.91424242465597,4h
EC,5.70393373561251,4h
PP,4.86102520473924,4h
EC,7.23258871970522,8h
PP,11.6721750362384,8h
EC,7.10788723421747,8h
PP,10.4557051176472,8h
EC,7.27219654180567,8h
PP,8.73918109473817,8h
EC,4.50567438380991,24h
PP,5.30833737862356,24h
EC,4.51646637984303,24h
PP,5.89521964971203,24h
EC,5.42756276632937,24h
PP,8.26124811850695,24h
