Species,Growth_rate,Timepoint
PP,4.02223602679792,0h
EC,5.01003801911449,0h
PP,4.06563979671566,0h
EC,5.42995703205994,0h
PP,4.04142896214733,0h
EC,5.39886557648672,0h
PP,4.02469191166549,4h
EC,5.85204019249474,4h
PP,4.0423814899084,4h
EC,6.23676982146696,4h
PP,3.97605966646371,4h
EC,5.51961982902654,4h
PP,4.10336611351345,8h
EC,5.30537639922329,8h
PP,4.00170285736037,8h
EC,5.65054579048248,8h
PP,3.98256536475127,8h
EC,5.44973403392862,8h
PP,4.50820217810396,24h
EC,4.42803007477759,24h
PP,6.57901101145153,24h
EC,5.18927967187756,24h
PP,6.5865769436525,24h
EC,5.04891783797203,24h
