"sample","condition","time","species","quantity"
"Sample 1","all",0,"EC",150753359.82584
"Sample 1","all",0,"EC",179451378.986673
"Sample 1","all",0,"EC",197309047.47814
"Sample 1","all",0,"EC",325275684.906559
"Sample 1","all",0,"EC",389286192.407719
"Sample 1","all",0,"EC",299844025.64752
"Sample 2","none",0,"PP",96372694.1306558
"Sample 2","none",0,"PP",85380363.6090052
"Sample 2","none",0,"PP",79129678.2788187
"Sample 2","none",0,"PP",243395979.429944
"Sample 2","none",0,"PP",237411635.591965
"Sample 2","none",0,"PP",217674823.005169
"Sample 3","more",0,"EC",203648117.56009
"Sample 3","more",0,"EC",188105199.394134
"Sample 3","more",0,"EC",210615534.229849
"Sample 3","more",0,"PP",192709.267220366
"Sample 3","more",0,"PP",230167.181702846
"Sample 3","more",0,"PP",340260.550260551
"Sample 3","more",0,"EC",329904166.143229
"Sample 3","more",0,"EC",383566438.471988
"Sample 3","more",0,"EC",404505471.103327
"Sample 3","more",0,"PP",342327.19379291
"Sample 3","more",0,"PP",366645.028007744
"Sample 3","more",0,"PP",326798.158027443
"Sample 4","equal",0,"EC",142086690.913569
"Sample 4","equal",0,"EC",110774398.369774
"Sample 4","equal",0,"EC",126900636.381272
"Sample 4","equal",0,"PP",71197377.9865421
"Sample 4","equal",0,"PP",75438527.0258829
"Sample 4","equal",0,"PP",68703268.6986324
"Sample 4","equal",0,"EC",223913665.770614
"Sample 4","equal",0,"EC",239497288.02772
"Sample 4","equal",0,"EC",187221361.858383
"Sample 4","equal",0,"PP",152384993.199973
"Sample 4","equal",0,"PP",135732484.918726
"Sample 4","equal",0,"PP",156963617.780427
"Sample 5","less",0,"EC",189112.832731547
"Sample 5","less",0,"EC",274536.314993667
"Sample 5","less",0,"EC",261202.301941502
"Sample 5","less",0,"PP",149038887.461775
"Sample 5","less",0,"PP",144302548.116602
"Sample 5","less",0,"PP",104125476.058379
"Sample 5","less",0,"EC",279005.394287542
"Sample 5","less",0,"EC",187465.951284715
"Sample 5","less",0,"EC",178721.252759224
"Sample 5","less",0,"PP",160056309.896587
"Sample 5","less",0,"PP",154865614.453387
"Sample 5","less",0,"PP",136098268.512675
"Sample 6","all",0.5,"EC",510878704.616336
