Lambda,Solutions,Time
L = 0.1,108.7280337258,0h
L = 0.1,108.896868680728,0h
L = 0.1,108.74189881333,0h
L = 0.1,109.004610400167,4h
L = 0.1,108.425488588178,4h
L = 0.1,108.441127217957,4h
L = 0.1,108.749035744336,8h
L = 0.1,108.713590184719,8h
L = 0.1,108.665347991075,8h
L = 0.1,108.314399532561,24h
L = 0.1,108.336900365758,24h
L = 0.1,108.600076591388,24h
L = 0.5,77.2047575388554,0h
L = 0.5,77.9418565421019,0h
L = 0.5,77.2626917138151,0h
L = 0.5,78.4374083339997,4h
L = 0.5,75.7591198926099,4h
L = 0.5,75.8514278059014,4h
L = 0.5,77.2003485944432,8h
L = 0.5,77.035715244667,8h
L = 0.5,76.8069858357244,8h
L = 0.5,75.2198975275275,24h
L = 0.5,75.3256151814258,24h
L = 0.5,76.4908630923078,24h
L = 1,52.0856023351857,0h
L = 1,52.8423055614285,0h
L = 1,51.8954512844483,0h
L = 1,53.7926076451146,4h
L = 1,49.5251778548058,4h
L = 1,49.6923000384473,4h
L = 1,52.2338486749585,8h
L = 1,51.8309969813357,8h
L = 1,51.5158842934463,8h
L = 1,48.5906002338719,24h
L = 1,48.8106730766337,24h
L = 1,50.8886803485238,24h
L = 2,27.0256610103517,0h
L = 2,28.5095917370144,0h
L = 2,26.8624621239205,0h
L = 2,29.2242551009944,4h
L = 2,22.0994253892716,4h
L = 2,22.4001611957089,4h
L = 2,25.4363643270835,8h
L = 2,25.2367850569088,8h
L = 2,24.7669694131127,8h
L = 2,20.2332786194285,24h
L = 2,20.4259400613487,24h
L = 2,23.0505532506304,24h
L = 3,15.1681197358812,0h
L = 3,15.7895272842251,0h
L = 3,14.4067876513931,0h
L = 3,17.0525143603591,4h
L = 3,11.1313540526459,4h
L = 3,11.4656645672748,4h
L = 3,13.9490583747829,8h
L = 3,13.8642060628163,8h
L = 3,13.4760469844755,8h
L = 3,9.28618400223766,24h
L = 3,9.42757269194532,24h
L = 3,11.7322880369297,24h
L = 4,9.93873371967557,0h
L = 4,10.5351559994133,0h
L = 4,9.51027421012446,0h
L = 4,11.3810914647616,4h
L = 4,7.44065632977844,4h
L = 4,7.69264168364657,4h
L = 4,9.65808612239636,8h
L = 4,9.46420066969072,8h
L = 4,9.21862180408854,8h
L = 4,5.02772853626216,24h
L = 4,5.14277909450956,24h
L = 4,7.68570688136586,24h
L = 5,6.29830012442867,0h
L = 5,6.76950167890311,0h
L = 5,6.09388413087779,0h
L = 5,7.82607679207189,4h
L = 5,4.60421249554674,4h
L = 5,4.78154088383561,4h
L = 5,6.46740960474451,8h
L = 5,6.21740993176485,8h
L = 5,5.97452701260804,8h
L = 5,3.32740443982582,24h
L = 5,3.38504563686031,24h
L = 5,4.82639963778182,24h
L = 6,4.00728224197891,0h
L = 6,4.31759354120165,0h
L = 6,3.97428389296526,0h
L = 6,5.22585828046988,4h
L = 6,3.20372995012025,4h
L = 6,3.31754357699233,4h
L = 6,4.38024503619885,8h
L = 6,4.2231291120823,8h
L = 6,4.01876437808259,8h
L = 6,2.52069155472937,24h
L = 6,2.54400888982989,24h
L = 6,3.30413209393341,24h
L = 7,3.19092247543234,0h
L = 7,3.58647046621191,0h
L = 7,3.20661626170503,0h
L = 7,3.98187652635588,4h
L = 7,2.76874375253471,4h
L = 7,2.83908178024747,4h
L = 7,3.61568890481868,8h
L = 7,3.49846555631415,8h
L = 7,3.33854188311331,8h
L = 7,2.16546860914199,24h
L = 7,2.19401801747523,24h
L = 7,2.77898319692102,24h
L = 8,2.71312965708181,0h
L = 8,3.00727701988429,0h
L = 8,2.69994244155852,0h
L = 8,3.365484844725,4h
L = 8,2.39166849623905,4h
L = 8,2.43596395173504,4h
L = 8,3.12449981382907,8h
L = 8,3.00333351448274,8h
L = 8,2.82791237078438,8h
L = 8,1.83773008083865,24h
L = 8,1.86680935121373,24h
L = 8,2.41319669782175,24h
L = 9,2.37488201690059,0h
L = 9,2.61128317578459,0h
L = 9,2.35202751936041,0h
L = 9,2.92322754092509,4h
L = 9,2.05587919596027,4h
L = 9,2.07737067456918,4h
L = 9,2.70308805327592,8h
L = 9,2.57460240436354,8h
L = 9,2.42683391597889,8h
L = 9,1.52088526218242,24h
L = 9,1.54921343487323,24h
L = 9,2.08441697057962,24h
L = 10,2.0685983933341,0h
L = 10,2.28317934693535,0h
L = 10,2.04395632021233,0h
L = 10,2.56173186054492,4h
L = 10,1.73488965595735,4h
L = 10,1.74871729385396,4h
L = 10,2.3149766265517,8h
L = 10,2.21482569737344,8h
L = 10,2.07943814809667,8h
L = 10,1.20907544088018,24h
L = 10,1.23525873593676,24h
L = 10,1.76535427158292,24h
L = 12,1.49706898213706,0h
L = 12,1.67048143649031,0h
L = 12,1.45007877264911,0h
L = 12,1.90248140800688,4h
L = 12,1.13885352457096,4h
L = 12,1.1484828698829,4h
L = 12,1.65838861028799,8h
L = 12,1.56287345864981,8h
L = 12,1.43671364850656,8h
L = 12,0.591941775788879,24h
L = 12,0.619714324655157,24h
L = 12,1.15751559872333,24h
L = 14,0.965681757020562,0h
L = 14,1.08088945772726,0h
L = 14,0.891525900107935,0h
L = 14,1.27403207465226,4h
L = 14,0.566158007632897,4h
L = 14,0.569750893257028,4h
L = 14,1.04494585006285,8h
L = 14,0.941804711228308,8h
L = 14,0.824207234150909,8h
L = 14,0.157910775249024,24h
L = 14,0.191395703492228,24h
L = 14,0.57946536774763,24h
L = 15,0.703928866029681,0h
L = 15,0.790779960864801,0h
L = 15,0.61783135227638,0h
L = 15,0.962550862705782,4h
L = 15,0.328277331235667,4h
L = 15,0.327154557607284,4h
L = 15,0.743892404657907,8h
L = 15,0.647277113593499,8h
L = 15,0.534880560243623,8h
L = 15,0.096524217842865,24h
L = 15,0.117565637109776,24h
L = 15,0.373285382147507,24h
L = 16,0.470067262583392,0h
L = 16,0.517178037908833,0h
L = 16,0.382525843680244,0h
L = 16,0.660013920153665,4h
L = 16,0.216245757843943,4h
L = 16,0.21248721762208,4h
L = 16,0.523840969714458,8h
L = 16,0.451675016022786,8h
L = 16,0.360746800074238,8h
L = 16,0.0709562526692998,24h
L = 16,0.087740201871749,24h
L = 16,0.268619681703924,24h
L = 18,0.327730503434515,0h
L = 18,0.355046568696807,0h
L = 18,0.267151583890746,0h
L = 18,0.456147257789958,4h
L = 18,0.142232683300097,4h
L = 18,0.140319183706132,4h
L = 18,0.417859815361008,8h
L = 18,0.351817707339806,8h
L = 18,0.280983545465823,8h
L = 18,0.0678668080803723,24h
L = 18,0.0825763613486552,24h
L = 18,0.248911744873117,24h
L = 20,0.327488099676589,0h
L = 20,0.35418483997337,0h
L = 20,0.266405956146898,0h
L = 20,0.456147257789948,4h
L = 20,0.142232683300098,4h
L = 20,0.14031918370613,4h
L = 20,0.417056586208009,8h
L = 20,0.351242434701599,8h
L = 20,0.280866104988574,8h
L = 20,0.0676900930664392,24h
L = 20,0.0819981570832113,24h
L = 20,0.247701201823945,24h
L = 22,0.327472109228834,0h
L = 22,0.353417703776396,0h
L = 22,0.265661179133481,0h
L = 22,0.456147257789949,4h
L = 22,0.142232683300098,4h
L = 22,0.140319183706129,4h
L = 22,0.416298540176805,8h
L = 22,0.350709128843318,8h
L = 22,0.280748682712914,8h
L = 22,0.0675133780524956,24h
L = 22,0.0815685485807558,24h
L = 22,0.246753158999599,24h
L = 24,0.327472109228827,0h
L = 24,0.352673217081012,0h
L = 24,0.264916402120056,0h
L = 24,0.456147257789944,4h
L = 24,0.142232683300094,4h
L = 24,0.140319183706133,4h
L = 24,0.415649463526233,8h
L = 24,0.350215512745975,8h
L = 24,0.280631449589872,8h
L = 24,0.0673455360937048,24h
L = 24,0.0811963838798305,24h
L = 24,0.246136515676692,24h
L = 25,0.327472109228832,0h
L = 25,0.352300973733323,0h
L = 25,0.264544013613352,0h
L = 25,0.456147257789954,4h
L = 25,0.142232683300096,4h
L = 25,0.14031918370613,4h
L = 25,0.415371068268775,8h
L = 25,0.350052273775417,8h
L = 25,0.280572833028361,8h
L = 25,0.0672750196002463,24h
L = 25,0.0810574144412477,24h
L = 25,0.245924035747093,24h
L = 50,0.327472109228835,0h
L = 50,0.347681547627109,0h
L = 50,0.260695131880581,0h
L = 50,0.456147257789958,4h
L = 50,0.142232683300096,4h
L = 50,0.140319183706129,4h
L = 50,0.414832234210347,8h
L = 50,0.34829055024132,8h
L = 50,0.27988554813356,8h
L = 50,0.0671842860464423,24h
L = 50,0.0800950976130151,24h
L = 50,0.244288083321784,24h
L = 75,0.32747210922883,0h
L = 75,0.347681547627095,0h
L = 75,0.26069513188058,0h
L = 75,0.456147257789948,4h
L = 75,0.142232683300095,4h
L = 75,0.140319183706132,4h
L = 75,0.414832234210348,8h
L = 75,0.34829055024132,8h
L = 75,0.27988554813356,8h
L = 75,0.0671842860464459,24h
L = 75,0.0800950976130045,24h
L = 75,0.242758857067392,24h
L = 100,0.327472109228832,0h
L = 100,0.347681547627105,0h
L = 100,0.260695131880583,0h
L = 100,0.456147257789943,4h
L = 100,0.142232683300095,4h
L = 100,0.140319183706131,4h
L = 100,0.414832234210346,8h
L = 100,0.348290550241322,8h
L = 100,0.279885548133558,8h
L = 100,0.0671842860464416,24h
L = 100,0.0800950976130074,24h
L = 100,0.241229630812998,24h
