Lambda,Solutions,Time
L = 0.1,139.525134804447,0h
L = 0.1,139.657820821388,0h
L = 0.1,140.06044286873,0h
L = 0.1,139.414152239396,4h
L = 0.1,139.628169661154,4h
L = 0.1,139.626594870423,4h
L = 0.1,139.615326913836,8h
L = 0.1,139.596879802954,8h
L = 0.1,139.593036291496,8h
L = 0.1,139.252319428447,24h
L = 0.1,139.292761647398,24h
L = 0.1,139.53926507013,24h
L = 0.5,104.717774717168,0h
L = 0.5,105.161745468253,0h
L = 0.5,106.731258394249,0h
L = 0.5,104.307027531789,4h
L = 0.5,105.152874324473,4h
L = 0.5,105.109364260467,4h
L = 0.5,105.371961326945,8h
L = 0.5,105.415875681732,8h
L = 0.5,105.273847664192,8h
L = 0.5,104.206886599831,24h
L = 0.5,104.34232594429,24h
L = 0.5,104.897369330897,24h
L = 1,78.104275772597,0h
L = 1,78.8899886074792,0h
L = 1,81.6050079490046,0h
L = 1,77.4637522757711,4h
L = 1,78.8082074104093,4h
L = 1,78.8415646401685,4h
L = 1,79.2448533960685,8h
L = 1,79.2976334401674,8h
L = 1,79.1183397593698,8h
L = 1,77.3091921115573,24h
L = 1,77.5462259660497,24h
L = 1,78.3807422732757,24h
L = 2,44.4731050489117,0h
L = 2,45.9044293262768,0h
L = 2,49.8990103817721,0h
L = 2,43.4291869432841,4h
L = 2,45.7410014444737,4h
L = 2,45.6045326620274,4h
L = 2,46.657243820011,8h
L = 2,46.7490476156675,8h
L = 2,46.1948679248706,8h
L = 2,43.1532170938671,24h
L = 2,43.5736784220272,24h
L = 2,44.9267095142065,24h
L = 3,24.2458236342321,0h
L = 3,25.5172868363325,0h
L = 3,29.7048066669091,0h
L = 3,23.1146213289922,4h
L = 3,25.397877347719,4h
L = 3,25.4087929593563,4h
L = 3,26.1454118860865,8h
L = 3,26.1831075391148,8h
L = 3,25.7826981952761,8h
L = 3,22.5236621502077,24h
L = 3,22.9453423193952,24h
L = 3,24.4196216757596,24h
L = 4,12.4679712689893,0h
L = 4,13.6557792765654,0h
L = 4,17.7232499794038,0h
L = 4,11.3849799754833,4h
L = 4,13.5218096593112,4h
L = 4,13.7385294128136,4h
L = 4,13.9676440277216,8h
L = 4,14.0448529621822,8h
L = 4,13.8117815373336,8h
L = 4,10.8416015336599,24h
L = 4,11.1594981592866,24h
L = 4,12.4887670467019,24h
L = 5,8.0626295379904,0h
L = 5,9.47331043624928,0h
L = 5,12.6961551400809,0h
L = 5,6.93231175525086,4h
L = 5,9.00624381502008,4h
L = 5,9.14542783729153,4h
L = 5,9.43755863255892,8h
L = 5,9.3218602400508,8h
L = 5,9.30131757227644,8h
L = 5,5.76869930883938,24h
L = 5,6.10265092806204,24h
L = 5,8.02271463974742,24h
L = 6,5.74550504876363,0h
L = 6,6.6736078515913,0h
L = 6,9.77579614830739,0h
L = 6,4.73503402902183,4h
L = 6,6.50980760914514,4h
L = 6,6.44203290019568,4h
L = 6,6.63077302548198,8h
L = 6,6.55080038873363,8h
L = 6,6.5923911596175,8h
L = 6,4.43156676118863,24h
L = 6,4.62639544223702,24h
L = 6,5.76478200299241,24h
L = 7,4.65610783796548,0h
L = 7,5.12980963518782,0h
L = 7,7.66547999861877,0h
L = 7,3.74958574918559,4h
L = 7,5.27310768527819,4h
L = 7,5.02333277125865,4h
L = 7,5.34148384486768,8h
L = 7,5.1875299339875,8h
L = 7,5.22178296942142,8h
L = 7,3.66934776696308,24h
L = 7,3.85095388214036,24h
L = 7,4.89183627407308,24h
L = 8,3.69431904475922,0h
L = 8,3.93511881546648,0h
L = 8,6.23871640732735,0h
L = 8,2.81999621262693,4h
L = 8,4.30632900173979,4h
L = 8,3.85370047550316,4h
L = 8,4.4007879286952,8h
L = 8,4.31560018515448,8h
L = 8,4.19036207386657,8h
L = 8,2.93421288869852,24h
L = 8,3.11697329096774,24h
L = 8,4.10719093654939,24h
L = 9,2.80425195013286,0h
L = 9,3.00876429974234,0h
L = 9,5.08533417577065,0h
L = 9,2.08000466088408,4h
L = 9,3.38698108535663,4h
L = 9,2.92373150325223,4h
L = 9,3.55791106567702,8h
L = 9,3.50668635196217,8h
L = 9,3.32458472613431,8h
L = 9,2.21699036007237,24h
L = 9,2.40213791814461,24h
L = 9,3.36799773024273,24h
L = 10,1.98967690715756,0h
L = 10,2.24188543926116,0h
L = 10,4.12817119393576,0h
L = 10,1.43230537609976,4h
L = 10,2.56030559954586,4h
L = 10,2.17067842450609,4h
L = 10,2.82200722133602,8h
L = 10,2.78447380855005,8h
L = 10,2.60536294721148,8h
L = 10,1.52651792342334,24h
L = 10,1.70349934355933,24h
L = 10,2.65468510498417,24h
L = 12,1.07945477709385,0h
L = 12,1.29962136010382,0h
L = 12,2.43779576703457,0h
L = 12,0.690129097162822,4h
L = 12,1.38272860339669,4h
L = 12,1.31809397970855,4h
L = 12,1.50936434815853,8h
L = 12,1.48351843646154,8h
L = 12,1.42944891256557,8h
L = 12,0.510442256778924,24h
L = 12,0.66328005646725,24h
L = 12,1.37166125214716,24h
L = 14,0.467901061268093,0h
L = 14,0.607143359776548,0h
L = 14,1.42533598035773,0h
L = 14,0.250762501820656,4h
L = 14,0.622287068519712,4h
L = 14,0.635833708823787,4h
L = 14,0.658892852056968,8h
L = 14,0.670607780315685,8h
L = 14,0.807169843772032,8h
L = 14,0.174725908749896,24h
L = 14,0.22855183486871,24h
L = 14,0.628640123262477,24h
L = 15,0.38211281333721,0h
L = 15,0.446211819077255,0h
L = 15,1.02911933969645,0h
L = 15,0.183519158258711,4h
L = 15,0.52416907669423,4h
L = 15,0.419436129331437,4h
L = 15,0.579379436200679,8h
L = 15,0.571568122158574,8h
L = 15,0.739365181314072,8h
L = 15,0.120812215347941,24h
L = 15,0.160986375817957,24h
L = 15,0.503214386265763,24h
L = 16,0.330078377793817,0h
L = 16,0.382222992759995,0h
L = 16,0.916794119286168,0h
L = 16,0.157711431736948,4h
L = 16,0.476366271916301,4h
L = 16,0.351927263827137,4h
L = 16,0.535256264651474,8h
L = 16,0.508091844605364,8h
L = 16,0.708848083055565,8h
L = 16,0.0925237133941234,24h
L = 16,0.124608037672195,24h
L = 16,0.443109280285974,24h
L = 18,0.328176159258939,0h
L = 18,0.38071083759917,0h
L = 18,0.903320080755137,0h
L = 18,0.157286232668909,4h
L = 18,0.472131678372065,4h
L = 18,0.350831940899516,4h
L = 18,0.513158478966479,8h
L = 18,0.49083624784343,8h
L = 18,0.70222528211921,8h
L = 18,0.08985168869462,24h
L = 18,0.121380355675352,24h
L = 18,0.424809697598988,24h
L = 20,0.328043830715426,0h
L = 20,0.380296076134695,0h
L = 20,0.902959301909117,0h
L = 20,0.157048029557417,4h
L = 20,0.471943911469821,4h
L = 20,0.350683932483114,4h
L = 20,0.512960400516339,8h
L = 20,0.489392779594548,8h
L = 20,0.701742268363034,8h
L = 20,0.0894567582035419,24h
L = 20,0.120302539877839,24h
L = 20,0.420481145633315,24h
L = 22,0.327911966863983,0h
L = 22,0.3801402554948,0h
L = 22,0.902598523063099,0h
L = 22,0.156892879187933,4h
L = 22,0.471756350088625,4h
L = 22,0.350535909387958,4h
L = 22,0.512762322066205,8h
L = 22,0.48794931134566,8h
L = 22,0.701344366437747,8h
L = 22,0.0893220741052041,24h
L = 22,0.119928787590731,24h
L = 22,0.417729469617807,24h
L = 24,0.32777992038216,0h
L = 24,0.37998444654967,0h
L = 24,0.902237744217079,0h
L = 24,0.156789819440854,4h
L = 24,0.471568393123144,4h
L = 24,0.350390745334451,4h
L = 24,0.512564243616056,8h
L = 24,0.487097779994472,8h
L = 24,0.700978331547165,8h
L = 24,0.0892918955861293,24h
L = 24,0.119889169891405,24h
L = 24,0.417560041829721,24h
L = 25,0.327713911585163,0h
L = 25,0.379906537278609,0h
L = 25,0.90205735479407,0h
L = 25,0.156757015475064,4h
L = 25,0.471474494214211,4h
L = 25,0.350319412600965,4h
L = 25,0.512465204390987,8h
L = 25,0.486953397679936,8h
L = 25,0.700795314101873,8h
L = 25,0.0892768063265787,24h
L = 25,0.119869361041743,24h
L = 25,0.417475328162815,24h
L = 50,0.326063720699718,0h
L = 50,0.377969827756787,0h
L = 50,0.897547652468325,0h
L = 50,0.15594633001414,4h
L = 50,0.469127407936156,4h
L = 50,0.348543357501861,4h
L = 50,0.509989223764226,8h
L = 50,0.484043212294363,8h
L = 50,0.696544975023891,8h
L = 50,0.0888995748384399,24h
L = 50,0.119374139800181,24h
L = 50,0.415357486490096,24h
L = 75,0.324420764007869,0h
L = 75,0.376054931342846,0h
L = 75,0.893077827348715,0h
L = 75,0.155148158932257,4h
L = 75,0.466780561952458,4h
L = 75,0.346776798074619,4h
L = 75,0.507524200758428,8h
L = 75,0.48187617024128,8h
L = 75,0.692958429038584,8h
L = 75,0.0885240528279649,24h
L = 75,0.118878918558618,24h
L = 75,0.41324835894134,24h
L = 100,0.322786696538906,0h
L = 100,0.374152337479743,0h
L = 100,0.888657787319119,0h
L = 100,0.154365672932968,4h
L = 100,0.464433992901806,4h
L = 100,0.345019131527393,4h
L = 100,0.505072462476822,8h
L = 100,0.479720174336417,8h
L = 100,0.689522119548397,8h
L = 100,0.0881505142287186,24h
L = 100,0.118383697317057,24h
L = 100,0.41115125536673,24h
