Lambda,Solutions,Time
L = 0.1,139.72642189959,0h
L = 0.1,139.736001618362,0h
L = 0.1,139.729470945273,0h
L = 0.1,139.9718702196,4h
L = 0.1,140.220641562047,4h
L = 0.1,139.772047577083,4h
L = 0.1,139.750991701889,8h
L = 0.1,139.849945932077,8h
L = 0.1,139.810131462582,8h
L = 0.1,139.395372468105,24h
L = 0.1,140.309476016839,24h
L = 0.1,140.198864304114,24h
L = 0.5,105.486888589832,0h
L = 0.5,106.115943986088,0h
L = 0.5,105.719744157001,0h
L = 0.5,106.925208403285,4h
L = 0.5,107.667378053678,4h
L = 0.5,106.353498626036,4h
L = 0.5,105.899846518167,8h
L = 0.5,105.948907834379,8h
L = 0.5,105.816611811954,8h
L = 0.5,104.588669233465,24h
L = 0.5,107.536583211314,24h
L = 0.5,107.10073020175,24h
L = 1,79.7429898937065,0h
L = 1,80.678096301178,0h
L = 1,80.097216540187,0h
L = 1,81.6550951609672,4h
L = 1,81.8636955306303,4h
L = 1,80.0892615453083,4h
L = 1,79.7079957377115,8h
L = 1,79.8261513265853,8h
L = 1,79.6350562546474,8h
L = 1,77.9804667815608,24h
L = 1,82.7421583768057,24h
L = 1,82.0624127980576,24h
L = 2,48.3523406587823,0h
L = 2,49.4131646460768,0h
L = 2,48.6331755629067,0h
L = 2,51.5707530223804,4h
L = 2,51.4159672223422,4h
L = 2,48.2982556460894,4h
L = 2,48.2840375609382,8h
L = 2,48.3848660723002,8h
L = 2,48.1291993388358,8h
L = 2,44.2369307635711,24h
L = 2,53.4451464626078,24h
L = 2,52.2721594175194,24h
L = 3,24.9567011069445,0h
L = 3,25.7818998983336,0h
L = 3,24.9655950730686,0h
L = 3,27.8374224912539,4h
L = 3,28.1315945385686,4h
L = 3,25.5462845795741,4h
L = 3,26.1010013181374,8h
L = 3,25.8487722691611,8h
L = 3,25.5747417200465,8h
L = 3,23.4445689762135,24h
L = 3,31.0963965490204,24h
L = 3,29.992757164043,24h
L = 4,12.8657794534058,0h
L = 4,13.4809168538227,0h
L = 4,13.0256388759221,0h
L = 4,14.957436036553,4h
L = 4,14.8953180162727,4h
L = 4,13.248004473866,4h
L = 4,14.3690353066955,8h
L = 4,13.9230716995976,8h
L = 4,13.722810863864,8h
L = 4,11.7651976100832,24h
L = 4,18.4213674928635,24h
L = 4,17.7133270638722,24h
L = 5,6.86235268195548,0h
L = 5,7.21576107769409,0h
L = 5,7.02965494427428,0h
L = 5,8.74249291448094,4h
L = 5,8.79222570512854,4h
L = 5,6.9876897316388,4h
L = 5,7.84583867362016,8h
L = 5,7.61589049678051,8h
L = 5,7.5247939130792,8h
L = 5,6.40008097884403,24h
L = 5,11.6905931562327,24h
L = 5,11.2382597162836,24h
L = 6,4.86008702265416,0h
L = 6,5.03912825220364,0h
L = 6,5.01150835906673,0h
L = 6,6.08860011006693,4h
L = 6,6.17123513136592,4h
L = 6,5.06592213337009,4h
L = 6,5.74168348229192,8h
L = 6,5.55207350382206,8h
L = 6,5.41754088589314,8h
L = 6,4.75289322896756,24h
L = 6,7.81142060390821,24h
L = 6,7.58969669188657,24h
L = 7,3.91616790597118,0h
L = 7,4.10682213808222,0h
L = 7,4.10732815231167,0h
L = 7,4.71737822962536,4h
L = 7,4.97283368138775,4h
L = 7,4.13033542746238,4h
L = 7,4.76842692911129,8h
L = 7,4.55100819332489,8h
L = 7,4.43425050306814,8h
L = 7,3.97458695663928,24h
L = 7,6.10860134568503,24h
L = 7,5.96422744798158,24h
L = 8,3.116769796636,0h
L = 8,3.28354863430831,0h
L = 8,3.28352017284546,0h
L = 8,3.66534060437796,4h
L = 8,3.96055491903981,4h
L = 8,3.28224653129283,4h
L = 8,3.96583659626846,8h
L = 8,3.68409633433405,8h
L = 8,3.5825998353057,8h
L = 8,3.24002923503056,24h
L = 8,5.08722779475907,24h
L = 8,4.95410253935767,24h
L = 9,2.35554712374794,0h
L = 9,2.49976978375705,0h
L = 9,2.50248938785002,0h
L = 9,2.8666373057931,4h
L = 9,3.10651926375395,4h
L = 9,2.49407805470398,4h
L = 9,3.22822730171636,8h
L = 9,2.90153514489088,8h
L = 9,2.79737198295604,8h
L = 9,2.52044224693564,24h
L = 9,4.20167413075147,24h
L = 9,4.07015696388053,24h
L = 10,1.61661936549715,0h
L = 10,1.72839030211598,0h
L = 10,1.7360188916251,0h
L = 10,2.09687978063332,4h
L = 10,2.29691616654269,4h
L = 10,1.72795667072203,4h
L = 10,2.52112007152673,8h
L = 10,2.13446257890253,8h
L = 10,2.03433470366073,8h
L = 10,1.83681063379663,24h
L = 10,3.43283541420304,24h
L = 10,3.30229619585894,24h
L = 12,0.939857009401045,0h
L = 12,1.01966207776647,0h
L = 12,1.01338984257484,0h
L = 12,1.20151095635625,4h
L = 12,1.41036862340903,4h
L = 12,0.962605078503617,4h
L = 12,1.24547266199579,8h
L = 12,1.21020386633533,8h
L = 12,1.16934193127066,8h
L = 12,0.608497486425776,24h
L = 12,2.05846956060629,24h
L = 12,1.94126150365802,24h
L = 14,0.325763381695487,0h
L = 14,0.404679646301207,0h
L = 14,0.366621047919577,0h
L = 14,0.511852229176699,4h
L = 14,0.658052110903816,4h
L = 14,0.330948807943478,4h
