out_transport,flux_sum_1,flux_sum_2,flux_sum_3,flux_sum_4,flux_sum_5
MNXM1[e],79995.4313508894,81624.0047470074,92475.7648053577,115598.360569661,79335.9345399672
MNXM1043[e],0,0,0,0,0
MNXM107[e],3001.40289077567,3004.61195553413,3010.46760363599,3224.89655796609,3000
MNXM107505[e],1000,1000,1000,1304.4379049997,1000
MNXM108[e],0.11421156904962,0.747041607349356,0.515785507353803,2.22064266467595,0
MNXM1091756[e],2000,2000,2000,2316.62322884526,2000
MNXM1091995[e],0,0,0,0,0
MNXM1092518[e],0,0,0,0,0
MNXM1092536[e],0,0,0,0,0
MNXM1092537[e],0,0,0,0,0
MNXM1092538[e],0,0,0,0,0
MNXM1092539[e],0,0,0,0,0
MNXM1092540[e],0,0,0,0,0
MNXM1092541[e],0,0,0,0,0
MNXM1092542[e],0,0,0,0,0
MNXM1092543[e],0,0,0,0,0
MNXM1092544[e],0,0,0,0,0
MNXM1092973[e],4000,5000,4148.74503106521,5367.05798505855,5000
MNXM1093058[e],0,0,0,0,0
MNXM1093059[e],0,0,0,0,0
MNXM1093060[e],0,0,0,0,0
MNXM1093061[e],0,0,0,0,0
MNXM1093062[e],0,0,0,0,0
MNXM1093063[e],0,0,0,0,0
MNXM1093067[e],0,0,0,0,0
MNXM1093068[e],0,0,0,0,0
MNXM1093069[e],0,0,0,0,0
MNXM1093070[e],0,0,0,0,0
MNXM1093071[e],0,0,0,0,0
MNXM1093180[e],0,0,0,0,0
MNXM1093181[e],0,0,0,0,0
MNXM1093203[e],0,0,0,0,0
MNXM1093272[e],0,0,0,0,0
MNXM1093318[e],0,0,0,0,0
MNXM1093344[e],0,0,0,0,0
MNXM1093929[e],0,0,0,0,0
MNXM1093966[e],0,0,0,0,0
MNXM1093967[e],0,0,0,0,0
MNXM1093968[e],0,0,0,0,0
MNXM1093969[e],0,0,0,0,0
MNXM1093970[e],0,0,0,0,0
MNXM1093971[e],0,0,0,0,0
MNXM1094047[e],0,0,0,0,0
MNXM1094052[e],3.52488696219707,4.52309708096163,38.5032522333906,149.167704871726,0.47036961401541
MNXM1094072[e],0,0,0,0,0
MNXM1094078[e],4000,5000,4148.74503106521,5367.05798505855,5000
MNXM1094117[e],0,0,0,0,0
MNXM1094288[e],2000,2000,2000,2000,2000
MNXM1094289[e],1.66885462331119,4.63068354751227,41.6244562010229,120.532619824988,1.16015468729164
MNXM1094294[e],1000,1000,1000,1000,1000
MNXM1094296[e],0,0,0,0,0
MNXM1094332[e],0,0,0,0,0
MNXM1094430[e],0,0,0,0,0
MNXM11[e],0.155383248606146,0.521367818861399,11.249647412746,25.0048265391878,0.360476948326294
MNXM1101175[e],0,0,0,0,0
MNXM1101253[e],0,0,0,0,0
MNXM1102072[e],4000.10342124217,3999.94707946154,3999.96897871477,4996.46567452399,3000.7269493803
MNXM1102523[e],0,0,0,0,0
MNXM1103104[e],0.366396070978619,0.342364304589745,0.742417621240874,79.0443159142592,0.825881226225771
MNXM1103400[e],24.1241657907176,42.1564471797901,178.585185168396,349.227803576715,43.0927517985354
MNXM1103769[e],0,0,0.0937791831552369,19.2235433863011,2.61887271212788
MNXM1103964[e],0,0,141.061677172627,164.93955626075,0
MNXM1104039[e],0,0,0,0,0
MNXM1104130[e],0,0,0,0,0
MNXM1104180[e],0,0,0,0,0
MNXM1104207[e],1007.65215803268,1026.01605822029,1160.09568460779,1000.36841662493,1000.04377839259
MNXM1104432[e],1000,1000,1000,1032.51156472043,1999.92248409662
MNXM1104434[e],287.72744085464,312.940661570192,0.11852646759898,32.5115647204335,0.0262952101103522
MNXM1104527[e],0,0,0,0,0
MNXM1104551[e],0,0,0,0,0
MNXM1104590[e],0.735911576882968,7.27716581745802,7.52581394886948,71.9227015668602,0.576474378778455
MNXM1104617[e],0,0,0,0,0
MNXM1104679[e],0.0085658738109705,0.000124022051938024,0.0523401710326508,0.0789829176828856,0.231248674444887
MNXM1104756[e],0,0,0,0,0
MNXM1104802[e],0,0,0,0,0
MNXM1104857[e],0,0,0,0,0
MNXM1105027[e],0,0,0,0,0
MNXM1105684[e],0,0,0,0,0
MNXM1105731[e],0.753364231433536,0.914979310628004,1.0745066470214,258.512906986829,1.61210792361889
MNXM1105732[e],401.236194963636,438.059071544847,466.369986860429,566.369975838882,1012.47979628023
MNXM1105737[e],0,0,0,313.629909178413,0
MNXM1105760[e],0.351810926006532,1.39294713526397,1.28453100524899,14.3278302386053,8.4349743677159e-05
MNXM1105765[e],0,0,0,0,0
MNXM1105810[e],0,0,0,0,0
MNXM1105842[e],0.837875974564074,0.820021398030096,0.259257893684857,2.95622033639386,4.43918399817278e-08
MNXM1105881[e],0,0,0,0,0
MNXM1105927[e],0,0,0,0,0
MNXM1105935[e],0,0,0,0,0
MNXM1105936[e],0,0,0,0,0
MNXM1105941[e],581.901437606651,1803.00053786792,437.546723304426,1188.82711785721,1000.3479383756
MNXM1106000[e],0.0279162422464517,0.0457295784717383,1.13509268596925,55.8776298906,34.3369579749776
MNXM1106022[e],287.713845955999,312.874381960742,1.31331604046208,32.8107040122499,0.340980044104144
MNXM1106044[e],0,0,0,0,0
MNXM1106082[e],0,0,0,0,0
MNXM1106164[e],1012.63690569883,1021.8923401557,1165.48296530755,1150.9417586138,1033.58325330061
MNXM1106181[e],0,0,0,0,0
MNXM1106761[e],2019.03142573522,2028.77575474003,3046.09577633841,3074.03964215616,3029.24369473707
MNXM1106762[e],0.0474119166344589,0,0.625087843995406,71.8427880955369,4.10299045216162
MNXM1106891[e],12.1044127707311,38.8781836495628,90.6758609456483,144.141888669243,13.6855155985
MNXM1106903[e],0,0,0,0,0
MNXM1107192[e],17.4879979471593,30.2481396735959,105.028368387244,488.63196059442,44.0363033700509
