out_transport,flux_sum_micom_1,flux_sum_micom_2,flux_sum_micom_3,flux_sum_micom_4,flux_sum_micom_5
MNXM1[e],542074.465012569,545105.293396167,536694.818271009,528905.434403574,543255.192278948
MNXM1043[e],0,0,0,0,0
MNXM107[e],7291.67420467096,6373.83350183496,7386.75599462324,7200.73471587079,7725.95106749249
MNXM107505[e],6004.62060313473,6001.28076355075,6003.20524539038,6002.72559817139,6001.42638223505
MNXM108[e],2996.6282972049,2943.3985495888,2967.24288091759,2106.89082403498,2072.86955737302
MNXM1091756[e],0,0,0,0,0
MNXM1091995[e],0,0,0,0,0
MNXM1092518[e],0,0,0,0,0
MNXM1092536[e],0,0,0,0,0
MNXM1092537[e],0,0,0,0,0
MNXM1092538[e],0,0,0,0,0
MNXM1092539[e],0,0,0,0,0
MNXM1092540[e],0,0,0,0,0
MNXM1092541[e],0,0,0,0,0
MNXM1092542[e],0,0,0,0,0
MNXM1092543[e],0,0,0,0,0
MNXM1092544[e],0,0,0,0,0
MNXM1092973[e],2000,2000,2000,2000,2000
MNXM1093058[e],0,0,0,0,0
MNXM1093059[e],0,0,0,0,0
MNXM1093060[e],0,0,0,0,0
MNXM1093061[e],0,0,0,0,0
MNXM1093062[e],0,0,0,0,0
MNXM1093063[e],0,0,0,0,0
MNXM1093067[e],0,0,0,0,0
MNXM1093068[e],0,0,0,0,0
MNXM1093069[e],0,0,0,0,0
MNXM1093070[e],0,0,0,0,0
MNXM1093071[e],0,0,0,0,0
MNXM1093180[e],0,0,0,0,0
MNXM1093181[e],0,0,0,0,0
MNXM1093203[e],0,0,0,0,0
MNXM1093272[e],0,0,0,0,0
MNXM1093318[e],0,0,0,0,0
MNXM1093344[e],0,0,0,0,0
MNXM1093929[e],1032.63430908361,1019.7868690843,1027.11195142932,1031.78739679799,1039.79246563708
MNXM1093966[e],0,0,0,0,0
MNXM1093967[e],0,0,0,0,0
MNXM1093968[e],0,0,0,0,0
MNXM1093969[e],0,0,0,0,0
MNXM1093970[e],0,0,0,0,0
MNXM1093971[e],0,0,0,0,0
MNXM1094047[e],0,0,0,0,0
MNXM1094052[e],8561.52626458422,7588.72432157359,6677.6054549038,6812.71073393544,7895.12954626188
MNXM1094072[e],0,0,0,0,0
MNXM1094078[e],2000.00280577274,2000.0030891239,2000.00481475089,2000.84812719736,2000.21381528264
MNXM1094117[e],0,0,0,0,0
MNXM1094288[e],3000,3000,3000,3000,3000
MNXM1094289[e],1397.54404233998,1379.0175039156,1393.48376564296,1356.79167567291,1373.23841661757
MNXM1094294[e],0,0,0,0,0
MNXM1094296[e],0,0,0,0,0
MNXM1094332[e],0,0,0,0,0
MNXM1094430[e],0,0,0,0,0
MNXM11[e],181.619515371446,158.855504647754,106.471914280351,147.369310200845,151.213903224871
MNXM1101175[e],0,0,0,0,0
MNXM1101253[e],0,0,0,0,0
MNXM1102072[e],8964.55269838607,5976.34133225175,7983.26690372398,7965.90748887318,8964.90680910287
MNXM1102523[e],1.88961176869217e-20,2.50722903381565e-19,3.0561414092575e-19,9.08565767932109e-16,1.23358338786354e-19
MNXM1103104[e],7255.39683366249,7179.15590947104,7238.54795647224,6251.22121571204,7255.2288307995
MNXM1103400[e],8955.95232694198,9814.81444078372,8787.16426448123,7669.11122463904,9785.37666261151
MNXM1103769[e],5963.22547172859,4966.28125266267,5951.4714944178,5950.01470639216,5956.90621406484
MNXM1103964[e],2475.6767271487,1785.86008783805,1672.08037454857,4875.23944427065,1948.12007872074
MNXM1104039[e],0,0,0,0,0
MNXM1104130[e],0,0,0,0,0
MNXM1104180[e],2000,2000,2000,2000,2000
MNXM1104207[e],10856.2008377191,10831.2356647399,10823.6363834258,9863.5464002386,9854.63110756251
MNXM1104432[e],2828.26228617205,3457.38590330804,2985.13503092186,3455.16468086517,2685.4944061623
MNXM1104434[e],3757.36087200282,3972.28128385854,5083.9700297711,4041.55007594733,3607.08757908974
MNXM1104527[e],0,0,0,0,0
MNXM1104551[e],0,0,0,0,0
MNXM1104590[e],1869.15624053221,1898.48013764876,1814.4153722348,1750.4845678856,1679.10257399136
MNXM1104617[e],0,0,0,0,0
MNXM1104679[e],19.8471578264349,6.99728714607014,11.3148932285604,26.0740802130081,28.5190208067579
MNXM1104756[e],0,0,0,0,0
MNXM1104802[e],0,0,0,0,0
MNXM1104857[e],0,0,0,0,0
MNXM1105027[e],0,0,0,0,0
MNXM1105684[e],0,0,0,0,0
MNXM1105731[e],5520.57442737879,5483.2710069335,5507.94604136956,5668.47377295224,5575.10154651606
MNXM1105732[e],5977.82867667833,4987.67432021493,6047.20860462601,5371.65588221215,5471.76462787722
MNXM1105737[e],2177.64580185601,2407.74223845558,2287.82426302745,2008.88030811597,3129.44625583447
MNXM1105760[e],1047.02095437406,45.6411639324956,47.2523298460647,1038.03267750322,1048.53495365669
MNXM1105765[e],0,0,0,0,0
MNXM1105810[e],0,0,0,0,0
MNXM1105842[e],3695.41495194689,3662.80088658967,3630.29001537907,3708.82250575536,3623.03977097077
MNXM1105881[e],0,0,0,0,0
MNXM1105927[e],0,0,0,0,0
MNXM1105935[e],0,0,0,0,0
MNXM1105936[e],0,0,0,0,0
MNXM1105941[e],11211.7982769094,11480.1759673734,11616.686405933,11106.0039192012,10222.7491678243
MNXM1106000[e],2946.69391888221,2957.46482486001,2956.52053355147,3094.49840145849,2990.07468893962
MNXM1106022[e],2591.56715799504,2568.4513351943,2665.34368278117,2747.04516707182,2730.63511967747
MNXM1106044[e],0,0,0,0,0
MNXM1106082[e],44.2533384587955,72.4276625255125,43.8006027725303,45.8363569440486,54.7016273872153
MNXM1106164[e],9558.65571505111,10051.1790040431,10682.8378466252,11342.780224095,10408.2357075265
MNXM1106181[e],1000,1000,2000,1000,1000
MNXM1106761[e],8431.30464417026,9404.80595721198,9448.28987011309,11074.0900577878,12011.6209669023
MNXM1106762[e],1411.48495090458,1394.52470585593,1395.88322874562,1757.40272385545,2103.48668861134
MNXM1106891[e],498.239388402947,492.496023156643,489.910757792369,483.648195629279,468.092656745882
MNXM1106903[e],0,0,0,0,0
MNXM1107192[e],10149.6712602286,9204.36063053229,9090.50588802652,9562.08039917249,8587.44157345845
MNXM1107418[e],5457.75941652199,4757.15737102217,4729.91127640973,5345.3460705162,4690.66101371331
MNXM1107671[e],13.680665609436,7.08349996863867,9.86373114017607,14.1598893491755,16.2385974537701
MNXM1107708[e],764.842942470574,1666.37994350463,532.36961200005,388.32973452355,497.722233707464
MNXM1107753[e],17724.4985764869,18245.4939583518,18063.1070367382,19020.0744165515,18488.5939619149
MNXM1107769[e],3441.70986216116,3367.24657850229,3376.22088332413,3459.86926169088,3898.70400529118
MNXM1107801[e],0,0,0,0,0
MNXM1107821[e],7629.89596934905,7512.61553171786,7508.13222679381,6866.56759355226,7254.30854332877
MNXM1107894[e],13.5427393198626,2.85473228001301,7.3819318924308,16.0189768935182,18.9908222274393
MNXM1107900[e],1317.48539807608,1279.53766993343,1270.57874885516,1275.85302624364,1287.7137758535
MNXM1107902[e],3026.98988205459,3003.24468006118,3022.56670780075,3018.81205751783,3020.55896733031
MNXM1107903[e],6439.20726930731,6294.12793745228,6374.888528099,6436.12505257499,6429.22342986755
MNXM1107906[e],0,0,0,0,0
MNXM1107981[e],119.786995482364,74.2413452559658,96.2068471016996,125.723707675169,152.538516949582
MNXM1108018[e],7062.08217358149,7143.25713251378,7159.29558796929,6583.7081961975,8082.18475700037
MNXM1108051[e],1862.76745625452,1875.9104025429,1899.72913608576,1927.45335259335,1933.28544027188
MNXM1108069[e],0,0,0,0,0
