out_transport,flux_sum_micom_ab1_1,flux_sum_micom_ab1_2,flux_sum_micom_ab1_3,flux_sum_micom_ab1_4,flux_sum_micom_ab1_5
MNXM1[e],488988.291206372,488988.291206372,488988.291206372,488988.291206372,488988.291206372
MNXM1043[e],0,0,0,0,0
MNXM107[e],6000.32015572279,6000.32015572279,6000.32015572279,6000.32015572279,6000.32015572279
MNXM107505[e],5000.00000002723,5000.00000002723,5000.00000002723,5000.00000002723,5000.00000002723
MNXM108[e],1999.99999995948,1999.99999995948,1999.99999995948,1999.99999995948,1999.99999995948
MNXM1091756[e],0,0,0,0,0
MNXM1091995[e],0,0,0,0,0
MNXM1092518[e],0,0,0,0,0
MNXM1092536[e],0,0,0,0,0
MNXM1092537[e],0,0,0,0,0
MNXM1092538[e],0,0,0,0,0
MNXM1092539[e],0,0,0,0,0
MNXM1092540[e],0,0,0,0,0
MNXM1092541[e],0,0,0,0,0
MNXM1092542[e],0,0,0,0,0
MNXM1092543[e],0,0,0,0,0
MNXM1092544[e],0,0,0,0,0
MNXM1092973[e],3000,3000,3000,3000,3000
MNXM1093058[e],0,0,0,0,0
MNXM1093059[e],0,0,0,0,0
MNXM1093060[e],0,0,0,0,0
MNXM1093061[e],0,0,0,0,0
MNXM1093062[e],0,0,0,0,0
MNXM1093063[e],0,0,0,0,0
MNXM1093067[e],0,0,0,0,0
MNXM1093068[e],0,0,0,0,0
MNXM1093069[e],0,0,0,0,0
MNXM1093070[e],0,0,0,0,0
MNXM1093071[e],0,0,0,0,0
MNXM1093180[e],0,0,0,0,0
MNXM1093181[e],0,0,0,0,0
MNXM1093203[e],0,0,0,0,0
MNXM1093272[e],0,0,0,0,0
MNXM1093318[e],0,0,0,0,0
MNXM1093344[e],0,0,0,0,0
MNXM1093929[e],1000.00000001635,1000.00000001635,1000.00000001635,1000.00000001635,1000.00000001635
MNXM1093966[e],0,0,0,0,0
MNXM1093967[e],0,0,0,0,0
MNXM1093968[e],0,0,0,0,0
MNXM1093969[e],0,0,0,0,0
MNXM1093970[e],0,0,0,0,0
MNXM1093971[e],0,0,0,0,0
MNXM1094047[e],0,0,0,0,0
MNXM1094052[e],7542.33767626755,7542.33767626755,7542.33767626755,7542.33767626755,7542.33767626755
MNXM1094072[e],0,0,0,0,0
MNXM1094078[e],3000,3000,3000,3000,3000
MNXM1094117[e],0,0,0,0,0
MNXM1094288[e],5000,5000,5000,5000,5000
MNXM1094289[e],35.3285915526829,35.3285915526829,35.3285915526829,35.3285915526829,35.3285915526829
MNXM1094294[e],0,0,0,0,0
MNXM1094296[e],0,0,0,0,0
MNXM1094332[e],0,0,0,0,0
MNXM1094430[e],0,0,0,0,0
MNXM11[e],38.1492956307964,38.1492956307964,38.1492956307964,38.1492956307964,38.1492956307964
MNXM1101175[e],0,0,0,0,0
MNXM1101253[e],0,0,0,0,0
MNXM1102072[e],9992.09946071357,9992.09946071357,9992.09946071357,9992.09946071357,9992.09946071357
MNXM1102523[e],3.9620585258675e-12,3.9620585258675e-12,3.9620585258675e-12,3.9620585258675e-12,3.9620585258675e-12
MNXM1103104[e],5765.63507598839,5765.63507598839,5765.63507598839,5765.63507598839,5765.63507598839
MNXM1103400[e],7032.50186908108,7032.50186908108,7032.50186908108,7032.50186908108,7032.50186908108
MNXM1103769[e],7104.50467058573,7104.50467058573,7104.50467058573,7104.50467058573,7104.50467058573
MNXM1103964[e],2416.48148740179,2416.48148740179,2416.48148740179,2416.48148740179,2416.48148740179
MNXM1104039[e],0,0,0,0,0
MNXM1104130[e],0,0,0,0,0
MNXM1104180[e],1000.00000000342,1000.00000000342,1000.00000000342,1000.00000000342,1000.00000000342
MNXM1104207[e],9632.84234488872,9632.84234488872,9632.84234488872,9632.84234488872,9632.84234488872
MNXM1104432[e],1493.73394287578,1493.73394287578,1493.73394287578,1493.73394287578,1493.73394287578
MNXM1104434[e],2365.55530908977,2365.55530908977,2365.55530908977,2365.55530908977,2365.55530908977
MNXM1104527[e],0,0,0,0,0
MNXM1104551[e],0,0,0,0,0
MNXM1104590[e],1074.64441313508,1074.64441313508,1074.64441313508,1074.64441313508,1074.64441313508
MNXM1104617[e],0,0,0,0,0
MNXM1104679[e],1.00439707038303e-11,1.00439707038303e-11,1.00439707038303e-11,1.00439707038303e-11,1.00439707038303e-11
MNXM1104756[e],0,0,0,0,0
MNXM1104802[e],0,0,0,0,0
MNXM1104857[e],0,0,0,0,0
MNXM1105027[e],0,0,0,0,0
MNXM1105684[e],0,0,0,0,0
MNXM1105731[e],5007.00212221721,5007.00212221721,5007.00212221721,5007.00212221721,5007.00212221721
MNXM1105732[e],4823.16726256134,4823.16726256134,4823.16726256134,4823.16726256134,4823.16726256134
MNXM1105737[e],4000.00000000001,4000.00000000001,4000.00000000001,4000.00000000001,4000.00000000001
MNXM1105760[e],1034.50943474196,1034.50943474196,1034.50943474196,1034.50943474196,1034.50943474196
MNXM1105765[e],0,0,0,0,0
MNXM1105810[e],0,0,0,0,0
MNXM1105842[e],2116.55564152616,2116.55564152616,2116.55564152616,2116.55564152616,2116.55564152616
MNXM1105881[e],0,0,0,0,0
MNXM1105927[e],0,0,0,0,0
MNXM1105935[e],0,0,0,0,0
MNXM1105936[e],0,0,0,0,0
MNXM1105941[e],13001.7349027953,13001.7349027953,13001.7349027953,13001.7349027953,13001.7349027953
MNXM1106000[e],3801.56787735753,3801.56787735753,3801.56787735753,3801.56787735753,3801.56787735753
MNXM1106022[e],2794.30909977776,2794.30909977776,2794.30909977776,2794.30909977776,2794.30909977776
MNXM1106044[e],0,0,0,0,0
MNXM1106082[e],1.95163137755047e-11,1.95163137755047e-11,1.95163137755047e-11,1.95163137755047e-11,1.95163137755047e-11
MNXM1106164[e],8942.88417883056,8942.88417883056,8942.88417883056,8942.88417883056,8942.88417883056
MNXM1106181[e],1999.99999999714,1999.99999999714,1999.99999999714,1999.99999999714,1999.99999999714
MNXM1106761[e],6837.27257009395,6837.27257009395,6837.27257009395,6837.27257009395,6837.27257009395
MNXM1106762[e],1368.14362505763,1368.14362505763,1368.14362505763,1368.14362505763,1368.14362505763
MNXM1106891[e],500.000000009344,500.000000009344,500.000000009344,500.000000009344,500.000000009344
MNXM1106903[e],0,0,0,0,0
MNXM1107192[e],10579.7804961885,10579.7804961885,10579.7804961885,10579.7804961885,10579.7804961885
MNXM1107418[e],5721.83032337105,5721.83032337105,5721.83032337105,5721.83032337105,5721.83032337105
MNXM1107671[e],5.62593866464178e-12,5.62593866464178e-12,5.62593866464178e-12,5.62593866464178e-12,5.62593866464178e-12
MNXM1107708[e],1428.27063592641,1428.27063592641,1428.27063592641,1428.27063592641,1428.27063592641
MNXM1107753[e],18527.7616982831,18527.7616982831,18527.7616982831,18527.7616982831,18527.7616982831
MNXM1107769[e],4463.95918024911,4463.95918024911,4463.95918024911,4463.95918024911,4463.95918024911
MNXM1107801[e],0,0,0,0,0
MNXM1107821[e],8093.40290296068,8093.40290296068,8093.40290296068,8093.40290296068,8093.40290296068
MNXM1107894[e],5.62678714139681e-12,5.62678714139681e-12,5.62678714139681e-12,5.62678714139681e-12,5.62678714139681e-12
MNXM1107900[e],1000.00000001006,1000.00000001006,1000.00000001006,1000.00000001006,1000.00000001006
MNXM1107902[e],3000.00000000001,3000.00000000001,3000.00000000001,3000.00000000001,3000.00000000001
MNXM1107903[e],5730.95720652234,5730.95720652234,5730.95720652234,5730.95720652234,5730.95720652234
MNXM1107906[e],0,0,0,0,0
MNXM1107981[e],5.77115476893639e-11,5.77115476893639e-11,5.77115476893639e-11,5.77115476893639e-11,5.77115476893639e-11
MNXM1108018[e],7481.79459554098,7481.79459554098,7481.79459554098,7481.79459554098,7481.79459554098
MNXM1108051[e],1990.09874295744,1990.09874295744,1990.09874295744,1990.09874295744,1990.09874295744
MNXM1108069[e],0,0,0,0,0
MNXM1108092[e],5985.06151256571,5985.06151256571,5985.06151256571,5985.06151256571,5985.06151256571
MNXM1108175[e],2916.77157687367,2916.77157687367,2916.77157687367,2916.77157687367,2916.77157687367
MNXM1108176[e],6814.37676813365,6814.37676813365,6814.37676813365,6814.37676813365,6814.37676813365
MNXM1108206[e],7460.58050350414,7460.58050350414,7460.58050350414,7460.58050350414,7460.58050350414
MNXM1118[e],9545.76607366674,9545.76607366674,9545.76607366674,9545.76607366674,9545.76607366674
MNXM112[e],0,0,0,0,0
MNXM1137656[e],676.992915619263,676.992915619263,676.992915619263,676.992915619263,676.992915619263
MNXM1137663[e],139.396712286026,139.396712286026,139.396712286026,139.396712286026,139.396712286026
MNXM1137670[e],1025.05561265496,1025.05561265496,1025.05561265496,1025.05561265496,1025.05561265496
MNXM114[e],3880.73862165994,3880.73862165994,3880.73862165994,3880.73862165994,3880.73862165994
MNXM1148[e],0,0,0,0,0
MNXM1157[e],8049.94736821845,8049.94736821845,8049.94736821845,8049.94736821845,8049.94736821845
MNXM117[e],9000.00000000005,9000.00000000005,9000.00000000005,9000.00000000005,9000.00000000005
MNXM118[e],11288.9426890765,11288.9426890765,11288.9426890765,11288.9426890765,11288.9426890765
