out_transport,flux_sum_coco_1,flux_sum_coco_2,flux_sum_coco_3,flux_sum_coco_4,flux_sum_coco_5
MNXM1[e],968130.901397817,676536.576864247,665123.863381734,631256.384969016,689618.371257773
MNXM1043[e],0,0,0,0,0
MNXM107[e],5941.81605781025,6131.3397137479,8249.0965615563,3315.65074247926,4484.90125772217
MNXM107505[e],2122.78384236848,2131.34596804649,2119.78862950267,2024.96920660113,4107.0924556039
MNXM108[e],472.003018602751,16450.6168545777,329.088410785358,729.297449282062,19635.5956042971
MNXM1091756[e],0,0,0,0,0
MNXM1091995[e],0,0,0,0,0
MNXM1092455[e],0,0,0,0,0
MNXM1092463[e],0,0,0,0,0
MNXM1092497[e],0,0,0,0,0
MNXM1092541[e],0,0,0,0,0
MNXM1092542[e],0,0,0,0,0
MNXM1092543[e],0,0,0,0,0
MNXM1092544[e],0,0,0,0,0
MNXM1092749[e],0,0,0,0,0
MNXM1092973[e],2000.62305443685,2000.66526070171,2000.66269399057,2000,1000
MNXM1093067[e],0,0,0,0,0
MNXM1093068[e],0,0,0,0,0
MNXM1093070[e],0,0,0,0,0
MNXM1093071[e],0,0,0,0,0
MNXM1093180[e],0,0,0,0,0
MNXM1093181[e],0,0,0,0,0
MNXM1093203[e],0,0,0,0,0
MNXM1093257[e],41.8425149159388,17.7042244475987,17.3166800002472,99.7658369227067,129.247316942836
MNXM1093258[e],32.7138333709238,7.52420716161644,3.93201737297147,99.7658369227067,12.111704224146
MNXM1093344[e],0,0,0,0,0
MNXM1093966[e],0,0,0,0,0
MNXM1093967[e],0,0,0,0,0
MNXM1093968[e],0,0,0,0,0
MNXM1093969[e],0,0,0,0,0
MNXM1093970[e],0,0,0,0,0
MNXM1093971[e],0,0,0,0,0
MNXM1094052[e],6864.89399595305,2121.44542417705,2250.44717404591,2179.15745612085,1141.68832070678
MNXM1094072[e],0,0,0,0,0
MNXM1094078[e],2001.25298144601,2001.34543812207,2001.33516810578,2000.58646608552,1000.56327124461
MNXM1094149[e],33.3967777797437,8.06183576303655,4.40938321573953,99.7658369233728,13.8892011936324
MNXM1094288[e],0,0,0,0,0
MNXM1094289[e],114.239227990511,103.621611271537,91.4730008497954,87.9916894432963,93.9768624771703
MNXM1094294[e],0,0,0,0,0
MNXM1094296[e],0,0,0,0,0
MNXM1094430[e],0,0,0,0,0
MNXM1101253[e],0,0,0,0,0
MNXM1102072[e],7094.29725954415,5221.63897275465,5208.51884790921,4170.6472163985,6105.69517206933
MNXM1103400[e],10122.070931247,17160.8991475846,714.392401894739,6619.97193780681,882.620809557542
MNXM1103769[e],23632.7303220589,16544.2657533656,20880.151191734,2616.30591309777,2266.99855016647
MNXM1103964[e],1215.58870462933,203.562755159418,1182.33527152747,523.307432084471,195.149597006166
MNXM1104130[e],0,0,0,0,0
MNXM1104180[e],202.628568546258,205.483373857729,358.875121212035,3.79396245317521,105.647126540612
MNXM1104432[e],11739.5547942193,3464.26279274886,3406.60711430441,3182.5566912903,658.009320862149
MNXM1104434[e],666.768321120077,466.113927287512,338.068472921736,640.554761535836,856.115154716781
MNXM1104527[e],0,0,0,0,0
MNXM1104590[e],9095.25194715411,15887.4851123854,276.65088765306,5951.62461941182,417.28753408658
MNXM1104617[e],0,0,0,0,0
MNXM1104679[e],23.8905641933514,18.0259196471585,22.7251012366046,22.2605584858889,29.2260040747946
MNXM1104756[e],0,0,0,0,0
MNXM1104857[e],0,0,0,0,0
MNXM1104965[e],3375.49144999408,3891.2390368575,4550.91002410475,2110.75511737283,2209.70300595214
MNXM1105063[e],43.3489703233608,18.739223239094,18.0317462858999,102.536093702969,145.759021303738
MNXM1105684[e],0,0,0,0,0
MNXM1105731[e],959.709008477865,871.121314966813,852.931493342428,4715.19893792788,850.762110449039
MNXM1105732[e],2844.1928281034,3649.16802954805,3821.562881798,5191.0592817697,3369.60518182506
MNXM1105737[e],489.152829033627,444.246631041658,623.240777923746,6767.202002512,331.821356571215
MNXM1105765[e],0,0,0,0,0
MNXM1105810[e],0,0,0,0,0
MNXM1105842[e],195.869572343164,307.064919256823,314.472076442985,1804.39653272112,199.810172719488
MNXM1105881[e],0,0,0,0,0
MNXM1105935[e],0,0,0,0,0
MNXM1105941[e],25812.5128817335,19583.14315668,23075.3880373109,5649.3781441582,19666.4459980515
MNXM1106000[e],511.748727607304,392.484246497539,337.059121059362,3372.32720102961,1120.79869085933
MNXM1106022[e],9655.48566055309,1764.55334489372,795.201313698627,994.854980842454,618.206898319256
MNXM1106044[e],0,0,0,0,0
MNXM1106082[e],53.5894856605241,27.9803273113179,34.0994061823283,32.6791726087251,115.548218970536
MNXM1106164[e],10932.283351234,17427.3839377644,21941.3133880868,20086.7578050829,20688.9419483001
MNXM1106761[e],13836.9055286379,21943.6170616531,4715.21983647304,11273.0155890968,22885.421866544
MNXM1106762[e],298.972456588985,306.424540645534,345.391019792709,1352.7678024535,2062.82773576663
MNXM1106891[e],556.205332442742,556.495711654237,561.907243983337,629.698070189247,695.670291784831
MNXM1106903[e],0,0,0,0,0
MNXM1107192[e],5870.69781620272,2133.65599956228,2928.86023210326,8160.47537481629,21916.5646874658
MNXM1107418[e],5115.52408677036,2571.91431014081,2675.07561222112,4993.70623082719,2696.17348585947
MNXM1107671[e],12.7695432648137,10.1967320176054,12.8918820770348,12.8080655103411,17.1187358445067
MNXM1107708[e],2332.06681368926,2394.86925791964,2711.46492776954,1096.9393217554,1403.11181396232
MNXM1107753[e],51264.7319509115,24174.9110255069,27303.4964762477,23016.8907805768,25267.1184342129
MNXM1107769[e],20783.0525564663,15746.4194571519,1010.28855735375,1774.50179653625,2887.92651774282
MNXM1107801[e],0,0,0,0,0
MNXM1107821[e],3759.02885762702,3639.1747807036,3803.93844135532,12244.9408467541,22891.6082520499
MNXM1107894[e],28.7087012846339,11.4053025880747,11.9372153755168,9.98345131436499,17.6730518793258
MNXM1107900[e],203.685451196834,112.407689919215,142.588794737824,78.6785908201401,199.335967265121
MNXM1107902[e],6004.51905197884,6005.38494107285,6004.78999719501,4994.7300469605,4012.26627818616
MNXM1107903[e],1646.47544817388,1864.87348596058,1683.68408437149,16265.8424400343,21725.0532646063
MNXM1107981[e],1364.1672680626,1331.32333850033,1387.95327814355,1660.39559367827,1678.03163039697
MNXM1108018[e],15600.2740775008,4692.67692048285,4926.43683529258,6532.64615154019,1718.33989292686
