out_transport,flux_sum_coco_ab1_1,flux_sum_coco_ab1_2,flux_sum_coco_ab1_3,flux_sum_coco_ab1_4,flux_sum_coco_ab1_5
MNXM1[e],958889.963819515,702662.169719262,815216.397386778,636978.69079129,641718.27033959
MNXM1043[e],0,0,0,0,0
MNXM107[e],4864.82603991613,6177.47404894016,8085.71399286961,3185.50645407187,2887.22029839825
MNXM107505[e],3004.66286891991,3000.50137633122,3117.79616960856,4001.91669715465,4109.23579298815
MNXM108[e],460.148534213105,16471.9587176607,329.241446313399,721.395559469932,19622.5598202425
MNXM1091756[e],0,0,0,0,0
MNXM1091995[e],0,0,0,0,0
MNXM1092455[e],0,0,0,0,0
MNXM1092463[e],0,0,0,0,0
MNXM1092497[e],0,0,0,0,0
MNXM1092541[e],0,0,0,0,0
MNXM1092542[e],0,0,0,0,0
MNXM1092543[e],0,0,0,0,0
MNXM1092544[e],0,0,0,0,0
MNXM1092749[e],0,0,0,0,0
MNXM1092973[e],2000.00000000013,2000.0000000005,4000.00000000043,2000,1000
MNXM1093067[e],0,0,0,0,0
MNXM1093068[e],0,0,0,0,0
MNXM1093070[e],0,0,0,0,0
MNXM1093071[e],0,0,0,0,0
MNXM1093180[e],0,0,0,0,0
MNXM1093181[e],0,0,0,0,0
MNXM1093203[e],0,0,0,0,0
MNXM1093257[e],29.2124494399223,3.06079570428213,2.24164166023458,99.7658369227067,129.247316942836
MNXM1093258[e],26.7026467016535,1.12527501745749e-09,1.06642032196408,99.7658369227067,18.3575834094845
MNXM1093344[e],0,0,0,0,0
MNXM1093966[e],0,0,0,0,0
MNXM1093967[e],0,0,0,0,0
MNXM1093968[e],0,0,0,0,0
MNXM1093969[e],0,0,0,0,0
MNXM1093970[e],0,0,0,0,0
MNXM1093971[e],0,0,0,0,0
MNXM1094052[e],7231.23294882306,2365.41224302055,2713.25316973492,1671.46434401251,1506.08592722781
MNXM1094072[e],0,0,0,0,0
MNXM1094078[e],2000.00000000026,2000.00000000099,4000.00000000086,2000.00000000221,1000.20419715029
