ID,MAG_ab,Replication_rate,MICOM,MICOM_ab1
KG8_genomic,1.22,NaN,2.09142720565819,53.776793692149
KG14_genomic,0.06,NaN,0.106094526715936,118.349000116739
KG7_genomic,0.02,NaN,0.15618821602668,0.00100000001089654
KG3_genomic,0.1,NaN,0.198748654329172,142.202231954838
KG12_genomic,35.32,1.49560964,60.5485318883992,17.5990750339424
KG13_genomic,20.33,0.68504098,34.8514058123204,4.80771943006058
KG5_genomic,0.03,NaN,0.0727547486320604,84.3029225900172
KG6_genomic,1.68,0.930172866,2.87999811926701,127.960601949934
KG1_genomic,0.09,NaN,0.20400874736453,173.764960852199
KG2_genomic,1.04,0.274945032,1.78285597859433,83.8168625154392
KG9_genomic,9.49,1.606147377,16.268560804669,0.00100000002941841
KG10_genomic,0.03,NaN,0.162343483616686,89.4668863067566
KG4_genomic,0.01,NaN,0.0589705687589889,0.00100000000407447
KG11_genomic,30.57,0.937193188,52.4056800630907,0.0010000001016506
KG8_genomic,2.41,NaN,5.11884166477473,53.776793692149
KG14_genomic,0.16,NaN,0.361225516535044,118.349000116739
KG7_genomic,0.07,NaN,0.288598442574704,0.00100000001089654
KG3_genomic,0.12,NaN,0.263931012121945,142.202231954838
KG12_genomic,19.95,1.514156652,42.373813781019,17.5990750339424
KG13_genomic,35.92,0.710510717,76.2941048127421,4.80771943006058
KG5_genomic,0.03,NaN,0.098929578080627,84.3029225900172
KG6_genomic,5.35,0.701140811,11.3634036956618,127.960601949934
KG1_genomic,0.13,NaN,0.309839786633818,173.764960852199
KG2_genomic,1.49,0.245922371,3.1647610292594,83.8168625154392
KG9_genomic,16.98,1.605857279,36.0655317294087,0.00100000002941841
KG10_genomic,0.08,NaN,0.256653251758086,89.4668863067566
KG4_genomic,0.02,NaN,0.0899885751266631,0.00100000000407447
KG11_genomic,17.27,0.883611978,36.6814919297343,0.0010000001016506
KG8_genomic,4.47,NaN,9.08578427884204,53.776793692149
KG14_genomic,0.3,NaN,0.609784179788057,118.349000116739
KG7_genomic,0.43,0.789107032,0.91744568696975,0.00100000001089654
KG3_genomic,0.21,NaN,0.432457005700895,142.202231954838
KG12_genomic,5.69,1.257465387,11.5655732766468,17.5990750339424
KG13_genomic,38.06,0.704825052,77.3612862757781,4.80771943006058
KG5_genomic,3.89,0.79204455,7.90686819791846,84.3029225900172
KG6_genomic,10.86,1.043701501,22.0741873083276,127.960601949934
KG1_genomic,0.27,NaN,0.557209275767879,173.764960852199
KG2_genomic,3.32,0.286856039,6.74827825632147,83.8168625154392
KG9_genomic,27.91,1.639674925,56.7302548596155,0.00100000002941841
KG10_genomic,0.14,NaN,0.355119206859068,89.4668863067566
KG4_genomic,0.11,NaN,0.252004399357227,0.00100000000407447
KG11_genomic,4.34,0.882399155,8.82154446760055,0.0010000001016506
KG8_genomic,25.38,0.733712511,84.4850643061432,53.776793692149
KG14_genomic,33.77,0.924128348,112.41373607679,118.349000116739
KG7_genomic,0.74,0.546231008,2.46331550788809,0.00100000001089654
KG3_genomic,0.16,NaN,0.533179125444366,142.202231954838
KG12_genomic,6.22,0.768195032,20.7051654840387,17.5990750339424
KG13_genomic,0.64,0.700716825,2.13043503404037,4.80771943006058
KG5_genomic,0.38,0.52511236,1.26494580143449,84.3029225900172
KG6_genomic,1.62,0.78112358,5.39266367916733,127.960601949934
KG1_genomic,0.17,NaN,0.579920079015196,173.764960852199
KG2_genomic,0.57,0.174776474,1.89741870205304,83.8168625154392
KG9_genomic,1.65,1.501470092,5.49252782128769,0.00100000002941841
KG10_genomic,24.24,0.565959274,80.6902269025552,89.4668863067566
KG4_genomic,1.1,0.751070348,3.66168521423792,0.00100000000407447
KG11_genomic,3.35,0.63770662,11.1514958796607,0.0010000001016506
KG8_genomic,2.1,0.741515229,3.50168021654755,53.776793692149
KG14_genomic,84.03,0.478124956,140.117232664996,118.349000116739
KG7_genomic,0.06,NaN,0.477483900352752,0.00100000001089654
KG3_genomic,0.02,NaN,0.0690999259540302,142.202231954838
KG12_genomic,0.2,0.766801524,0.359086617804202,17.5990750339424
KG13_genomic,2.07,NaN,3.45165621345402,4.80771943006058
KG5_genomic,0.01,NaN,0.0599164909187857,84.3029225900172
KG6_genomic,4.77,0.781242489,7.9538164918723,127.960601949934
KG1_genomic,0.04,NaN,0.125283074012881,173.764960852199
KG2_genomic,0.02,NaN,0.124598485145622,83.8168625154392
KG9_genomic,0.28,NaN,0.475336106355646,0.00100000002941841
KG10_genomic,6.23,0.473705542,10.3883179757577,89.4668863067566
KG4_genomic,0.05,0.751070348,0.108894778111953,0.00100000000407447
KG11_genomic,0.11,0.606080474,0.208733537276087,0.0010000001016506
