ID,MAG_ab,Replication_rate,CoCo,IMIC
KG8_genomic,1.22,NaN,3.4575359666286,1.22883996447755
KG14_genomic,0.06,NaN,0.170237402099826,0.0185118206423463
KG7_genomic,0.02,NaN,0.164637561803567,6.27157456098516e-05
KG3_genomic,0.1,NaN,0.296925386003871,0.0226432707747476
KG12_genomic,35.32,1.49560964,14.7909400216928,0.0800790153231449
KG13_genomic,20.33,0.68504098,57.6161526242291,0.218646795971734
KG5_genomic,0.03,NaN,0.106823997188017,0
KG6_genomic,1.68,0.930172866,4.76119706880004,0.267415940194029
KG1_genomic,0.09,NaN,0.284945281474183,0.192667355862626
KG2_genomic,1.04,0.274945032,2.94740770925717,1.54410952258609
KG9_genomic,9.49,1.606147377,26.8950953469717,0.163636260597049
KG10_genomic,0.03,NaN,0.160774857462983,0
KG4_genomic,0.01,NaN,0.0525948751556455,6.34531864654833e-05
KG11_genomic,30.57,0.937193188,86.6367823769151,0.0815102459842258
KG8_genomic,2.41,NaN,5.11885434018426,6.60900907394982
KG14_genomic,0.16,NaN,0.342303139099048,0.0617904510692794
KG7_genomic,0.07,NaN,0.261297967672788,0.143988381729695
KG3_genomic,0.12,NaN,0.261728656281929,0.0151048587164072
KG12_genomic,19.95,1.514156652,42.3739187081643,0.0558792803078433
KG13_genomic,35.92,0.710510717,76.2942937341985,0.652902331009397
KG5_genomic,0.03,NaN,0.0767300105212485,0
KG6_genomic,5.35,0.701140811,11.363431834019,0.87868536213289
KG1_genomic,0.13,NaN,0.287998064574628,0.107698698774188
KG2_genomic,1.49,0.245922371,3.16476886592328,0.867950765436131
KG9_genomic,16.98,1.605857279,36.065621035821,0.90707197180407
KG10_genomic,0.08,NaN,0.220240634030152,0
KG4_genomic,0.02,NaN,0.0631941249333507,0.000247716196819977
KG11_genomic,17.27,0.883611978,36.6815827614034,0.236683862523135
KG8_genomic,4.47,NaN,9.08580870722788,8.01377818949283
KG14_genomic,0.3,NaN,0.610681921901882,0.0166028857392453
KG7_genomic,0.43,0.789107032,0.888164208918128,0.000774240600018689
KG3_genomic,0.21,NaN,0.427983583745898,0.000914956536741088
KG12_genomic,5.69,1.257465387,11.5656043722883,0.607359253181418
KG13_genomic,38.06,0.704825052,77.3614942723074,6.07719581532458
KG5_genomic,3.89,0.79204455,7.90688945659418,0.0708968944695216
KG6_genomic,10.86,1.043701501,22.0742466578347,1.43413790527381
KG1_genomic,0.27,NaN,0.549857230140185,0.0678149886985657
KG2_genomic,3.32,0.286856039,6.74829639998927,0.928108378889381
KG9_genomic,27.91,1.639674925,56.7304073867288,3.40615426283969
KG10_genomic,0.14,NaN,0.360602287886106,0
KG4_genomic,0.11,NaN,0.262264754453047,0.271533796804921
KG11_genomic,4.34,0.882399155,8.82156818554006,0.493806092775884
KG8_genomic,25.38,0.733712511,69.1511994847715,8.7540982034761
KG14_genomic,33.77,0.924128348,119.772593300217,31.2296066103971
KG7_genomic,0.74,0.546231008,2.62456970936181,4.61220895927581
KG3_genomic,0.16,NaN,0.567474537398183,0.0620989392852091
KG12_genomic,6.22,0.768195032,22.0605724107333,1.1118843258648
KG13_genomic,0.64,0.700716825,2.26989812874849,5.21701753849954
KG5_genomic,0.38,0.52511236,1.34775201394374,4.34843948310158
KG6_genomic,1.62,0.78112358,5.74567963184888,29.3119670952266
KG1_genomic,0.17,NaN,0.602941704989741,0.487906067961185
KG2_genomic,0.57,0.174776474,2.02162801971263,3.25567302545301
KG9_genomic,1.65,1.501470092,5.85208110556372,14.1562246587811
KG10_genomic,24.24,0.565959274,85.9723915172984,0.969588794509096
KG4_genomic,1.1,0.751070348,3.90138740427263,7.46100843578968
KG11_genomic,3.35,0.63770662,11.8814980022313,0.901222458744337
KG8_genomic,2.1,0.741515229,3.50168406815891,11.1743613890248
KG14_genomic,84.03,0.478124956,140.117386783075,8.79654824590032
KG7_genomic,0.06,NaN,0.208130804992947,0.706738585916092
KG3_genomic,0.02,NaN,0.0759909187972852,0.000654049205516234
KG12_genomic,0.2,0.766801524,0.352856166780678,0.00722100959757227
KG13_genomic,2.07,NaN,3.45166001002655,0.0294572099440005
KG5_genomic,0.01,NaN,0.0430780151988625,0.000900145395063707
KG6_genomic,4.77,0.781242489,7.95382524045521,4.15044322604201
KG1_genomic,0.04,NaN,0.118837279291687,0
KG2_genomic,0.02,NaN,0.136306014280859,0
KG9_genomic,0.28,NaN,0.488484165995762,0.0319550459920565
KG10_genomic,6.23,0.473705542,10.3883294021015,1.27053051325607
KG4_genomic,0.05,0.751070348,0.126735566819727,0.115715612549756
KG11_genomic,0.11,0.606080474,0.206993715195366,0.00171285546388575
