Lambda,Solutions
L = 0.1,992.321820942037
L = 0.1,992.752580430177
L = 0.1,993.786673135855
L = 0.1,997.629805327062
L = 0.1,993.327213503499
L = 0.5,831.049736340731
L = 0.5,833.212958172533
L = 0.5,838.380781769378
L = 0.5,856.946778063118
L = 0.5,835.627653836407
L = 1,653.916377629104
L = 1,657.397613886909
L = 1,666.386698997431
L = 1,704.209150197026
L = 1,663.015046728246
L = 2,364.21121427758
L = 2,370.130072247964
L = 2,386.196282089954
L = 2,455.091483041398
L = 2,381.181807720658
L = 3,198.874217206248
L = 3,205.15342816133
L = 3,225.465080652275
L = 3,314.862490879075
L = 3,218.561694577057
L = 4,106.053616491652
L = 4,113.234329333767
L = 4,136.581090408981
L = 4,232.36706864491
L = 4,123.46849049271
L = 5,54.9254735346179
L = 5,61.2817411265309
L = 5,80.669284917914
L = 5,172.302261543963
L = 5,66.4217874547521
L = 6,25.4348388074138
L = 6,30.6989331269213
L = 6,49.3454203874636
L = 6,135.961206763713
L = 6,32.5395414472005
L = 7,16.2892043827046
L = 7,20.5403495479499
L = 7,35.7053047731194
L = 7,111.401679201674
L = 7,22.2407196137748
L = 8,10.4368905597344
L = 8,14.1324644279383
L = 8,28.3500256777166
L = 8,91.9937763123063
L = 8,17.529008285344
L = 9,7.04370154964214
L = 9,9.81895869071539
L = 9,23.1737039607015
L = 9,83.0231277992722
L = 9,13.3300711763856
L = 10,5.5650000617568
L = 10,7.21014376196074
L = 10,19.7849903088553
L = 10,77.5230753372431
L = 10,10.3023222516214
L = 12,5.18276266243661
L = 12,6.52332043227554
L = 12,17.5897305287331
L = 12,70.1187617956386
L = 12,8.57381389796583
L = 14,4.95945984177169
L = 14,6.19335999143725
L = 14,16.3895205187336
L = 14,65.2937781611969
L = 14,7.45014304933501
L = 15,4.87858369012062
L = 15,6.07496200715717
L = 15,15.9436996150817
L = 15,63.6991689165245
L = 15,7.18742233459917
L = 16,4.82197841766584
L = 16,6.0048638912583
L = 16,15.6088916644443
L = 16,62.3555837302623
L = 16,7.07081033823834
L = 18,4.71654747919129
L = 18,5.87076647403692
L = 18,15.0706473259007
L = 18,61.4612717861754
L = 18,6.84598077380735
L = 20,4.64838674588698
L = 20,5.78871887735008
L = 20,14.6582061749109
L = 20,60.9677240870592
L = 20,6.63574557691618
L = 22,4.59617940137767
L = 22,5.72615074255975
L = 22,14.2768072019313
L = 22,60.516193630019
L = 22,6.4525787529335
L = 24,4.54683070651876
L = 24,5.67048747955087
L = 24,13.9417371250366
L = 24,60.129340409763
L = 24,6.2859185974317
L = 25,4.52409205388281
L = 25,5.64320848746038
L = 25,13.7798440025657
L = 25,60.0392070847158
L = 25,6.20437029624183
L = 50,4.30977009637259
L = 50,5.45752641485747
L = 50,11.9596754301984
L = 50,59.4655636873179
L = 50,5.03473978797595
L = 75,4.21011325558364
L = 75,5.42593501665975
L = 75,11.8350785778011
L = 75,59.3083521423183
L = 75,4.83516651842987
L = 100,4.11222591170061
L = 100,5.39692894188812
L = 100,11.7298245298081
L = 100,59.2916476107559
L = 100,4.77582872682158
