Lambda,Solutions
L = 0.1,1074.2143747946
L = 0.1,1074.63313645458
L = 0.1,1075.88336954397
L = 0.1,1080.47151598274
L = 0.1,1074.78586030525
L = 0.5,851.148750190612
L = 0.5,853.068279774636
L = 0.5,859.117421622389
L = 0.5,881.908514255672
L = 0.5,853.930092621274
L = 1,622.388167495828
L = 1,625.839748424346
L = 1,637.227413792947
L = 1,680.791526182366
L = 1,627.732868841257
L = 2,327.753861530976
L = 2,331.261526478314
L = 2,344.415271353504
L = 2,416.1818887946
L = 2,336.227921856626
L = 3,151.436409713308
L = 3,155.509683454257
L = 3,169.321957360887
L = 3,261.497028340332
L = 3,163.079343105141
L = 4,77.1666820847143
L = 4,80.9935026350555
L = 4,98.1585591647413
L = 4,185.905478264195
L = 4,87.8494625412723
L = 5,53.1204504201954
L = 5,55.284676468469
L = 5,68.6093284392919
L = 5,152.243042705876
L = 5,58.9555340115246
L = 6,43.135714046827
L = 6,44.8182898291278
L = 6,56.0327536018912
L = 6,132.32148018955
L = 6,47.4523191633227
L = 7,34.5467855156514
L = 7,36.0804987276578
L = 7,46.7815005817758
L = 7,120.541629620674
L = 7,38.3899746545977
L = 8,26.6220180426029
L = 8,28.0478188088483
L = 8,38.636070147937
L = 8,111.43447411744
L = 8,30.3538586107674
L = 9,20.5914145188556
L = 9,21.7942132334803
L = 9,31.6433515014232
L = 9,103.566567126424
L = 9,24.5219836769753
L = 10,17.5007909535597
L = 10,18.4877621402486
L = 10,27.4822084132121
L = 10,97.0925374434396
L = 10,21.2546760820715
L = 12,14.9005513841935
L = 12,15.562158360593
L = 12,23.2997716763393
L = 12,86.3047266416729
L = 12,17.978214241427
L = 14,13.5245634667291
L = 14,14.0863363664184
L = 14,20.8956313963656
L = 14,79.0088319049185
L = 14,15.5120834222783
L = 15,12.9527392218493
L = 15,13.5079386435256
L = 15,19.926580104694
L = 15,76.3128972404434
L = 15,14.4912074596361
L = 16,12.3833445322541
L = 16,12.9367730021812
L = 16,19.1677355345547
L = 16,74.3565214081986
L = 16,13.6508011297299
L = 18,11.2493159242158
L = 18,11.7971368265082
L = 18,17.7959430838354
L = 18,71.0853700494936
L = 18,12.4288333830089
L = 20,10.1242433346312
L = 20,10.6663726970449
L = 20,16.4438615722902
L = 20,68.6388795500318
L = 20,11.2150088092719
L = 22,9.00697291674506
L = 22,9.55933699736143
L = 22,15.2270902414239
L = 22,66.5846083010265
L = 22,10.0070269420969
L = 24,7.90926343377557
L = 24,8.45930453152878
L = 24,14.1180806781719
L = 24,64.811423743096
L = 24,8.81317675803595
L = 25,7.36208452255345
L = 25,7.91453916427807
L = 25,13.5773563906189
L = 25,63.9480236745289
L = 25,8.2241555857714
L = 50,0.724407088300546
L = 50,1.05772824419525
L = 50,5.98927994234234
L = 50,56.2188983477941
L = 50,2.98202258235777
L = 75,0.704219183213784
L = 75,1.01815880916264
L = 75,5.89226411705039
L = 75,56.0414015594309
L = 75,2.95112477454161
L = 100,0.686506170477252
L = 100,0.995307569466176
L = 100,5.84588356845788
L = 100,55.9534595656701
L = 100,2.92761806906505
