Genome,all_ab_sorted_40d.Length,all_ab_sorted_40d.Read.Count,relative_ab,replication_rate,ifod
KG10_genomic,3139664,10980,0.08,NA,1
KG11_genomic,2532757,2009393,17.27,0.883611978,2
KG12_genomic,2515188,2305733,19.95,1.514156652,3
KG13_genomic,3532267,5829422,35.92,0.710510717,3
KG14_genomic,3445213,25384,0.16,NA,3
KG1_genomic,3100625,18027,0.13,NA,3
KG2_genomic,4540404,311555,1.49,0.245922371,3
KG3_genomic,3155661,17601,0.12,NA,3
KG4_genomic,2953898,3032,0.02,NA,3
KG5_genomic,2856519,4387,0.03,NA,3
KG6_genomic,3095961,761528,5.35,0.701140811,3
KG7_genomic,3628267,12363,0.07,NA,3
KG8_genomic,4904117,543093,2.41,NA,3
KG9_genomic,2994058,2336346,16.98,1.605857279,3
