# gapseq version: 1.2 dd8576dc
# Transporter sequence DB md5sum: b99a77e (2024-03-19)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	100.000	0.0	1060	100	lcl|U00096.3_cds_AAC74949.1_1877 [gene=flhA] [locus_tag=b1879] [db_xref=UniProtKB/Swiss-Prot:P76298] [protein=flagellar biosynthesis protein FlhA] [protein_id=AAC74949.1] [location=complement(1962972..1965050)] [gbkey=CDS]	1	2076	transporter
gnl|TC-DB|P31069|1.A.1.13.1	1.A.1.13.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P31069|1.A.1.13.1	99.760	0.0	803	100	lcl|U00096.3_cds_AAC74332.1_1228 [gene=kch] [locus_tag=b1250] [db_xref=UniProtKB/Swiss-Prot:P31069] [protein=K(+) channel Kch] [protein_id=AAC74332.1] [location=complement(1309016..1310269)] [gbkey=CDS]	1	1251	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.633	8.65e-22	89.0	75	lcl|U00096.3_cds_AAC73595.1_486 [gene=ybbO] [locus_tag=b0493] [db_xref=UniProtKB/Swiss-Prot:P0AFP4] [protein=NADP(+)-dependent aldehyde reductase YbbO] [protein_id=AAC73595.1] [location=complement(518340..519149)] [gbkey=CDS]	43	618	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	26.201	3.79e-09	53.1	79	lcl|U00096.3_cds_AAC77223.1_4181 [gene=idnO] [locus_tag=b4266] [db_xref=UniProtKB/Swiss-Prot:P0A9P9] [protein=5-keto-D-gluconate 5-reductase] [protein_id=AAC77223.1] [location=complement(4492587..4493351)] [gbkey=CDS]	37	693	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	100.000	7.33e-160	437	100	lcl|U00096.3_cds_AAC76261.1_3174 [gene=sspA] [locus_tag=b3229] [db_xref=UniProtKB/Swiss-Prot:P0ACA3] [protein=stringent starvation protein A] [protein_id=AAC76261.1] [location=complement(3376782..3377420)] [gbkey=CDS]	1	636	transporter
gnl|TC-DB|P76481|1.A.13.2.3	1.A.13.2.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P76481|1.A.13.2.3	100.000	0.0	983	100	lcl|U00096.3_cds_AAC75330.1_2251 [gene=yfbK] [locus_tag=b2270] [db_xref=UniProtKB/Swiss-Prot:P76481] [protein=IPR002035/DUF3520 domain-containing protein YfbK] [protein_id=AAC75330.1] [location=complement(2383995..2385722)] [gbkey=CDS]	1	1725	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	lcl|U00096.3_cds_AAC73567.1_456 [gene=mscK] [locus_tag=b0465] [db_xref=UniProtKB/Swiss-Prot:P77338] [protein=potassium dependent, small conductance mechanosensitive channel] [protein_id=AAC73567.1] [location=486536..489898] [gbkey=CDS]	1	3360	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	lcl|U00096.3_cds_AAC73567.1_456 [gene=mscK] [locus_tag=b0465] [db_xref=UniProtKB/Swiss-Prot:P77338] [protein=potassium dependent, small conductance mechanosensitive channel] [protein_id=AAC73567.1] [location=486536..489898] [gbkey=CDS]	1	3360	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1335	100	lcl|U00096.3_cds_AAC73895.2_783 [gene=ybiO] [locus_tag=b0808] [db_xref=UniProtKB/Swiss-Prot:P75783] [protein=moderate conductance mechanosensitive channel YbiO] [protein_id=AAC73895.2] [location=complement(843255..845480)] [gbkey=CDS]	1	2223	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1335	100	lcl|U00096.3_cds_AAC73895.2_783 [gene=ybiO] [locus_tag=b0808] [db_xref=UniProtKB/Swiss-Prot:P75783] [protein=moderate conductance mechanosensitive channel YbiO] [protein_id=AAC73895.2] [location=complement(843255..845480)] [gbkey=CDS]	1	2223	transporter
