"","Geneid","Chr","Start","End","Strand","Length","study_case.metatranscriptome.all_tp_1.1_0h_1.bam","TPM","log_normalized","ID","proteinID"
"1","b0001","U00096.3",190,255,"+",66,123,33.3078295542595,5.10046595321216,"thrL","AAC73112.1"
"2","b0002","U00096.3",337,2799,"+",2463,1470,10.6668964853961,3.54434893523029,"thrA","AAC73113.1"
"3","b0003","U00096.3",2801,3733,"+",933,1222,23.4085611517191,4.6093153477917,"thrB","AAC73114.1"
"4","b0004","U00096.3",3734,5020,"+",1287,1773,24.6215475504282,4.67928571248342,"thrC","AAC73115.1"
"5","b0005","U00096.3",5234,5530,"+",297,201,12.0955261795956,3.71100212337635,"yaaX","AAC73116.1"
"6","b0006","U00096.3",5683,6459,"-",777,755,17.3664516086339,4.19900102013285,"yaaA","AAC73117.1"
"7","b0007","U00096.3",6529,7959,"-",1431,858,10.716002636161,3.55040851783114,"yaaJ","AAC73118.1"
"8","b0008","U00096.3",8238,9191,"+",954,29806,558.393661841634,9.12772009735814,"talB","AAC73119.1"
"9","b0009","U00096.3",9306,9893,"+",588,2235,67.9337140859026,6.10713784339587,"mog","AAC73120.1"
"10","b0010","U00096.3",9928,10494,"-",567,564,17.7779304473374,4.23096616438123,"satP","AAC73121.1"
"11","b0011","U00096.3",10643,11356,"-",714,36,0.901134146579679,0.926860334078592,"yaaW","AAC73122.1"
"12","b0012","U00096.3",10830,11315,"+",486,21,0.772268255247811,0.82559699058862,"mbiA","AYC08161.1"
"13","b0013","U00096.3",11382,11786,"-",405,14,0.617814604198249,0.694046289517745,"yaaI","AAC73124.1"
"14","b0014","U00096.3",12163,14079,"+",1917,43591,406.405780859243,8.67032264125622,"dnaK","AAC73125.1"
"15","b0015","U00096.3",14168,15298,"+",1131,4184,66.1171657891889,6.06860989010173,"dnaJ","AAC73126.1"
"16","b0016","U00096.3",15445,16557,"+",1113,4066,65.2916084694765,6.0507543530731,"insL1","AAC73127.1"
"17","b0018","U00096.3",16751,16960,"-",210,732,62.2984073335418,5.98409729500057,"mokC","AAC73129.1"
"18","b4412","U00096.3",16751,16903,"-",153,722,84.3394810521055,6.4151414324497,"hokC","AAT48122.1"
"19","b4413","U00096.3",16952,17010,"+",59,266,80.5776843950089,6.35010265130377,"sokC",NA
"20","b0019","U00096.3",17489,18655,"+",1167,1611,24.6723116404804,4.68214130284217,"nhaA","AAC73130.1"
"21","b0020","U00096.3",18715,19620,"+",906,743,14.6570231490315,3.9687380357171,"nhaR","AAC73131.1"
"22","b0021","U00096.3",19811,20314,"-",504,503,17.8370326097288,4.2354998105596,"insB1","AAC73132.1"
"23","b0022","U00096.3",20233,20508,"-",276,545,35.2916999253775,5.18156773000368,"insA1","AAC73133.1"
"24","b0023","U00096.3",20815,21078,"-",264,4507,305.118674392373,8.25794724715674,"rpsT","AAC73134.1"
"25","b0024","U00096.3",21181,21399,"+",219,891,72.7141190469534,6.20386907144154,"yaaY","AAC73135.1"
"26","b0025","U00096.3",21407,22348,"+",942,5851,111.010575213179,6.8074911371234,"ribF","AAC73136.1"
"27","b0026","U00096.3",22391,25207,"+",2817,37672,239.010504249438,7.90695373767912,"ileS","AAC73137.1"
"28","b0027","U00096.3",25207,25701,"+",495,3555,128.357001696902,7.01521433455901,"lspA","AAC73138.1"
"29","b0028","U00096.3",25826,26275,"+",450,2525,100.284549145751,6.66227029904763,"fkpB","AAC73139.1"
"30","b0029","U00096.3",26277,27227,"+",951,3310,62.206051348803,5.98199078355838,"ispH","AAC73140.1"
"31","b0030","U00096.3",27293,28207,"+",915,912,17.8138955664844,4.2337266961442,"rihC","AAC73141.1"
"32","b0031","U00096.3",28374,29195,"+",822,1165,25.3302377151407,4.71864864129627,"dapB","AAC73142.1"
"33","b0032","U00096.3",29651,30799,"+",1149,1111,17.2814105577535,4.19230548509546,"carA","AAC73143.1"
"34","b0033","U00096.3",30817,34038,"+",3222,3171,17.5895959589124,4.21642350880221,"carB","AAC73144.1"
"35","b0034","U00096.3",34300,34695,"+",396,1784,80.5164877029796,6.34901998639776,"caiF","AAC73145.2"
"36","b0035","U00096.3",34781,35371,"-",591,173,5.23171141444891,2.63962842489774,"caiE","AAC73146.2"
"37","b0036","U00096.3",35377,36162,"-",786,34,0.773110423465093,0.826282385319972,"caiD","AAC73147.2"
"38","b0037","U00096.3",36271,37824,"-",1554,262,3.01325186851793,2.00477170136066,"caiC","AAC73148.2"
"39","b0038","U00096.3",37898,39115,"-",1218,444,6.51509630113354,2.90979159147066,"caiB","AAC73149.1"
"40","b0039","U00096.3",39244,40386,"-",1143,420,6.56732059580816,2.91978256739591,"caiA","AAC73150.1"
"41","b0040","U00096.3",40417,41931,"-",1515,39,0.460084001570549,0.546051372641647,"caiT","AAC73151.1"
"42","b0041","U00096.3",42403,43173,"+",771,82,1.90083592786954,1.53646869858903,"fixA","AAC73152.2"
"43","b0042","U00096.3",43188,44129,"+",942,94,1.7834548060227,1.47687665886164,"fixB","AAC73153.1"
"44","b0043","U00096.3",44180,45466,"+",1287,85,1.18039004048866,1.12458623552762,"fixC","AAC73154.1"
"45","b0044","U00096.3",45463,45750,"+",288,17,1.05497359868674,1.03911985897344,"fixX","AAC73155.1"
"46","b0045","U00096.3",45807,47138,"+",1332,26,0.348862493683374,0.431743283947858,"yaaU","AAC73156.1"
"47","b0046","U00096.3",47246,47776,"+",531,129,4.34190529948043,2.41735440031204,"kefF","AAC73157.1"
"48","b0047","U00096.3",47769,49631,"+",1863,339,3.25216072706842,2.08819613020911,"kefC","AAC73158.1"
"49","b0048","U00096.3",49823,50302,"+",480,1313,48.8887177085538,5.64064168306944,"folA","AAC73159.1"
"50","b0049","U00096.3",50380,51222,"-",843,1632,34.6001305533702,5.15381062676315,"apaH","AAC73160.1"
"51","b0050","U00096.3",51229,51606,"-",378,2672,126.336782327887,6.99250540412049,"apaG","AAC73161.1"
"52","b0051","U00096.3",51609,52430,"-",822,8674,188.59612183788,7.56678564418769,"rsmA","AAC73162.1"
"53","b0052","U00096.3",52427,53416,"-",990,4673,84.3617818466421,6.41551838626155,"pdxA","AAC73163.1"
"54","b0053","U00096.3",53416,54702,"-",1287,14030,194.833791388893,7.61348591520122,"surA","AAC73164.1"
"55","b0054","U00096.3",54755,57109,"-",2355,20023,151.957938642521,7.25699117567039,"lptD","AAC73165.1"
"56","b0055","U00096.3",57364,58179,"+",816,797,17.4563451519723,4.20604498410232,"djlA","AAC73166.1"
"57","b0056","U00096.3",58474,59124,"+",651,531,14.5780249841842,3.9614404318724,"yabP","AYC08162.1"
"58","b0057","U00096.3",59121,59279,"+",159,234,26.3029155614861,4.77098311348688,"yabQ","AYC08163.1"
"59","b0058","U00096.3",59687,60346,"-",660,1152,31.1956257288674,5.00879278422239,"rluA","AAC73169.1"
"60","b0059","U00096.3",60358,63264,"-",2907,5535,34.0296710616273,5.13050553578249,"rapA","AAC73170.1"
"61","b0060","U00096.3",63429,65780,"-",2352,1268,9.63534110301168,3.41079439990496,"polB","AAC73171.1"
"62","b0061","U00096.3",65855,66550,"-",696,49,1.25826465725721,1.1752145726202,"araD","AAC73172.1"
"63","b0062","U00096.3",66835,68337,"-",1503,179,2.12852721848456,1.64548365567602,"araA","AAC73173.1"
"64","b0063","U00096.3",68348,70048,"-",1701,140,1.47098715285297,1.30508750983162,"araB","AAC73174.1"
"65","b0064","U00096.3",70387,71265,"+",879,592,12.0369924835505,3.70453918612012,"araC","AAC73175.1"
"66","b0065","U00096.3",71351,72115,"+",765,268,6.26121355179066,2.86021068304741,"yabI","AAC73176.1"
"67","b0066","U00096.3",72229,72927,"-",699,176,4.50008430280515,2.45945373178399,"thiQ","AAC73177.1"
"68","b0067","U00096.3",72911,74521,"-",1611,187,2.07458495384208,1.62039167046888,"thiP","AAC73178.1"
"69","b0068","U00096.3",74497,75480,"-",984,323,5.86668245123359,2.77961324792765,"thiB","AAC73179.1"
"70","b4762","U00096.3",75516,75608,"-",93,51,9.80104504586392,3.43309900075257,"sroA",NA
"71","b0069","U00096.3",75644,77299,"-",1656,698,7.53321301159433,3.09308906195398,"sgrR","AAC73180.1"
"72","b4577","U00096.3",77367,77593,"+",227,90,7.08601080019703,3.01542813056735,"sgrS",NA
"73","b4662","U00096.3",77388,77519,"+",132,84,11.3734052136496,3.62917068564526,"sgrT","ACO59989.1"
"74","b0070","U00096.3",77621,78799,"+",1179,300,4.54770837332408,2.47189195142915,"setA","AAT48123.1"
"75","b0071","U00096.3",78848,79453,"-",606,148,4.36489950207957,2.42355114596606,"leuD","AAC73182.1"
"76","b0072","U00096.3",79464,80864,"-",1401,253,3.22750960636145,2.07980803294023,"leuC","AAC73183.1"
"77","b0073","U00096.3",80867,81958,"-",1092,180,2.9460154792028,1.98039661539379,"leuB","AAC73184.2"
"78","b0074","U00096.3",81958,83529,"-",1572,230,2.61493231466135,1.85396863466834,"leuA","AAC73185.1"
"79","b0075","U00096.3",83622,83708,"-",87,0,0,0,"leuL","AAC73186.1"
"80","b0076","U00096.3",84368,85312,"+",945,108,2.04257073224727,1.60529080242174,"leuO","AAC73187.2"
"81","b4726","U00096.3",85467,85511,"-",45,0,0,0,"yabR","AYC08164.1"
"82","b0077","U00096.3",85630,87354,"+",1725,659,6.82781071583816,2.9686088706015,"ilvI","AAC73188.2"
"83","b0078","U00096.3",87357,87848,"+",492,209,7.5921772898317,3.10302376200607,"ilvH","AAC73189.1"
"84","b0080","U00096.3",88028,89032,"+",1005,14614,259.889180058994,8.02729330181463,"cra","AAC73191.1"
"85","b0081","U00096.3",89634,90092,"+",459,1973,76.8244672741478,6.28215189104599,"mraZ","AAC73192.1"
"86","b0082","U00096.3",90094,91035,"+",942,5497,104.294160305391,6.71828161538742,"rsmH","AAC73193.1"
"87","b0083","U00096.3",91032,91397,"+",366,1390,67.876411286769,6.10593806988605,"ftsL","AAC73194.1"
"88","b0084","U00096.3",91413,93179,"+",1767,4581,46.3349714706942,5.56483454748251,"ftsI","AAC73195.1"
"89","b4810","U00096.3",92485,92658,"+",174,1153,118.430951005515,6.90003295498451,"ftsO",NA
"90","b0085","U00096.3",93166,94653,"+",1488,6978,83.8133484436746,6.40621943771786,"murE","AAC73196.1"
"91","b0086","U00096.3",94650,96008,"+",1359,8206,107.918826344507,6.76710953158341,"murF","AAC73197.1"
"92","b0087","U00096.3",96002,97084,"+",1083,3853,63.5851514536486,6.01313061295646,"mraY","AAC73198.1"
"93","b0088","U00096.3",97087,98403,"+",1317,4559,61.8684128494753,5.97426343676794,"murD","AAC73199.1"
"94","b0089","U00096.3",98403,99647,"+",1245,3530,50.6746212789459,5.69138400512756,"ftsW","AAC73200.1"
"95","b0090","U00096.3",99644,100711,"+",1068,3607,60.3615032988195,5.93926192282574,"murG","AAC73201.1"
"96","b0091","U00096.3",100765,102240,"+",1476,7570,91.6631293206156,6.53392349924323,"murC","AAC73202.1"
"97","b0092","U00096.3",102233,103153,"+",921,4722,91.6329166445458,6.53345303396053,"ddlB","AAC73203.1"
"98","b0093","U00096.3",103155,103985,"+",831,2769,59.5534724776608,5.92013778945032,"ftsQ","AAC73204.1"
"99","b0094","U00096.3",103982,105244,"+",1263,5786,81.876682301543,6.37289434546354,"ftsA","AAC73205.1"
"100","b0095","U00096.3",105305,106456,"+",1152,16982,263.464141954386,8.04692831388511,"ftsZ","AAC73206.1"
"101","b0096","U00096.3",106557,107474,"+",918,32630,635.271760556372,9.31349928211814,"lpxC","AAC73207.1"
"102","b0097","U00096.3",107705,108217,"+",513,3825,133.25982299201,7.06888383525484,"secM","AAC73208.2"
"103","b0098","U00096.3",108279,110984,"+",2706,20935,138.270753860484,7.12174852100666,"secA","AAC73209.1"
"104","b0099","U00096.3",111044,111433,"+",390,299,13.7022453288254,3.87796459534995,"mutT","AAC73210.1"
"105","b0101","U00096.3",111649,111846,"-",198,578,52.1732397895989,5.73262846587823,"yacG","AAC73212.1"
"106","b0102","U00096.3",111856,112599,"-",744,1759,42.2549956756732,5.43479485932016,"zapD","AAC73213.1"
"107","b0103","U00096.3",112599,113219,"-",621,352,10.1306245657353,3.47646264287795,"coaE","AAC73214.1"
"108","b4727","U00096.3",113244,113288,"+",45,28,11.1206628755685,3.5993966964329,"yacM","AYC08165.1"
"109","b0104","U00096.3",113444,114487,"+",1044,2899,49.6286971617503,5.66188345445672,"guaC","AAC73215.1"
"110","b0106","U00096.3",114522,115724,"-",1203,169,2.51076597698309,1.81178583128034,"hofC","AAC73217.1"
"111","b0107","U00096.3",115714,117099,"-",1386,223,2.87558884653499,1.95441552624113,"hofB","AAC73218.1"
"112","b0108","U00096.3",117109,117549,"-",441,27,1.09423432084675,1.0664228723598,"ppdD","AAC73219.1"
"113","b0109","U00096.3",117752,118645,"-",894,1577,31.5267593865739,5.02355518994377,"nadC","AAC73220.1"
"114","b0110","U00096.3",118733,119284,"+",552,773,25.0279670112998,4.70199072521343,"ampD","AAC73221.1"
"115","b0111","U00096.3",119281,120135,"+",855,883,18.4577919532462,4.28227609900225,"ampE","AAC73222.1"
"116","b0112","U00096.3",120178,121551,"-",1374,393,5.11200153239833,2.61164490508557,"aroP","AAC73223.1"
"117","b0113","U00096.3",122092,122856,"+",765,3841,89.7362733299549,6.50360750221983,"pdhR","AAC73224.1"
"118","b0114","U00096.3",123017,125680,"+",2664,24223,162.509542009469,7.35323102004274,"aceE","AAC73225.1"
"119","b0115","U00096.3",125695,127587,"+",1893,9826,92.7708003865768,6.55106684176765,"aceF","AAC73226.1"
"120","b0116","U00096.3",127912,129336,"+",1425,10836,135.906206300368,7.09704403882351,"lpd","AAC73227.1"
"121","b0117","U00096.3",129407,131260,"-",1854,100,0.963996435122094,0.973792310998663,"yacH","AAC73228.1"
"122","b0118","U00096.3",131615,134212,"+",2598,8603,59.1828579997416,5.91128071475485,"acnB","AAC73229.1"
"123","b0119","U00096.3",134388,134750,"+",363,1245,61.2982229047348,5.96111910495698,"yacL","AAC73230.2"
"124","b0120","U00096.3",134788,135582,"-",795,4276,96.1292879836876,6.60183448072428,"speD","AAC73231.1"
"125","b0121","U00096.3",135598,136464,"-",867,4347,89.6098396937028,6.50159582183103,"speE","AAC73232.1"
"126","b0122","U00096.3",136570,136917,"-",348,430,22.0838286783918,4.52881062377678,"yacC","AAC73233.2"
"127","b0123","U00096.3",137083,138633,"+",1551,660,7.60531655623984,3.10522826439997,"cueO","AAC73234.1"
"128","b0124","U00096.3",138835,141225,"-",2391,467,3.49077986392531,2.16696600356768,"gcd","AAC73235.1"
"129","b0125","U00096.3",141431,141967,"+",537,5004,166.543686241055,7.3883935104541,"hpt","AAC73236.2"
"130","b0126","U00096.3",142008,142670,"-",663,3374,90.952932794525,6.5228236843222,"can","AAC73237.1"
"131","b0127","U00096.3",142779,143705,"+",927,2097,40.4300104890206,5.37260428045807,"yadG","AAC73238.1"
"132","b0128","U00096.3",143702,144472,"+",771,1282,29.7179470674238,4.94100989640821,"yadH","AAC73239.1"
"133","b0129","U00096.3",144577,145017,"+",441,250,10.1317992670996,3.47661489367032,"yadI","AAC73240.1"
"134","b0130","U00096.3",145081,146310,"+",1230,372,5.40533962070315,2.67927506644741,"yadE","AAC73241.1"
"135","b0131","U00096.3",146314,146694,"-",381,2090,98.0407146088503,6.62994981896019,"panD","AAC73242.1"
"136","b0132","U00096.3",146968,147870,"+",903,131,2.59279811942241,1.84510787208075,"rpnC","AAC73243.1"
"137","b0133","U00096.3",147944,148795,"-",852,3784,79.3773673059943,6.32871741877832,"panC","AAC73244.1"
"138","b0134","U00096.3",148807,149601,"-",795,3451,77.5823603441782,6.29613359693821,"panB","AAC73245.1"
"139","b0135","U00096.3",149715,150953,"-",1239,52,0.750096596587981,0.807434553813264,"yadC","AAC73246.1"
"140","b0136","U00096.3",151003,151599,"-",597,9,0.26943458151503,0.344186049687547,"yadK","AAC73247.1"
"141","b0137","U00096.3",151626,152231,"-",606,8,0.235940513625922,0.305609307350586,"yadL","AAC73248.1"
"142","b0138","U00096.3",152243,152812,"-",570,8,0.250842019749665,0.322899589890631,"yadM","AAC73249.2"
"143","b0139","U00096.3",152829,155426,"-",2598,36,0.247655804718203,0.319219987633687,"htrE","AAC73250.1"
"144","b0140","U00096.3",155461,156201,"-",741,4,0.0964776999037173,0.132876470866523,"yadV","AAC73251.1"
"145","b0141","U00096.3",156299,156883,"-",585,8,0.244410173089417,0.315462094107129,"yadN","AAC73252.1"
"146","b0142","U00096.3",157253,157732,"-",480,262,9.75540292432681,3.4269896676297,"folK","AAC73253.1"
"147","b0143","U00096.3",157729,159126,"-",1398,7938,101.482014760418,6.67922693372356,"pcnB","AAC73254.2"
"148","b0144","U00096.3",159186,160112,"-",927,1308,25.218146742794,4.7124938056387,"gluQ","AAC73255.3"
"149","b0145","U00096.3",160149,160604,"-",456,13874,543.778465938571,9.08952586724799,"dksA","AAC73256.1"
"150","b0146","U00096.3",160782,161486,"-",705,1849,46.8741010416249,5.58117349189955,"sfsA","AAC73257.1"
"151","b0147","U00096.3",161501,162031,"-",531,399,13.4296140658348,3.85096080894017,"thpR","AAC73258.2"
"152","b0148","U00096.3",162105,164534,"+",2430,1302,9.57612636507286,3.4027394144756,"hrpB","AAC73259.2"
"153","b0149","U00096.3",164730,167264,"+",2535,4185,29.5054781070926,4.93099643685044,"mrcB","AAC73260.1"
"154","b0150","U00096.3",167484,169727,"+",2244,994,7.91678206048157,3.15652315599857,"fhuA","AAC73261.1"
"155","b0151","U00096.3",169778,170575,"+",798,138,3.09073202905837,2.03235903392339,"fhuC","AAC73262.1"
"156","b0152","U00096.3",170575,171465,"+",891,135,2.70795362229752,1.89062319938421,"fhuD","AAC73263.1"
"157","b0153","U00096.3",171462,173444,"+",1983,306,2.7579340068543,1.90993973178724,"fhuB","AAC73264.1"
"158","b0154","U00096.3",173602,174882,"-",1281,5385,75.1314439422921,6.25042053613468,"hemL","AAC73265.1"
"159","b4765","U00096.3",175048,175095,"+",48,54,20.1065556455591,4.39961926104263,"yadX","QNV50518.1"
"160","b0155","U00096.3",175107,176528,"+",1422,958,12.0406815492706,3.70494736645466,"clcA","AAC73266.1"
"161","b4728","U00096.3",176552,176617,"+",66,680,184.140846316231,7.53247941170859,"yadW","AYC08166.1"
"162","b0156","U00096.3",176610,176954,"+",345,1606,83.1977542461008,6.39570984859208,"erpA","AAC73267.1"
"163","b0157","U00096.3",177001,177624,"-",624,376,10.7693232517524,3.55695946119316,"yadS","AAC73268.1"
"164","b0158","U00096.3",177662,178462,"-",801,1143,25.5034463619076,4.72810806686321,"btuF","AAC73269.1"
"165","b0159","U00096.3",178455,179153,"-",699,6181,158.039892475219,7.31324487640074,"mtn","AAC73270.1"
"166","b0160","U00096.3",179237,180754,"+",1518,539,6.34603044529723,2.87696487526754,"dgt","AAC73271.1"
"167","b0161","U00096.3",180884,182308,"+",1425,1682,21.0958138609468,4.46570116612837,"degP","AAC73272.1"
"168","b0162","U00096.3",182463,183620,"+",1158,573,8.84364335820791,3.29919238893529,"cdaR","AAC73273.2"
"169","b0163","U00096.3",183709,184095,"-",387,3317,153.18620746786,7.26852990633969,"yaeH","AAC73274.1"
"170","b0164","U00096.3",184257,185069,"-",813,163,3.5832921363686,2.19638424518376,"yaeI","AAC73275.2"
"171","b0166","U00096.3",185123,185947,"-",825,5175,112.109279963117,6.82157348875359,"dapD","AAC73277.1"
"172","b0167","U00096.3",185978,188650,"-",2673,1400,9.3608273363371,3.37306730509077,"glnD","AAC73278.1"
"173","b0168","U00096.3",188712,189506,"-",795,4767,107.167520069747,6.75712354967122,"map","AAC73279.1"
"174","b4414","U00096.3",189712,189847,"+",136,24901,3272.37478516383,11.6765630779223,"tff",NA
"175","b0169","U00096.3",189874,190599,"+",726,240790,5927.71047920927,12.5335026309922,"rpsB","AAC73280.1"
"176","b0170","U00096.3",190857,191708,"+",852,82349,1727.44366286504,10.7552578656244,"tsf","AAC73281.1"
"177","b0171","U00096.3",191855,192580,"+",726,10821,266.388783153468,8.06279513602766,"pyrH","AAC73282.1"
"178","b0172","U00096.3",192872,193429,"+",558,18213,583.354357582744,9.19069968711433,"frr","AAC73283.1"
"179","b0173","U00096.3",193521,194717,"+",1197,1658,24.7557183776753,4.68682087511381,"dxr","AAC73284.1"
"180","b4809","U00096.3",194784,194844,"+",61,523,153.234660876173,7.26898320570843,"ispZ",NA
"181","b0174","U00096.3",194903,195664,"+",762,6931,162.564639462665,7.35371707995054,"ispU","AAC73285.1"
"182","b0175","U00096.3",195677,196534,"+",858,3417,71.1775194414663,6.17347765719996,"cdsA","AAC73286.2"
"183","b0176","U00096.3",196546,197898,"+",1353,9058,119.651921515956,6.91470708203345,"rseP","AAC73287.1"
