# gapseq version: 1.2 dd8576dc
# Transporter sequence DB md5sum: b99a77e (2024-03-19)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	53.443	2.25e-176	518	94	lcl|AP013070.1_cds_BAN53275.1_1422 [gene=flhA] [locus_tag=PP4_14220] [protein=flagellar biosynthesis protein FlhA] [protein_id=BAN53275.1] [location=1653647..1655776] [gbkey=CDS]	124	2118	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.830	2.18e-25	99.0	97	lcl|AP013070.1_cds_BAN53691.1_1838 [locus_tag=PP4_18380] [protein=putative oxidoreductase] [protein_id=BAN53691.1] [location=complement(2109737..2110543)] [gbkey=CDS]	1	753	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.958	2.29e-13	66.2	81	lcl|AP013070.1_cds_BAN54886.1_3033 [locus_tag=PP4_30330] [protein=putative oxidoreductase] [protein_id=BAN54886.1] [location=3437915..3438772] [gbkey=CDS]	136	804	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	56.000	1.40e-76	226	93	lcl|AP013070.1_cds_BAN52683.1_830 [gene=sspA] [locus_tag=PP4_08300] [protein=stringent starvation protein A] [protein_id=BAN52683.1] [location=960487..961110] [gbkey=CDS]	19	615	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	49.561	4.81e-66	203	98	lcl|AP013070.1_cds_BAN53316.1_1463 [locus_tag=PP4_14630] [protein=putative cation transporter] [protein_id=BAN53316.1] [location=complement(1694804..1695625)] [gbkey=CDS]	124	807	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	55.133	7.68e-82	245	96	lcl|AP013070.1_cds_BAN53316.1_1463 [locus_tag=PP4_14630] [protein=putative cation transporter] [protein_id=BAN53316.1] [location=complement(1694804..1695625)] [gbkey=CDS]	19	807	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	40.922	0.0	702	96	lcl|AP013070.1_cds_BAN56983.1_5130 [gene=kefA] [locus_tag=PP4_51300] [protein=putative small-conductance mechanosensitive channel KefA] [protein_id=BAN56983.1] [location=5813195..5816503] [gbkey=CDS]	97	3306	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	40.922	0.0	702	96	lcl|AP013070.1_cds_BAN56983.1_5130 [gene=kefA] [locus_tag=PP4_51300] [protein=putative small-conductance mechanosensitive channel KefA] [protein_id=BAN56983.1] [location=5813195..5816503] [gbkey=CDS]	97	3306	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	32.129	2.84e-39	134	96	lcl|AP013070.1_cds_BAN53283.1_1430 [gene=motA] [locus_tag=PP4_14300] [protein=flagellar motor protein MotA] [protein_id=BAN53283.1] [location=1663496..1664236] [gbkey=CDS]	1	738	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	34.135	8.70e-39	134	76	lcl|AP013070.1_cds_BAN53283.1_1430 [gene=motA] [locus_tag=PP4_14300] [protein=flagellar motor protein MotA] [protein_id=BAN53283.1] [location=1663496..1664236] [gbkey=CDS]	109	732	transporter
gnl|TC-DB|D4ZJA6|1.A.30.1.5	1.A.30.1.5	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|D4ZJA6|1.A.30.1.5	23.166	1.33e-20	87.4	88	lcl|AP013070.1_cds_BAN52883.1_1030 [locus_tag=PP4_10300] [protein=putative outer membrane protein] [protein_id=BAN52883.1] [location=1190486..1191445] [gbkey=CDS]	91	846	transporter
gnl|TC-DB|D4ZJA6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|D4ZJA6|1.A.30.1.6	23.166	1.33e-20	87.4	88	lcl|AP013070.1_cds_BAN52883.1_1030 [locus_tag=PP4_10300] [protein=putative outer membrane protein] [protein_id=BAN52883.1] [location=1190486..1191445] [gbkey=CDS]	91	846	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	42.509	3.39e-68	211	96	lcl|AP013070.1_cds_BAN56825.1_4972 [gene=motA] [locus_tag=PP4_49720] [protein=flagellar motor protein MotA] [protein_id=BAN56825.1] [location=complement(5621351..5622202)] [gbkey=CDS]	1	846	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	62.821	2.35e-96	283	95	lcl|AP013070.1_cds_BAN57220.1_5367 [gene=exbB] [locus_tag=PP4_53670] [protein=biopolymer transport protein ExbB] [protein_id=BAN57220.1] [location=6069920..6070981] [gbkey=CDS]	361	1056	transporter
